TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
SAMPLE_TYPE	BREAST_CARCINOMA	Breast Carcinoma		Breast Carcinoma
TYPE	TIME_SERIES_AND_CELL_LINE	Time Series and Cell Line		Time Series and Cell Line
TIMEPOINT	T_0h	0 hours (RNA was extracted from cells before simulation with 17Beta-Estradiol or Ethanol vehicle)		0 hours (RNA was extracted from cells before simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_1h	1 hour (RNA was extracted from cells 1 hour after simulation with 17Beta-Estradiol or Ethanol vehicle)		1 hour (RNA was extracted from cells 1 hour after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_2h	2 hours (RNA was extracted from cells 2 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		2 hours (RNA was extracted from cells 2 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_4h	4 hours (RNA was extracted from cells 4 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		4 hours (RNA was extracted from cells 4 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_6h	6 hours (RNA was extracted from cells 6 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		6 hours (RNA was extracted from cells 6 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_8h	8 hours (RNA was extracted from cells 8 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		8 hours (RNA was extracted from cells 8 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_12h	12 hours (RNA was extracted from cells 12 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		12 hours (RNA was extracted from cells 12 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_16h	16 hours (RNA was extracted from cells 16 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		16 hours (RNA was extracted from cells 16 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_20h	20 hours (RNA was extracted from cells 20 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		20 hours (RNA was extracted from cells 20 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_24h	24 hours (RNA was extracted from cells 24 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		24 hours (RNA was extracted from cells 24 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_28h	28 hours (RNA was extracted from cells 28 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		28 hours (RNA was extracted from cells 28 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
TIMEPOINT	T_32h	32 hours (RNA was extracted from cells 32 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)		32 hours (RNA was extracted from cells 32 hours after simulation with 17Beta-Estradiol or Ethanol vehicle)
DRUG	17BETA_ESTRADIOL	17 Beta Estradiol		The samples were administered 17 Beta Estradiol
DOSAGE	0_nM	0 nM (nanoMolar)		The sample was treated with 0 nM of the drug
DOSAGE	10_nM	10 nM (nanoMolar)		The sample was treated with 10 nM of the drug
PARENT_CELL_LINE	MCF7	MCF7		MCF7 cell line
PARENT_CELL_LINE	ZR-75.1	ZR-75.1		ZR-75.1 cell line
