SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	SAMPLE_TYPE	DRUG	DOSAGE
ZR-75.1_0h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_0h	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
ZR-75.1_0h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_0h	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
ZR-75.1_1h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_1h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_2h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_2h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_4h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_4h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_6h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_6h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_8h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_8h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_12h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_12h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_16h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_16h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_20h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_20h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_24h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_24h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_28h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_28h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_32h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_32h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_0h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_0h	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
ZR-75.1_1h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_1h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_2h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_2h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_4h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_4h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_6h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_6h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_0h	MCF7	TIME_SERIES_AND_CELL_LINE	T_0h	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
MCF-7_1h	MCF7	TIME_SERIES_AND_CELL_LINE	T_1h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_2h	MCF7	TIME_SERIES_AND_CELL_LINE	T_2h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_4h	MCF7	TIME_SERIES_AND_CELL_LINE	T_4h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_6h	MCF7	TIME_SERIES_AND_CELL_LINE	T_6h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_8h	MCF7	TIME_SERIES_AND_CELL_LINE	T_8h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_12h	MCF7	TIME_SERIES_AND_CELL_LINE	T_12h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_16h	MCF7	TIME_SERIES_AND_CELL_LINE	T_16h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_20h	MCF7	TIME_SERIES_AND_CELL_LINE	T_20h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_24h	MCF7	TIME_SERIES_AND_CELL_LINE	T_24h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_28h	MCF7	TIME_SERIES_AND_CELL_LINE	T_28h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_32h	MCF7	TIME_SERIES_AND_CELL_LINE	T_32h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_0h	MCF7	TIME_SERIES_AND_CELL_LINE	T_0h	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
MCF-7_1h	MCF7	TIME_SERIES_AND_CELL_LINE	T_1h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_2h	MCF7	TIME_SERIES_AND_CELL_LINE	T_2h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_4h	MCF7	TIME_SERIES_AND_CELL_LINE	T_4h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
MCF-7_6h	MCF7	TIME_SERIES_AND_CELL_LINE	T_6h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
ZR-75.1_8h	ZR-75.1	TIME_SERIES_AND_CELL_LINE	T_8h	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
