SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	PARENT_CELL_LINE	SAMPLE_TYPE	DRUG	DOSAGE
1718911267_F		REPLICATE	T_0h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
1718911273_B		REPLICATE	T_0h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
1718911273_C		REPLICATE	T_1h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911273_D		REPLICATE	T_2h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911273_E		REPLICATE	T_4h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911273_F		REPLICATE	T_6h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911274_A		REPLICATE	T_8h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911274_B		REPLICATE	T_12h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911274_C		REPLICATE	T_16h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911274_D		REPLICATE	T_20h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911274_E		REPLICATE	T_24h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911274_F		REPLICATE	T_28h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911290_A		REPLICATE	T_32h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911290_B		REPLICATE	T_0h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	0_nM
1718911290_C		REPLICATE	T_1h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911290_D		REPLICATE	T_2h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911290_E		REPLICATE	T_4h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
1718911290_F		REPLICATE	T_6h	ZR-75.1	BREAST_CARCINOMA	17BETA_ESTRADIOL	10_nM
