SUBJECT_ID	SAMPLE_ID	POLARITY	RDA_FILE	RDA_DESCRIPTION
LCC1_A-pos	LCC1_A	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos.Rda	Lcc9 vs Lcc1, Positive Polarity
LCC1_B-pos	LCC1_B	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos.Rda	Lcc9 vs Lcc1, Positive Polarity
LCC1_C-pos	LCC1_C	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos.Rda	Lcc9 vs Lcc1, Positive Polarity
LCC9_A-pos	LCC9_A	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos.Rda	Lcc9 vs Lcc1, Positive Polarity
LCC9_B-pos	LCC9_B	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos.Rda	Lcc9 vs Lcc1, Positive Polarity
LCC9_C-pos	LCC9_C	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
LCC1_A-pos-pareto	LCC1_A	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos_Pareto.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
LCC1_B-pos-pareto	LCC1_B	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos_Pareto.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
LCC1_C-pos-pareto	LCC1_C	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos_Pareto.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
LCC9_A-pos-pareto	LCC9_A	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos_Pareto.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
LCC9_B-pos-pareto	LCC9_B	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos_Pareto.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
LCC9_C-pos-pareto	LCC9_C	POSITIVE	Brc_Clarke_metab_Lcc9_Lcc1_pos_Pareto.Rda	Lcc9 vs Lcc1, Positive Polarity, Pareto scaling
