FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	57.0694_9.1817	9.1817	57.0694
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	58.9946_0.5386	0.5386	58.9946
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	60.0814_6.2858	6.2858	60.0814
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	69.0329_0.4112	0.4112	69.0329
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	69.033_5.7852	5.7852	69.033
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	69.033_3.0838	3.0838	69.033
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	69.0691_0.8984	0.8984	69.0691
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	70.0643_2.169	2.169	70.0643
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	70.0644_0.3667	0.3667	70.0644
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	71.072_0.3293	0.3293	71.072
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	72.0797_0.4527	0.4527	72.0797
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	73.0099_0.5392	0.5392	73.0099
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	74.0054_1.6842	1.6842	74.0054
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	76.0213_0.5442	0.5442	76.0213
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	77.0378_0.8001	0.8001	77.0378
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	77.0379_1.5498	1.5498	77.0379
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	79.0231_0.4513	0.4513	79.0231
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	79.0535_1.5508	1.5508	79.0535
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	79.0537_5.7813	5.7813	79.0537
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	80.0486_0.5394	0.5394	80.0486
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	80.948_0.3051	0.3051	80.948
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	81.0327_5.7833	5.7833	81.0327
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	82.0134_0.2766	0.2766	82.0134
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	82.064_2.1688	2.1688	82.064
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	83.0482_3.0956	3.0956	83.0482
