original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
age	ATTRIBUTE_TYPE_ID=147	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	NUMBER(3,1)	years		
size	ATTRIBUTE_TYPE_ID=199	TUMOR_SIZE	Tumor size	The tumor size in centimeters	PATHOLOGY					0	0	0	NUMBER(2,1)	cm	0	99.9
Surgery_type	ATTRIBUTE_TYPE_ID=348	BREAST_CONSERVING_SURGERY	Breast conserving surgery	Patient underwent Breast Conserving Surgery	CLINICAL					1	0	1	VARCHAR			
Surgery_type	ATTRIBUTE_TYPE_ID=350	MASTECTOMY	Mastectomy	Patient underwent Mastectomy	CLINICAL					1	0	1	VARCHAR			
Histtype	new	HIST_TUMOR_TYPE	Histopathological Tumor type	Histopathological Tumor type	CLINICAL					1	0	1	VARCHAR			
grade	ATTRIBUTE_TYPE_ID=198	ELSTON-ELLIS_GRADE	Elston-Ellis grade category	The histologic grade (Elston-Ellis) category	PATHOLOGY					0	0	0	NUMBER(1)		1	3
er	ATTRIBUTE_TYPE_ID=200	ER_STATUS	Estrogen receptor status	Estrogen receptor status	PATHOLOGY					1	0	1	VARCHAR2(8)			
t.rfs	new	DISEASE_FREE_SURVIVAL_DAYS	Disease free survival in days	Tracks the time from diagnosis or surgery to event or last follow up	CLINICAL					0	0	0	NUMBER(4,1)	days	0	18250
e.rfs	new	EVENT_DFS	Event indicator for Disease Free Survival	Indicates recurrence OR that no recurrence was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
t.os	new	OVERALL_SURVIVAL_DAYS	Overall survival in days	Tracks the time from diagnosis or surgery to event(death) or last follow up	CLINICAL					0	0	0	NUMBER(4,1)	days	0	18250
e.os	new	EVENT_OS	Event indicator for overall survival	Indicates death OR no record of death	CLINICAL					0	0	1	NUMBER(1)		0	1
t.dmfs	new	DMFS_DAYS	Distant metastasis free survival in days	Tracks the distant metastasis free survival time from diagnosis or surgery of the patient till the event or last follow up 	CLINICAL					0	0	0	NUMBER(4,1)	days	0	18250
e.dmfs	new	EVENT_DMFS	Event indicator for Distant Metastasis Free Survival	Indicates that distant metastasis occurred and was recorded OR no distant metastasis was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
t.tdm	new	TDM_DAYS	Time to distant metastasis in days	Tracks the time from diagnosis or surgery to event (distant metastasis) in days	CLINICAL					0	0	0	NUMBER(4,1)	days	0	18250
e.tdm	new	EVENT_TDM	Event indicator for time to distant metastasis	Indicates a distant metastatis OR that no record of distant metastasis	CLINICAL					0	0	1	NUMBER(1)		0	1
NPI	new	NPI_SCORE	Nottingham Prognostic Index	NPI is used to determine prognosis following surgery for breast cancer	CLINICAL					0	0	0	NUMBER(3,2)		2	5.5
risknpi	new	RISK_NPI	Risk calculation based on NPI score	Risk calculation based on NPI score	CLINICAL					1	0	1	VARCHAR			
