SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	PARENT_CELL_LINE	TAMOXIFEN_SENSITIVITY	TREATMENT
B7_4h_C1		REPLICATE		MCF-7	SENSITIVE	ESTROGEN_DEPLETED(CONTROL)
B7_4h_C2		REPLICATE		MCF-7	SENSITIVE	ESTROGEN_DEPLETED(CONTROL)
B7_4h_C3		REPLICATE		MCF-7	SENSITIVE	ESTROGEN_DEPLETED(CONTROL)
B7_4h_E1		REPLICATE		MCF-7	SENSITIVE	ESTROGEN
B7_4h_E2		REPLICATE		MCF-7	SENSITIVE	ESTROGEN
B7_4h_E3		REPLICATE		MCF-7	SENSITIVE	ESTROGEN
B7_4h_OH1		REPLICATE		MCF-7	SENSITIVE	4_HYDROXYTESTOSTERONE
B7_4h_OH2		REPLICATE		MCF-7	SENSITIVE	4_HYDROXYTESTOSTERONE
B7_4h_OH3		REPLICATE		MCF-7	SENSITIVE	4_HYDROXYTESTOSTERONE
B7_4h_EplusOH1		REPLICATE		MCF-7	SENSITIVE	ESTROGEN_PLUS_4_HYDROXYTESTOSTERONE
B7_4h_EplusOH2		REPLICATE		MCF-7	SENSITIVE	ESTROGEN_PLUS_4_HYDROXYTESTOSTERONE
B7_4h_EplusOH3		REPLICATE		MCF-7	SENSITIVE	ESTROGEN_PLUS_4_HYDROXYTESTOSTERONE
G11OH_T_4h_C1		REPLICATE		MCF-7	RESISTANT	ESTROGEN_DEPLETED(CONTROL)
G11OH_T_4h_C2		REPLICATE		MCF-7	RESISTANT	ESTROGEN_DEPLETED(CONTROL)
G11OH_T_4h_C3		REPLICATE		MCF-7	RESISTANT	ESTROGEN_DEPLETED(CONTROL)
G11OH_T_4h_E1		REPLICATE		MCF-7	RESISTANT	ESTROGEN
G11OH_T_4h_E2		REPLICATE		MCF-7	RESISTANT	ESTROGEN
G11OH_T_4h_E3		REPLICATE		MCF-7	RESISTANT	ESTROGEN
G11OH_T_4h_OH1		REPLICATE		MCF-7	RESISTANT	4_HYDROXYTESTOSTERONE
G11OH_T_4h_OH2		REPLICATE		MCF-7	RESISTANT	4_HYDROXYTESTOSTERONE
G11OH_T_4h_OH3		REPLICATE		MCF-7	RESISTANT	4_HYDROXYTESTOSTERONE
G11OH_T_4h_EplusOH1		REPLICATE		MCF-7	RESISTANT	ESTROGEN_PLUS_4_HYDROXYTESTOSTERONE
G11OH_T_4h_EplusOH2		REPLICATE		MCF-7	RESISTANT	ESTROGEN_PLUS_4_HYDROXYTESTOSTERONE
G11OH_T_4h_EplusOH3		REPLICATE		MCF-7	RESISTANT	ESTROGEN_PLUS_4_HYDROXYTESTOSTERONE
