short_name	long_name	definition	semantic_group	rank	split_attribute
CASE_HISTORY	Case history	"Collected data concerning an individual, including family, environment, medical history and any other information that may be useful in analysis and diagnois of medical condition."	Sample details		0
HIST_TUMOR_TYPE	Histopathological Tumor type	Histopathological Tumor type	Tumor details	1	2
WHICH_BREAST_PATH	Which breast path	Which breast underwent pathology - from which the cancer has been removed	Sample details		0
ER_STATUS	ER Status	Estrogen Receptor Status	Biomarker Tests		0
PGR_STATUS	Progestrone receptor status	Progestrone receptor status	Biomarker Tests		0
HER2_STATUS	HER2 Status	Human Epidermal Growth Factor Receptor 2	Biomarker Tests	1	1
E_CADHERIN	E-Cadherin	"An immunohistochemical technique to detect E-Cadherin, a transmembrane glycoprotein that is localized in the adherens junctions of epithelial cells, using antibody to E-Cadherin . The loss of expression or function of E-Cadherin appears to be an important step in tumorigenic progression."	Biomarker Tests		0
KI67_IHC_Status	KI67 IHC Status	Protein KI67 positivity tested by immunochemistry	Biomarker Tests		0
ONCOTYPE_SCORE	Oncotype score	The assay analyzes the expression of a panel of 21 genes and the results are provided as a Recurrence Score (0-100).	Diagnostic Tests		0
ONCOTYPE_RISK	Oncotype risk	Chances of recurrence of breast cancer in percentage depending upon the oncotype score.	Diagnostic Tests		0
AGE_DECADE	Age decade	"Refers to the decade of age of the patient during diagnosis; eg., 40s, 50's etc."	DEMOGRAPHICAL		0
NUCLEAR_GRADE	Nuclear grade	An evaluation of the size and shape of the nucleus in tumor cells and the percentage of tumor cells that are in the process of dividing or growing	Tumor details	2	1
MODIFIED_SCARFF_BLOOM_RICHARDSON_GRADE	Modified Scarff Bloom Richarson Grade	Refers to a breast cancer classification system to grade breast cancers	Tumor details		0
WHICH_BREAST_MRI	Which breast MRI	Which breast underwent MRI for simultaneous check on cancer	Sample details		0
BI_RAD	BI-RAD (Breast Imaging Reporting and Data System)	Breast Imaging Reporting and Data System	Diagnostic Tests		0
