PATIENT_ID	SAMPLE_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GUYT_50102	GUYT_50102_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50105	GUYT_50105_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50106	GUYT_50106_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50107	GUYT_50107_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50108	GUYT_50108_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50109	GUYT_50109_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50110	GUYT_50110_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50111	GUYT_50111_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50112	GUYT_50112_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50115	GUYT_50115_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50116	GUYT_50116_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50117	GUYT_50117_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50118	GUYT_50118_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50119	GUYT_50119_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50120	GUYT_50120_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50122	GUYT_50122_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50124	GUYT_50124_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50125	GUYT_50125_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50126	GUYT_50126_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50128	GUYT_50128_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50130	GUYT_50130_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50131	GUYT_50131_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50132	GUYT_50132_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50134	GUYT_50134_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50135	GUYT_50135_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50136	GUYT_50136_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50137	GUYT_50137_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50138	GUYT_50138_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50143	GUYT_50143_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50146	GUYT_50146_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50148	GUYT_50148_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50149	GUYT_50149_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50150	GUYT_50150_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50151	GUYT_50151_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50153	GUYT_50153_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50154	GUYT_50154_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50155	GUYT_50155_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50156	GUYT_50156_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50158	GUYT_50158_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50159	GUYT_50159_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50160	GUYT_50160_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50162	GUYT_50162_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50163	GUYT_50163_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50166	GUYT_50166_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50168	GUYT_50168_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50169	GUYT_50169_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50172	GUYT_50172_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50173	GUYT_50173_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50174	GUYT_50174_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50176	GUYT_50176_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50177	GUYT_50177_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50178	GUYT_50178_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50179	GUYT_50179_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50181	GUYT_50181_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50182	GUYT_50182_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50183	GUYT_50183_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50184	GUYT_50184_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50188	GUYT_50188_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50190	GUYT_50190_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50192	GUYT_50192_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50193	GUYT_50193_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50200	GUYT_50200_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50204	GUYT_50204_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50210	GUYT_50210_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50211	GUYT_50211_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50213	GUYT_50213_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50218	GUYT_50218_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50219	GUYT_50219_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50221	GUYT_50221_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50223	GUYT_50223_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50225	GUYT_50225_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
GUYT_50228	GUYT_50228_SEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized using U133 Plus 2.0 GPL570 platform
