TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
NODAL_STATUS	NEGATIVE	Negative		Lymph Node negative for tumor cells
NODAL_STATUS	POSITIVE	Positive		Lymph Nodes positive for tumor cells
ER_STATUS	POSITIVE	Positive		Estrogen Receptor positive
ER_STATUS	NEGATIVE	Negative		Estrogen Receptor negative
PGR_STATUS	NEGATIVE	NEGATIVE		Progesteron Receptor negative
PGR_STATUS	POSITIVE	POSITIVE		Progesteron Receptor positive
NODAL_STATUS	NEGATIVE	NEGATIVE		Nodal status negative
NODAL_STATUS	POSITIVE	POSITIVE		Nodal status positive
TAMOXIFEN_TREATMENT	YES	YES		The patient was treated with Tamoxifen
TAMOXIFEN_TREATMENT	NO	NO		The patient was no treated with Tamoxifen
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded
EVENT_DMFS	0	CENSORING		0 stands for CENSORING indicating no record of distant metastasis
EVENT_DMFS	1	EVENT		1 stands for EVENT Indicating a distant metastatis 
