SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	PARENT_CELL_LINE	TAMOXIFEN_SENSITIVITY	TREATMENT	DRUG_17BETA_ESTRADIOL
TamR_Control_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_1h		REPLICATE	1hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_2h		REPLICATE	2hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_3h		REPLICATE	3hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_6h		REPLICATE	6hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_12h		REPLICATE	12hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_Control_48h		REPLICATE	48hr timepoint 	MCF-7	RESISTANT	UNTREATED	NO
TamR_E2_1h		REPLICATE	1hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2_2h		REPLICATE	2hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2_3h		REPLICATE	3hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2_6h		REPLICATE	6hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2_12h		REPLICATE	12hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2_48h		REPLICATE	48hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR_E2plusTamoxifen_1h		REPLICATE	1hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_E2plusTamoxifen_2h		REPLICATE	2hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_E2plusTamoxifen_3h		REPLICATE	3hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_E2plusTamoxifen_6h		REPLICATE	6hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_E2plusTamoxifen_12h		REPLICATE	12hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_E2plusTamoxifen_48h		REPLICATE	48hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR_HRG_1h		REPLICATE	1hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRG_2h		REPLICATE	2hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRG_3h		REPLICATE	3hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRG_6h		REPLICATE	6hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRG_12h		REPLICATE	12hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRG_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRG_48h		REPLICATE	48hr timepoint 	MCF-7	RESISTANT	HRG	NO
TamR_HRGplusTamoxifen_1h		REPLICATE	1hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_HRGplusTamoxifen_2h		REPLICATE	2hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_HRGplusTamoxifen_3h		REPLICATE	3hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_HRGplusTamoxifen_6h		REPLICATE	6hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_HRGplusTamoxifen_12h		REPLICATE	12hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_HRGplusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_HRGplusTamoxifen_48h		REPLICATE	48hr timepoint 	MCF-7	RESISTANT	HRG_PLUS_TAMOXIFEN	NO
TamR_Tamoxifen_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_1h		REPLICATE	1hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_2h		REPLICATE	2hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_3h		REPLICATE	3hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_6h		REPLICATE	6hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_12h		REPLICATE	12hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR_Tamoxifen_48h		REPLICATE	48hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR1_Control		REPLICATE	No timepoint	MCF-7	RESISTANT	UNTREATED	NO
TamR1_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR1_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR1_Tamoxifen_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR2_Control		REPLICATE	No timepoint	MCF-7	RESISTANT	UNTREATED	NO
TamR2_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR2_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR2_Tamoxifen_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR3_Control		REPLICATE	No timepoint	MCF-7	RESISTANT	UNTREATED	NO
TamR3_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR3_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR3_Tamoxifen_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR4_Control		REPLICATE	No timepoint	MCF-7	RESISTANT	UNTREATED	NO
TamR4_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR4_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR4_Tamoxifen_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
TamR5_Control		REPLICATE	No timepoint	MCF-7	RESISTANT	UNTREATED	NO
TamR5_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR5_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
TamR5_Tamoxifen_0h		REPLICATE	0hr timepoint 	MCF-7	RESISTANT	TAMOXIFEN	NO
