TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
ER_STATUS	NEGATIVE	NEGATIVE		Estrogen Receptor negative
ER_STATUS	POSITIVE	POSITIVE		Estrogen Receptor positive
PGR_STATUS	NEGATIVE	NEGATIVE		Progesteron Receptor negative
PGR_STATUS	POSITIVE	POSITIVE		Progesteron Receptor positive
RACE	AFRICAN-AMERICAN	AFRICAN-AMERICAN		AFRICAN-AMERICAN
RACE	CAUCASIAN	CAUCASIAN		CAUCASIAN
RACE	HISPANIC	HISPANIC		HISPANIC
RACE	OTHER	OTHER		OTHER
RACE	ASIAN	ASIAN		ASIAN
RACE	MIXED	MIXED		MIXED
POST_TRE_RESPONSE	PCR	Pathological complete Response		The absence of any residual tumor cells in a histologic evaluation of a tumor specimen is defined as a complete pathologic response
POST_TRE_RESPONSE	RD	Residual Disease		Residual Disease
HIST_TUMOR_TYPE	1	1 - IDC- Invasive Ductal Carcinoma		1 - IDC- Invasive Ductal Carcinoma
HIST_TUMOR_TYPE	2	2 - ILC -Invasive lobular Carcinoma		2 - ILC -Invasive lobular Carcinoma
HIST_TUMOR_TYPE	15	15 - DCIS		15 - DCIS
HIST_TUMOR_TYPE	16	16 - LCIS		16 - LCIS
HIST_TUMOR_TYPE	17	17 - IBC		17 - IBC
HIST_TUMOR_TYPE	18	18 - IMC		18 - IMC
HIST_TUMOR_TYPE	19	19 - Medullary features		19 - Medullary features
HIST_TUMOR_TYPE	20	20 - Anaplastic		20 - Anaplastic
PTNM_T	T0	T0 - No evidence of primary tumor		T0 - No evidence of primary tumor
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor
PTNM_T	T1	T1 - Size and/or extent of the primary tumor		T1 - Size and/or extent of the primary tumor
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor
PTNM_N	N3	N3 - Involvement of regional lymph nodes		N3 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N2	N2 - Involvement of regional lymph nodes		N2 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N1	N1 - Involvement of regional lymph nodes		N1 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement
TREATMENT	5-fluorouracil||||	5-fluorouracil||||		5-fluorouracil||||
TREATMENT	Epirubicin	Epirubicin		Epirubicin
TREATMENT	Cyclophosphamide	Cyclophosphamide		Cyclophosphamide
TREATMENT	Doxorubicin	Doxorubicin		Doxorubicin
TREATMENT	Taxol	Taxol		Taxol
TREATMENT	Xeloda	Xeloda		Xeloda
TREATMENT	XRT	XRT		XRT
TREATMENT	Hormone Therapy	Hormone Therapy		Hormone Therapy
TREATMENT	Herceptin	Herceptin		Herceptin
BMN_GRADE	1	1-Poorly Differentiated		1-Poorly Differentiated
BMN_GRADE	2	2-Moderately Differentiated		2-Moderately Differentiated
BMN_GRADE	3	3-Well Differentiated		3-Well Differentiated
HER2_STATUS	NEGATIVE	NEGATIVE		The patient is HER2 Negative
HER2_STATUS	POSITIVE	POSITIVE		The patient is HER2 Positive				
