short_name	long_name	definition	semantic_group	rank	split_attribute
GENDER	Gender	The classification of the sex or gender role of the patient.	Demographics	1	2
AGE	Patient's  Age	Age of patient at diagnosis or start of case study	Demographics	1	0
RACE	Race	Race (not ethnicity)	Demographics	1	0
ADJUVANT_CHEMO	Adjuvant chemotherapy	Indicates whether patient received adjuvant systemic chemotherapy	Treatment details		0
ADJUVANT_RT	Adjuvant radiotherapy	Indicates whether the patient had adjuvant radiation therapy as part of the primary treatment plan.	Treatment details		0
VITAL_STATUS	Vital Status	Vital Status: ALIVE, DEAD, UNKNOWN	Outcome	1	0
FIRST_PROGRESSION_OR_RELAPSE	First progression or relapse	Indicates a first documented progression or relapse of the disease/condition under investigation.	Outcome	1	1
MONTHS_TO_FIRST_PROGRESSION	Months to first progression	Duration of the length of time from surgical diagnosis to the point of disease progression or relapse, expressed as a number of months.	Outcome		0
OVERALL_SURVIVAL_MNTHS	Overall survival in months	Tracks the time from diagnosis or surgery to event(death) or last follow up in months	Outcome		0
MONTHS_TO_LAST_CLINICAL_ASSESSMENT	Months to last clinical assessment	Duration of the length of time from surgical diagnosis to the date of last clinical assessment, expressed as a number of months.	Outcome		0
SMOKING_HISTORY	Smoking history	Smoking history of the patient	Smoking history		0
RADICALITY	Radicality of the surgery	The radicality of the surgery indicating how much tissue was removed	Tumor details		0
PTNM_N	Lymph Node Involvement (pTNM-N)	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes 	Tumor details		0
PTNM_T	Primary Tumor Size (pTNM-T)	Primary Tumor Size in pTNM Classification	Tumor details		0
HIST_TUMOR_GRADE	Histological tumor grade	Histological tumor grade	Tumor details	1	0
STRATAGENE	Stratagene Universal Human reference	Indicates whether the sample is a Stratagene Universal Human reference or not	Gene expression experiment details		0
SITE	Microarray assay site	The site from which the patient sample came and at which the microarray assay was performed	Gene expression experiment details		0
TESTTYPE	Test type	The sample belonged to the training set or one of the 2 test sets	Gene expression experiment details		0
IN_DC_STUDY	Included in DC Lung study analysis?	The sample was included or excluded from the DC Lung study analysis.  All excluded samples were excluded in a blinded fashion based either on assessment that the microarray data quality was poor or that the patient covariate data indicated the patient was not eligible for the study.  Clinical covariate data and microarray data for included and excluded patients are provided, if available, in the accompanying files	Gene expression experiment details		0
