original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range		
age	staging attribute type=368	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	"NUMBER(3,1)"	years	0	120		
gender	staging attribute type=421	GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL		1	62	 C17357	1	0	1	VARCHAR2(6)					
tumor stage	staging attribute type=387	TUMOR_STAGE	The extent of the spread of a malignant tumor from its site of origin.	Tumor staging is the process of defining at what point in the natural history of the malignant disease the patient is when the diagnosis is made. The organ and cell type in which the malignancy has developed defines the type of malignancy.	PATHOLOGY					1	0	1	VARCHAR2(15)					
Hist grade	staging attribute type=433	HIST_TUMOR_GRADE	Histological tumor grade	Histological tumor grade	PATHOLOGY					1	0	1	VARCHAR(1)					
e.os	staging attribute type=374	EVENT_OS	Event indicator for overall survival	Indicates death OR no record of death	CLINICAL					0	0	1	NUMBER(1)		0	1		
e.rfs	staging attribute type=365	EVENT_DFS	Event indicator for Disease Free Survival	Indicates recurrence OR that no recurrence was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1		
t.os		OVERALL_SURVIVAL_MONTHS	Overall survival in months	Tracks the time from diagnosis or surgery to event(death) or last follow up in months	CLINICAL					0	0	0	"NUMBER(4,1)"	months	0	600		
t.dfs	364	DISEASE_FREE_SURVIVAL_MON	Disease free survival in months	Disease free survival in months	CLINICAL					0	0	0	"NUMBER(4,1)"	months	0	600		
	new	CANCER_DEATH	Death related to cancer	Whether or not the patient died due to cancer	CLINICAL					1	0	1	VARCHAR2(7)					
	228	DISEASE_LOCALIZATION	The local of the disease/tumor	The local of the disease/tumor	CLINICAL					1	0	1	VARCHAR2(20)					
	229	PTNM_T	Primary Tumor Site (pTNM-T)	Primary Tumor Site in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)					
	230	PTNM_N	Lymph Node Involvement (pTNM-N)	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes 	PATHOLOGY					1	0	1	VARCHAR2(5)					
	233	PTNM_M	Presence of metastasis (pTNM-M)	"In pTNM Classification, M staging determines if the cancer has metastasized , or spread, beyond the lymph nodes into other parts of the body (also known as distant metastasis, or distant spreading)"	PATHOLOGY					1	0	1	VARCHAR2(5)					
	new	MSI_STATUS	Microsatellite Instability status	The appearance of abnormally long or short microsatellites in an individual's DNA is referred to as microsatellite instability (MSI). It is a condition manifested by damaged DNA due to defects in the normal DNA repair process.	CLINICAL					1	0	1	VARCHAR(2)					
																		
																		
																		
																		
																		
																		
																		
																		
																		
