TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.
TUMOR_STAGE	0	Stage 0		Stage 0 as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	I	Stage I		Stage I  as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	II	Stage II		Stage II as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	III	Stage III		Stage III as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	IV	Stage IV		Stage IV as determined by the AJCC TNM System for the Cancer Type
HIST_TUMOR_GRADE	MODERATELY_DIFF	Moderately differentiated		Moderately differentiated
HIST_TUMOR_GRADE	POORLY_DIFF	Poorly differentiated		Poorly differentiated
HIST_TUMOR_GRADE	WELL_DIFF	Well differentiated		Well differentiated
HIST_TUMOR_GRADE	MPD	Moderate to poorly differentiated		Moderate to poorly differentiated
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded
EVENT_OS	1	EVENT		1 stands for EVENT indicating death of patient
EVENT_OS	0	CENSORING		0 stands for CENSORING meaning there was no record of death
CANCER_DEATH	0	Death caused by other reasons		Patient's death caused by other reasons
CANCER_DEATH	1	Death caused by cancer		Patient's death caused by cancer
DISEASE_LOCALIZATION	TRANSVERSE_COLON	transverse colon		transverse colon
DISEASE_LOCALIZATION	COECUM	Coecum		Coecum
DISEASE_LOCALIZATION	LEFT_FLEXURE	Left flexure		Left flexure
DISEASE_LOCALIZATION	SIGMOID_COLON	sigmoid colon		sigmoid colon
DISEASE_LOCALIZATION	SIGMA_RECTUM	Sigma and Rectum		Sigma and Rectum
DISEASE_LOCALIZATION	ASCENDING_COLON	ascending colon		ascending colon
DISEASE_LOCALIZATION	COLON_DESC	Descending Colon		Descending Colon
DISEASE_LOCALIZATION	HEPATIC_FLEXURE	Hepatic Flexure		Hepatic Flexure
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement (no cancer found in the lymph nodes)
PTNM_M	M0	M0 - No distant metastasis		M0 - No distant metastasis (cancer has not spread to other parts of the body)
MSI_STATUS	0	Microsatellite stable		Microsatellite stable (sample with either no or one instability marker)
MSI_STATUS	1	Microsatellite instable		Microsatellite instable (sample with instability in two or more markers)
