original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
age	staging attribute type=368	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	"NUMBER(3,1)"	years	0	120
gender	staging attribute type=421	GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL		1	62	 C17357	1	0	1	VARCHAR2(6)			
LOCALIZATION	staging attribute type=228	DISEASE_LOCALIZATION	The local of the disease/tumor	The local of the disease/tumor	CLINICAL					1	0	1	VARCHAR2(20)			
PTNM	staging attribute type=233	PTNM_M	Presence of metastasis (pTNM-M)	"In pTNM Classification, M staging determines if the cancer has metastasized , or spread, beyond the lymph nodes into other parts of the body (also known as distant metastasis, or distant spreading)"	PATHOLOGY					1	0	1	VARCHAR2(5)			
PTNM	staging attribute type=229	PTNM_T	Primary Tumor Site (pTNM-T)	Primary Tumor Site in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
Histology	staging attribute type=564	SAMPLE_TYPE	Sample Type	Indicates from which neoplastic stage the tissue sample was taken	PATHOLOGY					1	0	1	VARCHAR2(24)			
PTNM	staging attribute type=230	PTNM_N	Lymph Node Involvement (pTNM-N)	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes 	PATHOLOGY					1	0	1	VARCHAR2(5)			
Dukes	new	DUKES_CLASS	Dukes Classification	Dukes Classification	PATHOLOGY					1		1	VARCHAR2(2)			
DYSPLASIA	new	DYSPLASIA	Dysplasia	Dysplasia classification/grade	PATHOLOGY					1	0	1	VARCHAR2(32)			
grade	staging attribute type=563	AJCC_TUMOR_GRADE	Gastric Tumor Grade	Gastric-Cancer Specific Tumor Grading System	PATHOLOGY					1	0	1	VARCHAR2(2)			
