PATIENT_ID	SAMPLE_ID	FILE	POLARITY	RDA_FILE	RDA_DESCRIPTION
A584	A584-0-S2-a	A584-0-S2-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A584	A584-0-S2-b	A584-0-S2-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A651	A651-0-S1-a	A651-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A651	A651-0-S1-b	A651-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B312	B312-0-S1-a	B312-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B312	B312-0-S1-b	B312-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A734	A734-0-S1-a	A734-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A734	A734-0-S1-b	A734-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B296	B296-0-S1-a	B296-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B296	B296-0-S1-b	B296-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A548	A548-0-S4-a	A548-0-S4-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A548	A548-0-S4-b	A548-0-S4-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A632	A632-0-S2-a	A632-0-S2-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A632	A632-0-S2-b	A632-0-S2-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B20	B20-0-S1-a	B20-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B20	B20-0-S1-b	B20-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B155	B155-0-S1-a	B155-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B155	B155-0-S1-b	B155-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B309	B309-0-S1-a	B309-0-S1-a-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
B309	B309-0-S1-b	B309-0-S1-b-serum-neg	NEGATIVE	20091015_SB_SerumRun_NEG_NORM.Rda	"Normal Serum, Negative Polarity"
A584	A584-0-S2-a	A584-0-S2-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A584	A584-0-S2-b	A584-0-S2-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A651	A651-0-S1-a	A651-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A651	A651-0-S1-b	A651-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B312	B312-0-S1-a	B312-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B312	B312-0-S1-b	B312-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A734	A734-0-S1-a	A734-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A734	A734-0-S1-b	A734-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B296	B296-0-S1-a	B296-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B296	B296-0-S1-b	B296-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A548	A548-0-S4-a	A548-0-S4-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A548	A548-0-S4-b	A548-0-S4-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A632	A632-0-S2-a	A632-0-S2-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A632	A632-0-S2-b	A632-0-S2-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B20	B20-0-S1-a	B20-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B20	B20-0-S1-b	B20-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B155	B155-0-S1-a	B155-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B155	B155-0-S1-b	B155-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B309	B309-0-S1-a	B309-0-S1-a-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
B309	B309-0-S1-b	B309-0-S1-b-serum-pos	POSITIVE	20091015_SB_SerumRun_POS_NORM.Rda	"Normal Serum, Positive Polarity"
A548	A548-0-U4-a	A548-0-U4-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A548	A548-0-U4-b	A548-0-U4-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A632	A632-0-U4-a	A632-0-U4-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A632	A632-0-U4-b	A632-0-U4-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B20	B20-0-U1-a	B20-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B20	B20-0-U1-b	B20-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B155	B155-0-U1-a	B155-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B155	B155-0-U1-b	B155-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B309	B309-0-U1-a	B309-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B309	B309-0-U1-b	B309-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A584	A584-0-U4-a	A584-0-U4-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A584	A584-0-U4-b	A584-0-U4-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A651	A651-0-U1-a	A651-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A651	A651-0-U1-b	A651-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B312	B312-0-U1-a	B312-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B312	B312-0-U1-b	B312-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A734	A734-0-U1-a	A734-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A734	A734-0-U1-b	A734-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B296	B296-0-U1-a	B296-0-U1-a-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
B296	B296-0-U1-b	B296-0-U1-b-urine-neg	NEGATIVE	20090913_ByersUrineNEG_norm.Rda	"Normal Urine, Negative Polarity"
A548	A548-0-U4-a	A548-0-U4-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A548	A548-0-U4-b	A548-0-U4-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A632	A632-0-U4-a	A632-0-U4-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A632	A632-0-U4-b	A632-0-U4-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B20	B20-0-U1-a	B20-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B20	B20-0-U1-b	B20-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B155	B155-0-U1-a	B155-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B155	B155-0-U1-b	B155-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B309	B309-0-U1-a	B309-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B309	B309-0-U1-b	B309-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A584	A584-0-U4-a	A584-0-U4-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A584	A584-0-U4-b	A584-0-U4-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A651	A651-0-U1-a	A651-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A651	A651-0-U1-b	A651-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B312	B312-0-U1-a	B312-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B312	B312-0-U1-b	B312-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A734	A734-0-U1-a	A734-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
A734	A734-0-U1-b	A734-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B296	B296-0-U1-a	B296-0-U1-a-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
B296	B296-0-U1-b	B296-0-U1-b-urine-pos	POSITIVE	20090814_ByersUrinePOS_norm.Rda	"Normal Urine, Positive Polarity"
