FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
2010104_crc_metabolomics_urine_neg_40.Rda	0.4921_59.0157	0.4921	59.0157
2010104_crc_metabolomics_urine_neg_40.Rda	0.3486_59.0159	0.3486	59.0159
2010104_crc_metabolomics_urine_neg_40.Rda	3.1353_63.9032	3.1353	63.9032
2010104_crc_metabolomics_urine_neg_40.Rda	3.1422_64.2994	3.1422	64.2994
2010104_crc_metabolomics_urine_neg_40.Rda	1.8154_67.0316	1.8154	67.0316
2010104_crc_metabolomics_urine_neg_40.Rda	3.68_69.0215	3.68	69.0215
2010104_crc_metabolomics_urine_neg_40.Rda	4.2175_69.0215	4.2175	69.0215
2010104_crc_metabolomics_urine_neg_40.Rda	4.4001_69.0215	4.4001	69.0215
2010104_crc_metabolomics_urine_neg_40.Rda	3.08_69.0216	3.08	69.0216
2010104_crc_metabolomics_urine_neg_40.Rda	2.8275_69.0216	2.8275	69.0216
2010104_crc_metabolomics_urine_neg_40.Rda	2.919_69.0217	2.919	69.0217
2010104_crc_metabolomics_urine_neg_40.Rda	3.5188_69.0223	3.5188	69.0223
2010104_crc_metabolomics_urine_neg_40.Rda	0.3446_71.0145	0.3446	71.0145
2010104_crc_metabolomics_urine_neg_40.Rda	1.1762_71.0517	1.1762	71.0517
2010104_crc_metabolomics_urine_neg_40.Rda	4.9264_73.0303	4.9264	73.0303
2010104_crc_metabolomics_urine_neg_40.Rda	4.4869_74.0249	4.4869	74.0249
2010104_crc_metabolomics_urine_neg_40.Rda	2.999_74.0253	2.999	74.0253
2010104_crc_metabolomics_urine_neg_40.Rda	0.3358_74.0254	0.3358	74.0254
2010104_crc_metabolomics_urine_neg_40.Rda	0.3184_75.009	0.3184	75.009
2010104_crc_metabolomics_urine_neg_40.Rda	1.619_75.8688	1.619	75.8688
2010104_crc_metabolomics_urine_neg_40.Rda	5.2062_76.0231	5.2062	76.0231
2010104_crc_metabolomics_urine_neg_40.Rda	2.1605_76.0231	2.1605	76.0231
2010104_crc_metabolomics_urine_neg_40.Rda	4.1584_76.0232	4.1584	76.0232
2010104_crc_metabolomics_urine_neg_40.Rda	0.4088_78.9591	0.4088	78.9591
2010104_crc_metabolomics_urine_neg_40.Rda	0.3282_78.9594	0.3282	78.9594
2010104_crc_metabolomics_urine_neg_40.Rda	1.932_79.9571	1.932	79.9571
2010104_crc_metabolomics_urine_neg_40.Rda	0.5103_79.9571	0.5103	79.9571
2010104_crc_metabolomics_urine_neg_40.Rda	0.4142_79.9574	0.4142	79.9574
2010104_crc_metabolomics_urine_neg_40.Rda	2.8785_79.9575	2.8785	79.9575
2010104_crc_metabolomics_urine_neg_40.Rda	1.5371_79.9576	1.5371	79.9576
2010104_crc_metabolomics_urine_neg_40.Rda	1.9708_80.9655	1.9708	80.9655
2010104_crc_metabolomics_urine_neg_40.Rda	1.3985_81.0343	1.3985	81.0343
2010104_crc_metabolomics_urine_neg_40.Rda	0.7112_82.0297	0.7112	82.0297
2010104_crc_metabolomics_urine_neg_40.Rda	1.2745_83.0498	1.2745	83.0498
2010104_crc_metabolomics_urine_neg_40.Rda	1.1923_83.05	1.1923	83.05
2010104_crc_metabolomics_urine_neg_40.Rda	2.9731_84.0084	2.9731	84.0084
2010104_crc_metabolomics_urine_neg_40.Rda	4.1295_84.0086	4.1295	84.0086
2010104_crc_metabolomics_urine_neg_40.Rda	5.8148_85.0287	5.8148	85.0287
2010104_crc_metabolomics_urine_neg_40.Rda	0.3445_85.029	0.3445	85.029
2010104_crc_metabolomics_urine_neg_40.Rda	0.4617_85.029	0.4617	85.029
2010104_crc_metabolomics_urine_neg_40.Rda	5.0641_85.0296	5.0641	85.0296
2010104_crc_metabolomics_urine_neg_40.Rda	1.8783_85.0653	1.8783	85.0653
2010104_crc_metabolomics_urine_neg_40.Rda	0.3635_87.0074	0.3635	87.0074
2010104_crc_metabolomics_urine_neg_40.Rda	0.8315_87.0441	0.8315	87.0441
2010104_crc_metabolomics_urine_neg_40.Rda	0.9939_87.0443	0.9939	87.0443
2010104_crc_metabolomics_urine_neg_40.Rda	2.8971_87.0444	2.8971	87.0444
2010104_crc_metabolomics_urine_neg_40.Rda	4.2544_87.0445	4.2544	87.0445
2010104_crc_metabolomics_urine_neg_40.Rda	0.8439_88.0394	0.8439	88.0394
2010104_crc_metabolomics_urine_neg_40.Rda	3.0589_88.8297	3.0589	88.8297
2010104_crc_metabolomics_urine_neg_40.Rda	0.3381_89.024	0.3381	89.024
2010104_crc_metabolomics_urine_neg_40.Rda	3.0695_89.047	3.0695	89.047
2010104_crc_metabolomics_urine_neg_40.Rda	3.063_89.0632	3.063	89.0632
2010104_crc_metabolomics_urine_neg_40.Rda	3.0896_89.1569	3.0896	89.1569
2010104_crc_metabolomics_urine_neg_40.Rda	3.0698_89.2676	3.0698	89.2676
2010104_crc_metabolomics_urine_neg_40.Rda	3.0658_89.2829	3.0658	89.2829
2010104_crc_metabolomics_urine_neg_40.Rda	3.8434_90.9852	3.8434	90.9852
2010104_crc_metabolomics_urine_neg_40.Rda	5.319_90.9853	5.319	90.9853
2010104_crc_metabolomics_urine_neg_40.Rda	3.7999_92.0261	3.7999	92.0261
2010104_crc_metabolomics_urine_neg_40.Rda	0.3064_92.9279	0.3064	92.9279
2010104_crc_metabolomics_urine_neg_40.Rda	1.0942_93.0335	1.0942	93.0335
2010104_crc_metabolomics_urine_neg_40.Rda	1.6224_93.0335	1.6224	93.0335
2010104_crc_metabolomics_urine_neg_40.Rda	0.9714_93.0336	0.9714	93.0336
2010104_crc_metabolomics_urine_neg_40.Rda	3.3039_93.0336	3.3039	93.0336
2010104_crc_metabolomics_urine_neg_40.Rda	1.544_93.0337	1.544	93.0337
2010104_crc_metabolomics_urine_neg_40.Rda	4.2729_93.0338	4.2729	93.0338
2010104_crc_metabolomics_urine_neg_40.Rda	3.6055_93.034	3.6055	93.034
2010104_crc_metabolomics_urine_neg_40.Rda	1.474_95.0493	1.474	95.0493
2010104_crc_metabolomics_urine_neg_40.Rda	1.9433_95.051	1.9433	95.051
2010104_crc_metabolomics_urine_neg_40.Rda	0.3103_96.9215	0.3103	96.9215
2010104_crc_metabolomics_urine_neg_40.Rda	0.6421_96.9588	0.6421	96.9588
2010104_crc_metabolomics_urine_neg_40.Rda	2.1186_96.9591	2.1186	96.9591
2010104_crc_metabolomics_urine_neg_40.Rda	0.792_96.9593	0.792	96.9593
2010104_crc_metabolomics_urine_neg_40.Rda	0.5202_96.9593	0.5202	96.9593
2010104_crc_metabolomics_urine_neg_40.Rda	0.4135_96.9594	0.4135	96.9594
2010104_crc_metabolomics_urine_neg_40.Rda	0.2809_96.9639	0.2809	96.9639
