original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range		
General patient data-age at case start	General Patient Data	AGE_CASE_START	Age at case start	Age of patient at case start	CLINICAL					0	0	0	NUMBER(3)		0	120		
General patient data-gender	General Patient Data	GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL		1	62	 C17357	1	0	1	VARCHAR2(6)					
Addictive drugs-drug	Addictive Drugs	CIGARETTES	Cigarette smoker	Has the patient ever been a smoker of ciagettes.  No may mean not a smoker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)					
Addictive drugs-drug	Addictive Drugs	WINE	Wine consumer	Has the patient ever consumed wine on a regular basis ( > 3-4 x per month).   No may mean not a drinker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)					
Addictive drugs-drug	Addictive Drugs	LIQUOR	Liquor consumer	Has the patient ever consumed liquor on a regular basis ( > 3-4 x per month).    No may mean not a drinker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)					
Addictive drugs-drug	Addictive Drugs	BEER	Beer consumer	Has the patient ever consumed beer on a regular basis ( > 3-4 x per month).    No may mean not a drinker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)					
Addictive drugs-drug	Addictive Drugs	PIPE	Pipe smoker	Has the patient ever been a smoker of pipes	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)					
Current diseases-disease code		PRIMARY_DISEASE	ICD-O code of the primary tumor/disease	ICD-O code of the primary tumor/disease	CLINICAL					1	0	1	VARCHAR2(10)					
neoadjuvant therapies		NEOADJ_THERAPY	Neoadjuvant therapy	Neoadjuvant therapy received	CLINICAL					1	0	1	VARCHAR2(10)					
neoadjuvant chemotherapies		NEOADJ_CT	Neoadjuvant chemotherapy	Neoadjuvant chemotherapy recieved	CLINICAL					1	0	1	VARCHAR2(10)					
neoadjuvant radiations		NEOADJ_RADIATION	Neoadjuvant radiation	Neoadjuvant radiation received	CLINICAL					1	0	1	VARCHAR2(10)					
neoadjuvant hormone therapies		NEOADJ_HORMONE_TH	Neoadjuvant hormone therapy	Neoadjuvant hormone therapy received	CLINICAL					1	0	1	VARCHAR2(10)					
Surgical findings-localization	Tumor details	DISEASE_LOCALIZATION	The locale of the disease/tumor	The locale of the disease/tumor	CLINICAL					1	0	1	VARCHAR2(20)					
tumor size [cm]	Tumor details	TUMOR_SIZE	Tumor size	The tumor size in centimeters	PATHOLOGY					0	0	0	"NUMBER(2,1)   "	cm	0	99.9		
Classification-histological type	Classification	HIST_TUMOR_GRADE	Histological tumor grade	Histological tumor grade	PATHOLOGY					1	0	1	VARCHAR(1)					
Classification-histological type	Classification	HIST_TUMOR_TYPE	Histopathological Tumor type	Histopathological Tumor type	CLINICAL					1	0	1	VARCHAR					
classification PTNM_T	Classification	PTNM_T	Primary Tumor Site (pTNM-T)	Primary Tumor Site in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)					
classification PTNM_N	Classification	PTNM_N	Lymph Node Involvement (pTNM-N)	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes 	PATHOLOGY					1	0	1	VARCHAR2(5)					
classification PTNM_N_POSITIVE	Classification	PTNM_N_POSITIVE	Lymph Nodes positive for cancer  (pTNM-N positive)	pTNM-N positive staging determines if the lymph nodes are positive for cancer in pTNM Classification	PATHOLOGY					0	0	0	NUMBER(2)		0	10		
classification PTNM_N_TOTAL	Classification	PTNM_N_TOTAL	Total number of Lymph Node Involvement (pTNM-N total)	pTNM-N total determines the number of Lymph nodes involved in pTNM Classification	PATHOLOGY					0	0	0	NUMBER(2)		0	60		
classification PTNM_M	Classification	PTNM_M	Presence of metastasis (pTNM-M)	"In pTNM Classification, M staging determines if the cancer has metastasized , or spread, beyond the lymph nodes into other parts of the body (also known as distant metastasis, or distant spreading)   "	PATHOLOGY					1	0	1	VARCHAR2(5)					
