FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.08_69.0216	3.08	69.0216	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3184_75.009	0.3184	75.009	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.2062_76.0231	5.2062	76.0231	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.1605_76.0231	2.1605	76.0231	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.1584_76.0232	4.1584	76.0232	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3282_78.9594	0.3282	78.9594	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.4142_79.9574	0.4142	79.9574	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.3985_81.0343	1.3985	81.0343	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.2745_83.0498	1.2745	83.0498	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3445_85.029	0.3445	85.029	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.4617_85.029	0.4617	85.029	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.9939_87.0443	0.9939	87.0443	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8434_90.9852	3.8434	90.9852	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.319_90.9853	5.319	90.9853	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.7999_92.0261	3.7999	92.0261	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3064_92.9279	0.3064	92.9279	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.3039_93.0336	3.3039	93.0336	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.474_95.0493	1.474	95.0493	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.9433_95.051	1.9433	95.051	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3103_96.9215	0.3103	96.9215	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.4135_96.9594	0.4135	96.9594	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0717_97.0648	2.0717	97.0648	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.4608_99.0439	1.4608	99.0439	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6914_100.0027	3.6914	100.0027	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3451_101.0234	0.3451	101.0234	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2821_102.9564	0.2821	102.9564	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.4687_107.049	2.4687	107.049	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3031_108.9015	0.3031	108.9015	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3079_110.9003	0.3079	110.9003	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3489_111.0077	0.3489	111.0077	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3027_112.0495	0.3027	112.0495	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.267_112.9845	0.267	112.9845	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.8029_113.0593	1.8029	113.0593	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.4706_113.0595	1.4706	113.0595	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.4509_113.0598	2.4509	113.0598	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.2453_113.0959	4.2453	113.0959	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2475_114.9874	0.2475	114.9874	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0714_115.0751	2.0714	115.0751	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.637_116.0319	3.637	116.0319	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3446_116.0335	0.3446	116.0335	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	8.4344_116.9272	8.4344	116.9272	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.293_118.9303	0.293	118.9303	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3321_119.0336	0.3321	119.0336	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3075_119.9458	0.3075	119.9458	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8012_122.0233	3.8012	122.0233	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2743_123.0801	3.2743	123.0801	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3176_124.008	0.3176	124.008	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.35_124.9905	0.35	124.9905	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7185_126.0908	2.7185	126.0908	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.6971_127.0749	2.6971	127.0749	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3495_128.0339	0.3495	128.0339	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.4597_129.018	0.4597	129.018	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3442_129.0181	0.3442	129.0181	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3263_132.0283	0.3263	132.0283	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3433_132.0638	0.3433	132.0638	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.9385_134.0599	1.9385	134.0599	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3192_135.0282	0.3192	135.0282	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6038_135.0798	3.6038	135.0798	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.5545_137.0225	1.5545	137.0225	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.7746_138.0543	1.7746	138.0543	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.8852_139.11	2.8852	139.11	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.5894_143.0696	1.5894	143.0696	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3211_144.028	0.3211	144.028	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0256_144.0282	2.0256	144.0282	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.8_144.0436	1.8	144.0436	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.3542_144.1014	4.3542	144.1014	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3363_145.0133	0.3363	145.0133	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.2904_145.0488	1.2904	145.0488	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.5464_145.0582	4.5464	145.0582	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1271_145.0599	3.1271	145.0599	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.1226_145.0602	2.1226	145.0602	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7106_146.043	2.7106	146.043	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3272_146.0445	0.3272	146.0445	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.791_146.0586	1.791	146.0586	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3142_149.0433	0.3142	149.0433	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.3041_151.0383	3.3041	151.0383	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.4671_151.0385	2.4671	151.0385	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2927_151.0593	0.2927	151.0593	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.5163_151.1469	5.5163	151.1469	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3268_153.0297	0.3268	153.0297	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6028_153.0902	3.6028	153.0902	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2843_154.0598	0.2843	154.0598	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3165_154.9225	0.3165	154.9225	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3142_155.0457	0.3142	155.0457	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.273_155.1059	5.273	155.1059	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.4724_157.049	1.4724	157.049	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1325_157.0853	3.1325	157.0853	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.1501_157.1213	5.1501	157.1213	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.9975_158.1168	4.9975	158.1168	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2482_158.9766	0.2482	158.9766	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0725_159.0644	2.0725	159.0644	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6315_160.075	3.6315	160.075	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2951_160.9146	0.2951	160.9146	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2798_164.9534	0.2798	164.9534	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.321_165.0384	0.321	165.0384	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8012_166.0129	3.8012	166.0129	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.333_167.0196	0.333	167.0196	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7215_170.0799	2.7215	170.0799	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.3823_171.0644	2.3823	171.0644	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2385_171.1011	3.2385	171.1011	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.9969_172.0956	2.9969	172.0956	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3427_173.0077	0.3427	173.0077	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.421_173.0804	2.421	173.0804	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3042_176.9012	0.3042	176.9012	
