TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.
TUMOR_STAGE	0	Stage 0		Stage 0 as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	I	Stage I		Stage I  as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	II	Stage II		Stage II as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	III	Stage III		Stage III as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	IV	Stage IV		Stage IV as determined by the AJCC TNM System for the Cancer Type
SAMPLE_TYPE	TUMOR	Tumor		The sample is from Tumor Tissue
SAMPLE_TYPE	NORMAL	Normal		The sample is from Normal Tissue
MMR_STATUS	PROFICIENT MMR	Proficient DNA Mismatch Repair		Proficient DNA mismatch repair is defined by the absence of microsatellite instability (MSS/MSI-L) and the presence of normal protein expression for hMLH1.
MMR_STATUS	DEFICIENT MMR	Deficient DNA Mismatch Repair		Defective DNA mismatch repair is defined by the presence of microsatellite instability (MSI-H) and/or the absence of protein expression for hMLH2
