original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
age	staging attribute type=368	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	NUMBER(3,1)	years	0	120
gender	staging attribute type=421	GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL		1	62	 C17357	1	0	1	VARCHAR2(6)			
race	new	RACE	Race	Race (not ethnicity)	DEMOGRAPHICAL					1	0	1	VARCHAR2(50)			
tumor stage	staging attribute type=387	TUMOR_STAGE	The extent of the spread of a malignant tumor from its site of origin.	Tumor staging is the process of defining at what point in the natural history of the malignant disease the patient is when the diagnosis is made. The organ and cell type in which the malignancy has developed defines the type of malignancy.	PATHOLOGY					1	0	1	VARCHAR2(15)			
Hist grade	staging attribute type=433	HIST_TUMOR_GRADE	Histological tumor grade	Histological tumor grade	PATHOLOGY					1	0	1	VARCHAR(1)			
e.os	staging attribute type=374	EVENT_OS	Event indicator for overall survival	Indicates death OR no record of death	CLINICAL					0	0	1	NUMBER(1)		0	1
e.dss	new	EVENT_DSS	Event indicator for Disease Specific Survival	Indicates death due to cancer OR no record of death	CLINICAL					0	0	1	NUMBER(1)		0	1
e.rfs	staging attribute type=365	EVENT_DFS	Event indicator for Disease Free Survival	Indicates recurrence OR that no recurrence was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
t.os	new	OVERALL_SURVIVAL_MONTHS	Overall survival in months	Tracks the time from diagnosis or surgery to event(death) or last follow up in months	CLINICAL					0	0	0	 NUMBER(4,1) 	months	0	600
t.dss	new	DISEASE_SPECIFIC_SURVIVAL_MON	Disease specific survival in months	Tracks the time from diagnosis/surgery to event (death caused by cancer) or last follow up in months	CLINICAL					0	0	0	 NUMBER(4,1) 	months	0	600
t.dfs	364	DISEASE_FREE_SURVIVAL_MON	Disease free survival in months	Disease free survival in months	CLINICAL					0	0	0	 NUMBER(4,1) 	months	0	600
																
PARENT_ID		PARENT_ID														
PARENT_CELL_LINE		PARENT_CELL_LINE														
TYPE		TYPE														
TIMEPOINT		TIMEPOINT														
METHOTREXATE_SENSITIVITY		METHOTREXATE_SENSITIVITY														
CL_ATCC_LINK		CL_ATCC_LINK														
CL_ALTERNATE_NAME		CL_ALTERNATE_NAME														
CL_CELL TYPE _OR_SOURCE		CL_CELL TYPE _OR_SOURCE														
CL_GROWTH_PROPERTIES		CL_GROWTH_PROPERTIES														
CL_ORGANISM		CL_ORGANISM														
CL_MORPHOLOGY		CL_MORPHOLOGY														
CL_AGE		CL_AGE														
CL_GENDER		CL_GENDER														
CL_ETHNICITY		CL_ETHNICITY														
CL_DESCRIPTION		CL_DESCRIPTION														
CL_PROPERTIES (CELLULAR PRODUCTS)		CL_PROPERTIES (CELLULAR PRODUCTS)														
CL_BLOOD_TYPE		CL_BLOOD_TYPE														
CL_RH_TYPE		CL_RH_TYPE														
CL_HLA(HUMAN LEUKOCYTE ANTIGEN)_PROFILE		CL_HLA(HUMAN LEUKOCYTE ANTIGEN)_PROFILE														
CL_ISOLATION_DATE		CL_ISOLATION_DATE														
CL_TUMORIGENIC		CL_TUMORIGENIC														
CL_ER_STATUS		CL_ER_STATUS														
CL_PR_STATUS		CL_PR_STATUS														
CL_MYC_STATUS		CL_MYC_STATUS														
CL_RAS_STATUS		CL_RAS_STATUS														
CL_MTB_STATUS		CL_MTB_STATUS														
CL_FOS_STATUS		CL_FOS_STATUS														
CL_SIS_STATUS		CL_SIS_STATUS														
CL_P53_STATUS		CL_P53_STATUS														
CL_ABL_STATUS		CL_ABL_STATUS														
CL_ROS_STATUS		CL_ROS_STATUS														
CL_SRC_STATUS		CL_SRC_STATUS														
CL_CYTOGENETIC_ANALYSIS		CL_CYTOGENETIC_ANALYSIS														
MICROARRAY_DETAILS		MICROARRAY_DETAILS														
CELL_CULTURE_DETAILS		CELL_CULTURE_DETAILS														
DRUG_OR_AGENT_DETAILS		DRUG_OR_AGENT_DETAILS														
