TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.
RACE	AFRICAN-AMERICAN	AFRICAN-AMERICAN		AFRICAN-AMERICAN
RACE	CAUCASIAN	CAUCASIAN		CAUCASIAN
RACE	HISPANIC	HISPANIC		HISPANIC
RACE	OTHER	OTHER		OTHER
RACE	ASIAN	ASIAN		ASIAN
TUMOR_STAGE	0	Stage 0		Stage 0 as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	I	Stage I		Stage I  as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	II	Stage II		Stage II as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	III	Stage III		Stage III as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	IV	Stage IV		Stage IV as determined by the AJCC TNM System for the Cancer Type
HIST_TUMOR_GRADE	MODERATELY_DIFF	Moderately differentiated		Moderately differentiated
HIST_TUMOR_GRADE	POORLY_DIFF	Poorly differentiated		Poorly differentiated
HIST_TUMOR_GRADE	WELL_DIFF	Well differentiated		Well differentiated
HIST_TUMOR_GRADE	MPD	Moderate to poorly differentiated		Moderate to poorly differentiated
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded
EVENT_OS	1	EVENT		1 stands for EVENT indicating death of patient
EVENT_OS	0	CENSORING		0 stands for CENSORING meaning there was no record of death
EVENT_DSS	1	EVENT		1 stands for EVENT indicating death of patient due to the disease (cancer)
EVENT_DSS	0	CENSORING		0 stands for CENSORING meaning there was no record of death
