TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION		
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 		
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.		
TUMOR_STAGE	0	Stage 0		Stage 0 as determined by the AJCC TNM System for the Cancer Type		
TUMOR_STAGE	I	Stage I		Stage I  as determined by the AJCC TNM System for the Cancer Type		
TUMOR_STAGE	II	Stage II		Stage II as determined by the AJCC TNM System for the Cancer Type		
TUMOR_STAGE	III	Stage III		Stage III as determined by the AJCC TNM System for the Cancer Type		
TUMOR_STAGE	IV	Stage IV		Stage IV as determined by the AJCC TNM System for the Cancer Type		
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  		
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded		
EVENT_OS	1	EVENT		1 stands for EVENT indicating death of patient		
EVENT_OS	0	CENSORING		0 stands for CENSORING meaning there was no record of death		
PTNM_T	T0	T0 - No evidence of primary tumor		T0 - No evidence of primary tumor		
PTNM_T	T2a	T2a - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor		
PTNM_T	T2b	T2b - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor		
PTNM_T	Tis	Tis - Carcinoma in situ		Tis - Carcinoma in situ (early cancer that has not spread to neighboring tissue)		
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor		
PTNM_T	T1	T1 - Size and/or extent of the primary tumor		T1 - Size and/or extent of the primary tumor		
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor		
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor		
PTNM_T	TX	TX - Primary tumor cannot be evaluated		TX - Primary tumor cannot be evaluated		
PTNM_N	NX	NX - Regional lymph nodes cannot be evaluated		NX - Regional lymph nodes cannot be evaluated		
PTNM_N	N3	N3 - Involvement of regional lymph nodes		N3 - Involvement of regional lymph nodes (number and/or extent of spread)		
PTNM_N	N2	N2 - Involvement of regional lymph nodes		N2 - Involvement of regional lymph nodes (number and/or extent of spread)		
PTNM_N	N1	N1 - Involvement of regional lymph nodes		N1 - Involvement of regional lymph nodes (number and/or extent of spread)		
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement		
PTNM_M	M1	M1 - Distant metastasis		M1 - Distant metastasis (cancer has spread to distant parts of the body)		
PTNM_M	MX	MX - Distant metastasis cannot be evaluated		MX - Distant metastasis cannot be evaluated		
PTNM_M	M0	M0 - No distant metastasis		M0 - No distant metastasis (cancer has not spread to other parts of the body)		
DISEASE_LOCALIZATION	SIGMA_COLON_DESC	Sigma and Descending Colon		Sigma and Descending Colon		
DISEASE_LOCALIZATION	COECUM	Coecum		Coecum		
DISEASE_LOCALIZATION	SIGMA	Sigma		Sigma		
DISEASE_LOCALIZATION	COLON_DESC	Descending Colon		Descending Colon		
DISEASE_LOCALIZATION	RECTUM	Rectum		rectum		
DISEASE_LOCALIZATION	TRANSVERSE_COLON	Transverse colon		transverse colon		
DISEASE_LOCALIZATION	ASCENDING_COLON	Ascending colon		ascending colon		
DISEASE_LOCALIZATION	RECTUM_MIDDLE_TO_UPPER_THIRD	Rectum Middle to Upper Third		Rectum Middle to Upper Third		
DISEASE_LOCALIZATION	COLON	Colon		Colon		
DISEASE_LOCALIZATION	RECTUM_LOWER_THIRD	Rectum Lower Third		Rectum Lower Third		
DISEASE_LOCALIZATION	RECTUM_MIDDLE_THIRD	Rectum Middle Third		Rectum Middle Third		
DISEASE_LOCALIZATION	RECTUM_TRANSITION_UPPER_TO_MIDDLE_THIRD	Rectum transition Upper to Middle Third		Rectum transition Upper to Middle Third		
DISEASE_LOCALIZATION	RECTUM_RECTOSIGMOID	Rectum Rectosigmoid		Rectum Rectosigmoid		
DISEASE_LOCALIZATION	RECTUM_UPPER_THIRD	Rectum Upper Third		Rectum Upper Third		
DISEASE_LOCALIZATION	RIGHT_FLEXURE	Right Flexure		Right Flexure		
DISEASE_LOCALIZATION	RECTUM_MIDDLE_TO_LOWER_THIRD	Rectum Middle to Lower Third		Rectum Middle to Lower Third		
						
						
						
