TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
CASE_OR_CONTROL	0	CASE		Case
CASE_OR_CONTROL	1	CONTROL		Control
CASE_OR_CONTROL	NA	UNKNOWN		Unknown
POSTMENOPAUSAL_STATUS	AFTER	After chemotherapy		Patient was postmenopausal after chemotherapy
POSTMENOPAUSAL_STATUS	BEFORE	Before chemotherapy		Patient was postmenopausal before chemotherapy
ER_STATUS	POSITIVE	Positive		Estrogen Receptor positive
ER_STATUS	NEGATIVE	Negative		Estrogen Receptor negative
PGR_STATUS	POSITIVE	Positive		Progestrone receptor positive
PGR_STATUS	NEGATIVE	Negative		Progestrone receptor negative
ADJ_OR_NEOADJ_CT	YES	Yes		Neoadjuvant/Adjuvant chemotherapy received by patient
ADJ_OR_NEOADJ_CT	NO	No		Neoadjuvant/Adjuvant chemotherapy not received by patient 
TUMOR_STAGE	I	Stage I		Stage I as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	II	Stage II		Stage II as determined by the AJCC TNM System for the Cancer Type
TUMOR_STAGE	III	Stage III		Stage III as determined by the AJCC TNM System for the Cancer Type
BREAST_CONSERVING_SURGERY	YES	Yes		Patient underwent Breast Conserving Surgery
BREAST_CONSERVING_SURGERY	NO	No		Patient did not undergo  Breast Conserving Surgery
RADIOTHERAPY	YES	Yes		Patient recieved Radiotherapy
RADIOTHERAPY	NO	No		Patient did not recieve Radiotherapy
MASTECTOMY	YES	Yes		Patient underwent Mastectomy
MASTECTOMY	NO	No		Patient did not undergo Mastectomy
NODAL_STATUS	NEGATIVE	Negative		Lymph Node negative for tumor cells
NODAL_STATUS	POSITIVE	Positive		Lymph Nodes positive for tumor cells
LETROZOL_TREATMENT	YES	Yes		The patient was treated with Letrozol
LETROZOL_TREATMENT	NO	no		The patient was not treated with Letrozol
TAMOXIFEN_TREATMENT	YES	Yes		The patient was treated with tamoxifen
TAMOXIFEN_TREATMENT	NO	no		The patient was not treated with tamoxifen
HER2_STATUS	NEGATIVE	Negative		The patient is HER2 Negative
HER2_STATUS	POSITIVE	Positive		The patient is HER2 Positive
HER2_STATUS	NA	Unknown		HER2 Status is unknown
TUMOR_SIZE_2CM	LESSTHANOREQUAL	Less than or equal to		Tumor size is less than or equal to 2cm
TUMOR_SIZE_2CM	GREATER	Greater than		Tumor size is greater then 2cm
