TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
BREAST_CONSERVING_SURGERY	NO	No		Patient did not undergo  Breast Conserving Surgery
BREAST_CONSERVING_SURGERY	YES	Yes		Patient underwent Breast Conserving Surgery
MASTECTOMY	NO	No		Patient did not undergo Mastectomy
MASTECTOMY	YES	Yes		Patient underwent Mastectomy
HIST_TUMOR_TYPE	1	1		IDC- Invasive Ductal Carcinoma
HIST_TUMOR_TYPE	2	2		ILC -Invasive lobular Carcinoma
HIST_TUMOR_TYPE	3	3		IDC/ILC
HIST_TUMOR_TYPE	4	4		mucinous
HIST_TUMOR_TYPE	5	5		metaplastic
HIST_TUMOR_TYPE	6	6		medular
HIST_TUMOR_TYPE	7	7		tubular/lobular
ER_STATUS	POSITIVE	Positive		Estrogen Receptor positive
ER_STATUS	NEGATIVE	Negative		Estrogen Receptor negative
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded
EVENT_OS	1	EVENT		1 stands for EVENT indicating death of patient
EVENT_OS	0	CENSORING		0 stands for CENSORING meaning there was no record of death
EVENT_DMFS	1	EVENT		1 stands for EVENT indicating distant metastasis   
EVENT_DMFS	0	CENSORING		0 stands for CENSORING meaning no record of distant metastasis
EVENT_TDM	1	EVENT		1 stands for EVENT Indicating a distant metastatis 
EVENT_TDM	0	CENSORING		0 stands for CENSORING indicating no record of distant metastasis
RISK_NPI	POOR	POOR		High risk (poor prognosis)
RISK_NPI	GOOD	GOOD		Low risk (good prognosis)
