PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION	
GSM447197	GSM447197	GSM447197.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447198	GSM447198	GSM447198.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447199	GSM447199	GSM447199.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447200	GSM447200	GSM447200.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447201	GSM447201	GSM447201.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447202	GSM447202	GSM447202.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447203	GSM447203	GSM447203.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447204	GSM447204	GSM447204.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447205	GSM447205	GSM447205.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447206	GSM447206	GSM447206.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447207	GSM447207	GSM447207.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447208	GSM447208	GSM447208.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447209	GSM447209	GSM447209.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447210	GSM447210	GSM447210.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447211	GSM447211	GSM447211.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447212	GSM447212	GSM447212.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447213	GSM447213	GSM447213.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447214	GSM447214	GSM447214.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447215	GSM447215	GSM447215.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447216	GSM447216	GSM447216.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447217	GSM447217	GSM447217.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447218	GSM447218	GSM447218.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447219	GSM447219	GSM447219.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447220	GSM447220	GSM447220.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447221	GSM447221	GSM447221.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447222	GSM447222	GSM447222.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447223	GSM447223	GSM447223.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447224	GSM447224	GSM447224.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447225	GSM447225	GSM447225.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447226	GSM447226	GSM447226.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447227	GSM447227	GSM447227.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447228	GSM447228	GSM447228.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
GSM447229	GSM447229	GSM447229.CEL	U133 Plus 2.0	GSE17907.Rda	RMA Normalization	
