original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
type	new	CANCER_TYPE	Cancer type	Type of cancer	CLINICAL					1	0	1	VARCHAR			
molecular subtype	new	BC_MOLECULAR_SUBTYPE	Breast Cancer Molecular Subtype	Breast Cancer Molecular Subtype	CLINICAL					1	0	1	VARCHAR			
hisyology	312	HIST_TUMOR_TYPE	Histopathological Tumor type	Histopathological Tumor type	CLINICAL					1	0	1	VARCHAR			
pt	247	PTNM_T	Primary Tumor Site (pTNM-T)	Primary Tumor Site in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
pn	202	NODAL_STATUS	Nodal Status	Lymph node positivity for tumor cells	PATHOLOGY					1	0	1	VARCHAR2(8)			
grade sbr	198	ELSTON-ELLIS_GRADE	Elston-Ellis grade category	The histologic grade (Elston-Ellis) category	PATHOLOGY					1	0	1	NUMBER(1)		1	3
erbb2 ihc status:	new	ERBB2_IHC_STATUS	ERBB2 IHC Status	Protein ERBB2 positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
er ihc status:	new	ER_IHC_STATUS	ER IHC Status	Estrogen Receptor positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
pr ihc status	new	PR_IHC_STATUS	PR IHC Status	Progesterone receptor positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
p53 ihc status	new	P53_IHC_STATUS	P53 IHC Status	Protein P53 positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
ki67 ihc status	new	KI67_IHC_STATUS	KI67 IHC Status	Protein KI67 positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
Erbb2 ht ihc status	new	ERBB2_HT_IHC_STATUS	ERBB2 HT IHC Status	Protein ERBB2 HT positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
Erbb2 tab ihc status	new	ERBB2_TAB_IHC_STATUS	ERBB2 TAB IHC Status	Protein ERBB2 TAB positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
Erbb2p ihc status	new	ERBB2P_IHC_STATUS	ERBB2P IHC Status	Protein ERBB2P positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
igf1r ihc status: 	new	IGF1R_IHC_STATUS	IGF1R IHC Status	Protein IGF1R positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
egfr ihc status:	new	EGFR_IHC_STATUS	EGFR IHC Status	Protein EGFR positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
top2a ihc status:	new	TOP2A_IHC_STATUS	TOP2A IHC Status	Protein TOP2A positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
foxa1 ihc status	new	FOXA1_IHC_STATUS	FOXA1 IHC Status	Protein FOXA1 positivity tested by immunochemistry	CLINICAL					1	0	1	VARCHAR			
mfs	318	EVENT_DMFS	Event indicator for Distant Metastasis Free Survival	Indicates that distant metastasis occurred and was recorded OR no distant metastasis was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
mfsdel (month)	new	DMFS_MONTHS	Distant metastasis free survival in months	Tracks the distant metastasis free survival time from diagnosis or surgery of the patient till the event or last follow up 	CLINICAL					0	0	0	NUMBER(4,1)	months	1	60
age	147	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	NUMBER(4, 1)	years	0	120
