original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
General patient data-age at case start	ATTRIBUTE_TYPE_ID=222	AGE_CASE_START	Age at case start	Age of patient at case start	CLINICAL					0	0	0	NUMBER(3)		0	120
General patient data-gender	ATTRIBUTE_TYPE_ID=119	GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL		1	62	 C17357	1	0	1	VARCHAR2(6)			
Addictive drugs-drug	ATTRIBUTE_TYPE_ID=223	CIGARETTES	Cigarette smoker	Has the patient ever been a smoker of ciagettes.  No may mean not a smoker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)			
Addictive drugs-drug	ATTRIBUTE_TYPE_ID=224	WINE	Wine consumer	Has the patient ever consumed wine on a regular basis ( > 3-4 x per month).   No may mean not a drinker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)			
Addictive drugs-drug	ATTRIBUTE_TYPE_ID=226	LIQUOR	Liquor consumer	Has the patient ever consumed liquor on a regular basis ( > 3-4 x per month).    No may mean not a drinker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)			
Addictive drugs-drug	ATTRIBUTE_TYPE_ID=225	BEER	Beer consumer	Has the patient ever consumed beer on a regular basis ( > 3-4 x per month).    No may mean not a drinker or not answered.	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)			
Addictive drugs-drug	new	PIPE	Pipe smoker	Has the patient ever been a smoker of pipes	DEMOGRAPHICAL					1	0	1	VARCHAR2(3)			
Current diseases-disease code	ATTRIBUTE_TYPE_ID=227	PRIMARY_DISEASE	ICD-O code of the primary tumor/disease	ICD-O code (?) of the primary tumor/disease	CLINICAL					1	0	1	VARCHAR2(10)			
neoadjuvant therapies	new	NEOADJ_THERAPY	Neoadjuvant therapies	Neoadjuvant therapy received	CLINICAL					1	0	1	varchar			
neoadjuvant chemotherapies	new	NEOADJ_CT	Neoadjuvant chemotherapies	Neoadjuvant chemotherapy recieved	CLINICAL					1	0	1	varchar			
neoadjuvant radiations	new	NEOADJ_RADIATION	Neoadjuvant radiations	Neoadjuvant radiation received	CLINICAL					1	0	1	varchar			
neoadjuvant hormone therapies	new	NEOADJ_HORMONE_TH	Neoadjuvant hormone therapies	Neoadjuvant hormone therapy received	CLINICAL					1	0	1	varchar			
Surgical findings-localization	ATTRIBUTE_TYPE_ID=228	DISEASE_LOCALIZATION	The local of the disease/tumor	The local of the disease/tumor	CLINICAL					1	0	1	VARCHAR2(20)			
tumor size [cm]	ATTRIBUTE_TYPE_ID=199	TUMOR_SIZE	Tumor size	The tumor size in centimeters	PATHOLOGY					0	0	0	   NUMBER(3,1)   	cm	0	99.9
Classification-histological type	new	HIST_TUMOR_GRADE	Histological tumor grade	Histological tumor grade	PATHOLOGY					1	0	1	VARCHAR(1)			
Classification-histological type	ATTRIBUTE_TYPE_ID=362	HIST_TUMOR_TYPE	Histopathological Tumor type	Histopathological Tumor type	CLINICAL					1	0	1	VARCHAR			
classification PTNM_T	ATTRIBUTE_TYPE_ID=229	PTNM_T	Primary Tumor Site (pTNM-T)	Primary Tumor Site in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
classification PTNM_N	ATTRIBUTE_TYPE_ID=230	PTNM_N	Lymph Node Involvement (pTNM-N)	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes 	PATHOLOGY					1	0	1	VARCHAR2(5)			
