original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
age	147	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	NUMBER(4, 1)	years	0	120
grade	198	ELSTON-ELLIS_GRADE	Elston-Ellis grade category	The histologic grade (Elston-Ellis) category	PATHOLOGY					0	0	0	NUMBER(1)		1	3
size	199	TUMOR_SIZE	Tumor size	The tumor size in centimeters	PATHOLOGY					0	0	0	NUMBER(3,1)	cm	0	99.9
er	ATTRIBUTE_TYPE_ID=200	ER_STATUS	ER Status	Estrogen Receptor Status	PATHOLOGY					0	0	1	varchar			
pgr	201	PGR_STATUS	Progestrone receptor status	Progestrogen receptor status	PATHOLOGY					1	0	1	VARCHAR2(8)			
node	ATTRIBUTE_TYPE_ID=202	NODAL_STATUS	Lymph Node Status	Lymph Node positivity for tumor cells	PATHOLOGY					1	0	1	varchar			
t.rfs	681	DISEASE_FREE_SURVIVAL_DAYS	Disease free survival in days	Tracks the time from diagnosis or surgery to event or last follow up	CLINICAL					0	0	0	NUMBER(4,1)	days	1	18250
t.dmfs	367	DMFS_DAYS	Distant metastasis free survival in days	Tracks the distant metastasis free survival time from diagnosis or surgery of the patient till the event or last follow up 	CLINICAL					0	0	0	NUMBER(4,1)	days	1	18250
treatment	197	TAMOXIFEN_TREATMENT	Tamoxifen Treatment	The patient was treated with tamoxifen	CLINICAL					0	0	1	NUMBER(1)		0	1
e.rfs	364	EVENT_DFS	Event indicator for Disease Free Survival	Indicates recurrence OR that no recurrence was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
e.dmfs	368	EVENT_DMFS	Event indicator for Distant Metastasis Free Survival	Indicates that distant metastasis occurred and was recorded OR no distant metastasis was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
