SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	CANCER_TYPE	AGE	GENDER	MORPHOLOGY	HISTOLOGY	SOURCE	CYTOGENETIC_ANALYSIS	TP53_MUTATION
MCF7		REPLICATE		Breast	69	FEMALE	EPITHELIAL	Adenocarcinoma- mammary gland|| breast|| metastatic site: pleural effusion||	Pleural effusion	3n-|| Hypotriploid (58-68)	WT
MDA_MB_231		REPLICATE		Breast	51	FEMALE	EPITHELIAL	Adenocarcinoma-mammary gland|| breast|| epithelial|| metastatic site: pleural effusion||	Pleural effusion	2n+|| Hyperdiploid (47-57)	MUTANT
HS578T		REPLICATE		Breast	74	FEMALE	EPITHELIAL	Carcinosarcoma-mammary gland|| breast	Primary	2n+|| Hyperdiploid (47-57)	MUTANT
BT_549		REPLICATE		Breast	72	FEMALE	EPITHELIAL	Papillary infiltrating ductal carcinoma-mammary gland|| breast	Metastasis	3n+/-|| Near-triploid 69+/- (58-80)	
T47D		REPLICATE		Breast	54	FEMALE	EPITHELIAL	infiltrating ductal carcinoma		2n+|| Hyperdiploid (47-57)	MUTANT
SF_268		REPLICATE		Central nervous system	24	FEMALE		Glioblastoma|| ud		2n+|| Hyperdiploid (47-57)	MUTANT
SF_295		REPLICATE		Central nervous system	67	FEMALE		Glioblastoma|| ud		5n+/-|| Near-pentaploid 115+/- (104-126)	MUTANT
SF_539		REPLICATE		Central nervous system	34	FEMALE		Glial cell neoplasm		4n+/-|| Near-tetraploid 92+/- (81-103)	WT
SNB_19		REPLICATE		Central nervous system	47	MALE		Glioblastoma|| ud		3n+/-|| Near-triploid 69+/- (58-80)	MUTANT
SNB_75		REPLICATE		Central nervous system		FEMALE		Astrocytoma		2n+|| Hyperdiploid (47-57)	MUTANT
U251		REPLICATE		Central nervous system	75	MALE		Glioblastoma||ud		2n+|| Hyperdiploid (47-57)	MUTANT
COLO205		REPLICATE		Colon	70	MALE	EPITHELIAL	Adenocarcinoma	Ascites	3n|| Triploid (69)	MUTANT
HCC_2998		REPLICATE		Colon			EPITHELIAL	carcinoma		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
HCT_116		REPLICATE		Colon		MALE	EPITHELIAL	carcinoma-vpd		2n-|| Hypodiploid (35-45)	
HCT_15		REPLICATE		Colon			EPITHELIAL	Adenocarcinoma p/md		2n+/-|| Near-diploid 46+/- (35-57)	
HT29		REPLICATE		Colon	44	FEMALE	EPITHELIAL	Adenocarcinoma-md	Primary	3n+/-|| Near-triploid 69+/- (58-80)	MUTANT
KM12		REPLICATE		Colon			EPITHELIAL	Adenocarcinome-pd		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
SW_620		REPLICATE		Colon	51	MALE	EPITHELIAL	Carcinoma-ud		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
CCRF_CEM		REPLICATE		Leukemia	4	FEMALE		ALL		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
HL_60		REPLICATE		Leukemia	36	MALE		Pro myelocytic leukemia	PBL	2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
K_562		REPLICATE		Leukemia	53	FEMALE		CML	Pleural effusion	3n-|| Hypotriploid (58-68)	MUTANT
MOLT_4		REPLICATE		Leukemia	19	MALE		ALL (cells were taken when patient was in relapse)	PB	4n|| Tetraploid (92)	WT
RPMI_8226		REPLICATE		Leukemia	61	MALE		Myeloma	PB	3n-|| Hypotriploid (58-68)	WT
SR		REPLICATE		Leukemia	11	MALE		Lymphoma		2n+/-|| Near-diploid 46+/- (35-57)	
LOXIMVI		REPLICATE		Melanoma	58	MALE		Malignant amelanotic melanoma		3n+/-|| Near-triploid 69+/- (58-80)	WT
MALME_3M		REPLICATE		Melanoma	43	MALE		Malignant melanotic melanoma	Metastasis	4n+/-|| Near-tetraploid 92+/- (81-103)	WT
M14		REPLICATE		Melanoma				Melanotic melanoma		3n+/-|| Near-triploid 69+/- (58-80)	MUTANT
SK_MEL_2		REPLICATE		Melanoma	60	MALE		Malignant melanotic melanoma	Metastasis	4n-|| Hypotetraploid (81-91)	WT
SK_MEL_28		REPLICATE		Melanoma	51	MALE		Malignant melanotic melanoma		4n-|| Hypotetraploid (81-91)	MUTANT
SK_MEL_5		REPLICATE		Melanoma	24	FEMALE		Malignant melanotic melanoma	Metastasis	4n+|| Hypertetraploid (93-103)	WT
UACC_257		REPLICATE		Melanoma				Melanotic melanoma		3n+|| Hypertriploid (70-80)	WT
UACC_62		REPLICATE		Melanoma				Melanotic melanoma		3n+/-|| Near-triploid 69+/- (58-80)	WT
MDA_MB_435		REPLICATE		Melanoma	31	FEMALE		Ductal carcinoma- mammary gland|| breast|| duct|| metastatic site: pleural effusion||	Pleural effusion	2n+|| Hyperdiploid (47-57)	MUTANT
MDA_N		REPLICATE		Melanoma	31	FEMALE		Ductal carcinoma- mammary gland|| breast|| duct|| metastatic site: pleural effusion||	Pleural effusion		MUTANT
A549		REPLICATE		Non-Small Cell Lung	58	MALE	EPITHELIAL	Adenocarcinoma-p/md		3n+/-|| Near-triploid 69+/- (58-80)	WT
EKVX		REPLICATE		Non-Small Cell Lung		MALE	EPITHELIAL	Adenocarcinoma-md		3n+/-|| Near-triploid 69+/- (58-80)	MUTANT
HOP_62		REPLICATE		Non-Small Cell Lung	60	FEMALE	EPITHELIAL	adenocarcinoma-ud		4n+|| Hypertetraploid (93-103)	MUTANT
HOP_92		REPLICATE		Non-Small Cell Lung	62	MALE	EPITHELIAL	Large cell-ud		4n+/-|| Near-tetraploid 92+/- (81-103)	MUTANT
NCI_H226		REPLICATE		Non-Small Cell Lung		MALE	EPITHELIAL	Squamous cell carcinoma-vpd		3n|| Triploid (69)	MUTANT
NCI_H23		REPLICATE		Non-Small Cell Lung		MALE	EPITHELIAL	Adenocarcinoma-ud		2n+|| Hyperdiploid (47-57)	MUTANT
