SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	ALTERNATE_NAME	AGE	GENDER	RACE	CANCER_TYPE	SAMPLE_LOCATION	SOURCE	CELL_CULTURE_PROPERTIES	MORPHOLOGY	BLOOD_TYPE	RH_TYPE	YEAR_OF_ORIGIN	TUMORIGENIC	ER_STATUS	PGR_STATUS	PLOIDY	PRIOR_TREATMENT	HIST_TUMOR_TYPE	HIST_TUMOR_GRADE	TP53_MUTATION	MULTIPLE_DRUG_RESISTANCE	DOUBLING_TIME
BT_549		REPLICATE		HTB-122	72	F	CAUCASIAN	Breast	MAMMARY GLAND	Metastasis	ADHERENT	EPITHELIAL			1978		NEGATIVE	NEGATIVE	"3n+/-, Near-triploid 69+/- (58-80)"		Papillary infiltrating ductal carcinoma-mammary gland; breast			"""-45"""	53.9
HS578T		REPLICATE		HTB-126	74	F	CAUCASIAN	Breast	MAMMARY GLAND	Primary	ADHERENT	EPITHELIAL				NO			"2n+, Hyperdiploid (47-57)"		Carcinosarcoma		MUTANT		53.8
MCF7		REPLICATE		HTB-22	69	F	CAUCASIAN	Breast	MAMMARY GLAND/BREAST	Derived from metastatic site; Plueral Effusion	ADHERENT	EPITHELIAL	O	POSITIVE			POSITIVE	POSITIVE	"3n-, Hypotriploid (58-68)"		Adenocarcinoma		WT	"""14"""	25.4
MDA_MB_231		REPLICATE		HTB-26	51	F	CAUCASIAN	Breast	MAMMARY GLAND	Pleural Effusion	ADHERENT	EPITHELIAL				YES	NEGATIVE	NEGATIVE	"2n+, Hyperdiploid (47-57)"		Adenocarcinoma		MUTANT	"""29"""	41.9
T47D		REPLICATE		CRL-2865	54	F		Breast	MAMMARY GLAND		ADHERENT	EPITHELIAL			2000		POSITIVE	POSITIVE	"2n+, Hyperdiploid (47-57)"		Infiltrating ductal carcinoma		MUTANT	"""19"""	45.5
SF_268		REPLICATE			24	F		Central Nervous System	CENTRAL NERVOUS SYSTEM			NOT EPITHELIAL							"2n+, Hyperdiploid (47-57)"	Rad	Glioblastoma	UNDIFF	MUTANT	"""-38"""	33.1
SF_295		REPLICATE			67	F		Central Nervous System	CENTRAL NERVOUS SYSTEM			NOT EPITHELIAL							"5n+/-, Near-pentaploid 115+/- (104-126)"	Rad	Glioblastoma	UNDIFF	MUTANT	"""91"""	29.5
SF_539		REPLICATE			34	F		Central Nervous System	CENTRAL NERVOUS SYSTEM			NOT EPITHELIAL							"4n+/-, Near-tetraploid 92+/- (81-103)"	Rad||BCNU||5FU||HU||6MP	Glial cell neoplasm		WT	"""-40"""	35.4
SNB_19		REPLICATE			47	M		Central Nervous System	CENTRAL NERVOUS SYSTEM			NOT EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"	None	Glioblastoma	UNDIFF	MUTANT	"""-41"""	34.6
SNB_75		REPLICATE				F		Central Nervous System	CENTRAL NERVOUS SYSTEM			NOT EPITHELIAL							"2n+, Hyperdiploid (47-57)"	None	Astrocytoma		MUTANT	"""-38"""	62.8
U251		REPLICATE			75	M		Central Nervous System	CENTRAL NERVOUS SYSTEM			NOT EPITHELIAL							"2n+, Hyperdiploid (47-57)"		Glioblastoma	UNDIFF	MUTANT	"""-19"""	23.8
HCT_116		REPLICATE		CCL-247		M		Colon	COLON		ADHERENT	EPITHELIAL				YES			"2n-, Hypodiploid (35-45)"		Carcinoma-Vulvar Paget's Disease			"""26"""	17.4
COLO205		REPLICATE		CCL-222	70	M	CAUCASIAN	Colon	COLON	Ascites	MIXED||ADHERENT AND SUSPENSION	EPITHELIAL				YES			"3n, Triploid (69)"		Adenocarcinoma		MUTANT	"""7"""	23.8
