original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
ADDITIONAL_CHEMO_THERAPY		ADDITIONAL_CHEMO_THERAPY	Additional Chemotherapy	The yes/no indicator related to the additional administration of chemotherapy after the return of a disease after a period of remission.	CLINICAL					1	0	1	VARCHAR2(5)			
ADDITIONAL_DRUG_THERAPY		ADDITIONAL_DRUG_THERAPY	Additonal Drug Therapy	Yes/no indicator to signify the treatment of an individual with recurrent or progression disease with additional targeted molecular therapy	CLINICAL					1	0	1	VARCHAR2(5)			
ADDITIONAL_IMMUNO_THERAPY		ADDITIONAL_IMMUNO_THERAPY	Additional Immuno Therapy	The yes/No indicator for the administration of additional immunotherapy to an individual after the recurrence or progression of disease	CLINICAL					1	0	1	VARCHAR2(5)			
ADDITIONAL_PHARMA_THERAPY		ADDITIONAL_PHARMA_THERAPY	Additional Pharmaceutical Therapy	The yes/No indicator for the administration of additional pharmaceutical therapy to an individual after the recurrence or progression of disease	CLINICAL					1	0	1	VARCHAR2(5)			
ADDITIONAL_RADIATION_THERAPY		ADDITIONAL_RADIATION_THERAPY	Additional Radiation Therapy	The yes/no indicator related to the additional administration of the use of radiation therapy to an individual after the recurrence or progression of disease	CLINICAL					1	0	1	VARCHAR2(5)			
AGE	staging attribute type=368	AGE	Patient's  Age	Patient's age at diagnosis	DEMOGRAPHICAL					0	0	0	NUMBER(3,1)	years	0	120
CHEMOTHERAPY		CHEMOTHERAPY	Chemotherapy received	The patient received chemotherapy	CLINICAL					1	0	1	VARCHAR2(3)			
OVERALL_SURVIVAL_DAYS		OVERALL_SURVIVAL_DAYS	Overall survival in days	Tracks the time from diagnosis or surgery to event(death) or last follow up	CLINICAL					0	0	0	NUMBER(4,1)	days	0	18250
PROGRESSION_FREE_SURVIVAL_DAYS		PROGRESSION_FREE_SURVIVAL_DAYS	Progression free survival in days	Progression free survival refers to the length of time during and after treatment in which a patient is living with a disease that does not get worse. Progression-free survival may be used in a clinical study or trial to help find out how well a new treatment works.	CLINICAL					0	0	0	NUMBER(4,1)	days	0	18250
PROGRESSION		PROGRESSION	Progression Status	Yes/no indicator to signify whether the disease has progressed	CLINICAL					1	0	1	VARCHAR2(5)			
GENDER		GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL					1	0	1	VARCHAR2(6)			
