TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.
PERFORMANCE_STATUS_SCORE_ECOG	0	0 - Asymptomatic		0 - Asymptomatic
PERFORMANCE_STATUS_SCORE_ECOG	1	1 - Symptomatic but completely ambulatory		1 - Symptomatic but completely ambulatory
PERFORMANCE_STATUS_SCORE_ECOG	2	2 - Symptomatic, <50% in bed during the day		2 - Symptomatic, <50% in bed during the day
PERFORMANCE_STATUS_SCORE_ECOG	3	3 - Symptomatic, >50% in bed, but not bedbound		3 - Symptomatic, >50% in bed, but not bedbound
PERFORMANCE_STATUS_SCORE_ECOG	4	4 - Bedbound (Completely disabled)		4 - Bedbound (Completely disabled)
PERFORMANCE_STATUS_SCORE_ECOG	5	5 - Death		5 - Death
PERFORMANCE_STATUS_SCORE_KARNOFSKY	100	100% - normal, no complaints, no signs of disease		100% - normal, no complaints, no signs of disease
PERFORMANCE_STATUS_SCORE_KARNOFSKY	0	0% - death		0% - death
PERFORMANCE_STATUS_SCORE_KARNOFSKY	40	40% - Disabled		40% - Disabled; requires special care and assistance
PERFORMANCE_STATUS_SCORE_KARNOFSKY	60	60% - Requires occasional assistance		60% - Requires occasional assistance, but is able to care for most of his needs
PERFORMANCE_STATUS_SCORE_KARNOFSKY	80	80% - Normal activity with effort		80% - Normal activity with effort; some signs of symptoms of disease
ADDITIONAL_CHEMO_THERAPY	NO	No		The patient has not had additonal chemotherapy
ADDITIONAL_CHEMO_THERAPY	YES	Yes		The patient has had additonal chemotherapy
ADDITIONAL_DRUG_THERAPY	NO	No		The patient has not had additional drug therapy
ADDITIONAL_DRUG_THERAPY	YES	Yes		The patient has had additional drug therapy
ADDITIONAL_IMMUNO_THERAPY	NO	No		The patient has not had additional immuno therapy
ADDITIONAL_IMMUNO_THERAPY	YES	Yes		The patient has had additional immuno therapy
ADDITIONAL_PHARMA_THERAPY	NO	No		The patient has not had additional pharma therapy
ADDITIONAL_PHARMA_THERAPY	YES	Yes		The patient has had additional pharma therapy
ADDITIONAL_RADIATION_THERAPY	NO	No		The patient has not had additional radiation therapy
ADDITIONAL_RADIATION_THERAPY	YES	Yes		The patient has had additional radiation therapy
CHEMOTHERAPY	NO	No		The patient has not had chemotherapy
CHEMOTHERAPY	YES	Yes		The patient has had chemotherapy
PROGRESSION	YES	YES		Indicates that the disease has progressed
PROGRESSION	NO	NO		Indicates that the disease did not progress
HIST_TUMOR_TYPE	21	21-Serous Cystadenocarcinoma		21-Serous Cystadenocarcinoma
HORMONE_THERAPY	NO	NO		Patient did not recieve Hormone Therapy
HORMONE_THERAPY	YES	YES		Patient did recieve Hormone Therapy
IMMUNO_THERAPY	NO	NO		Patient did not recieve Immuno Therapy
IMMUNO_THERAPY	YES	YES		Patient did recieve Immuno Therapy
INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD	TUMOR_RESECTION	Tumor Resection		Tumor Resection
INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD	CYTOLOGY	Cytology		Cytology
INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD	EXCISIONAL_BIOPSY	Excisional Biopsy		Excisional Biopsy
INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD	FNAB	Fine Needle Aspiration Biopsy		Fine Needle Aspiration Biopsy
INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD	INCISION_BIOPSY	Incision Biopsy		Incision Biopsy
TUMOR_STATUS	WITH_TUMOR	With Tumor		With Tumor
TUMOR_STATUS	TUMOR_FREE	Tumor Free		Tumor Free
BEST_RESPONSE	CR	Complete Response		Complete Response
BEST_RESPONSE	PD	Progressive Disease		Progressive Disease
BEST_RESPONSE	PR	Partial Response		Partial Response
BEST_RESPONSE	SD	Stable Disease		Stable Disease
RADIOTHERAPY	YES	YES		Patient recieved Radiotherapy
RADIOTHERAPY	NO	NO		Patient did not recieve Radiotherapy
RESIDUAL_TUMOR	R1	R1 - Microscopic residual tumor		R1 - microscopic residual tumor
RESIDUAL_TUMOR	R2	R2 - Macroscopic residual tumor		R2 - macroscopic residual tumor
SITE_OF_FIRST_TUMOR_RECURRENCE	LOCO-REGIONAL	Loco-Regional		Loco-Regional
SITE_OF_FIRST_TUMOR_RECURRENCE	METASTASIS	Metastasis		Metastasis
TARGETED_MOLECULAR_THERAPY	NO	NO		Patient did not recieve Targeted Molecular Therapy
TARGETED_MOLECULAR_THERAPY	YES	YES		Patient did recieve Targeted Molecular Therapy
SIZE_RESIDUAL_TUMOR	No Macroscopic disease	No Macroscopic disease		No Macroscopic disease
SIZE_RESIDUAL_TUMOR	>20 mm	>20 mm		>20 mm
SIZE_RESIDUAL_TUMOR	1-10 mm	1-10 mm		1-10 mm
SIZE_RESIDUAL_TUMOR	11-20 mm	11-20 mm		11-20 mm
TUMOR_STAGE_FIGO	IIIC	IIIC		IIIC
TUMOR_STAGE_FIGO	IV	IV		IV
