original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
BIOSPECIMEN_TYPE		BIOSPECIMEN_TYPE	Biospecimen Type	Type of biospecimen	CLINICAL					1	0	1	VARCHAR2(15)			
SAMPLE_TYPE		SAMPLE_TYPE	Sample Type	Indicates from which neoplastic stage the tissue sample was taken	PATHOLOGY					1	0	1	VARCHAR2(24)			
GLEASON_SCORE_BIOPSY		GLEASON_SCORE_BIOPSY	Combined Gleason score from biopsy	"The biopsy Gleason score is a sum of the primary grade (representing the majority of tumor) and a secondary grade (assigned to the minority of the tumor), and is a number ranging from 2 to 10. The score of 10 indicates aggressive tumor and worse prognosis."	PATHOLOGY					0	0	0	"NUMBER(4,1)"		2	10
CTNM_T_PROSTATE		CTNM_T_PROSTATE	Clinical stage in TNM classification	"Represents the clinical tumor stage in the TNM staging. Clinical stage is based on all of the available information obtained before a surgery to remove the tumor. Specifically in prostrate cancer, it represents the extent of cancer in prostrate from the DRE (digital rectal exam)."	CLINICAL					1	0	1	VARCHAR(25)			
PTNM_T		PTNM_T	Primary Tumor Size (pTNM-T)	Primary Tumor Size in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
AGE		AGE	Patient's  Age 	Age of patient at diagnosis or start of case study	DEMOGRAPHICAL					0	0	0	"NUMBER(4, 1) "	years  	0	120
RACE		RACE	Race	Race (not ethnicity)	DEMOGRAPHICAL					1	1	1	VARCHAR2(50)			
ETHNICITY		ETHNICITY	Ethnicity	"A group of people whose members identify with each other, through a common heritage, often consisting of a common language, a common culture (often including a shared religion) and an ideology that stresses common ancestry or endogamy"	DEMOGRAPHICAL					1	1	1	VARCHAR2(50)			
OVERALL_SURVIVAL_MONTHS		OVERALL_SURVIVAL_MONTHS	Overall survival in months	Tracks the time from diagnosis or surgery to event(death) or last follow up in months 	CLINICAL					0	0	0	"NUMBER(4,1)"	months	0	600
EVENT_OS		EVENT_OS	Event indicator for overall survival	Indicates death OR no record of death	CLINICAL					0	0	1	NUMBER(1)		0	1
DEATH_CAUSE		DEATH_CAUSE	Death cause	Cause of death	CLINICAL					1	0	1	VARCHAR(25)			
PRIMARY_GLEASON_GRADE_BIOPSY		PRIMARY_GLEASON_GRADE_BIOPSY	Primary Gleason grade from biopsy  	The pathologist assigns a grade to the most common tumor pattern. It represents the majority of tumor (has to be greater than 50% of the total pattern seen). The sample is taken from prostate biopsy.	PATHOLOGY					0	0	0	"NUMBER(4,1)"		1	5
SECONDARY_GLEASON_GRADE_BIOPSY		SECONDARY_GLEASON_GRADE_BIOPSY	Secondary Gleason grade from biopsy	"The pathologist assigns a second number based on the second most common pattern of cell differentiation. It relates to the minority of the tumor (has to be less than 50%, but at least 5%, of the pattern of the total cancer observed). The sample is taken from prostate biopsy."	PATHOLOGY					0	0	0	"NUMBER(4,1)"		1	5
PSA_LEVEL_DIAGNOSIS		PSA_LEVEL_DIAGNOSIS	PSA level at diagnosis	"Indicates PSA level at diagnosis. Prostate-specific antigen (PSA) is a glycoprotein that is encoded by the KLK3 gene in humans. It is present in small quantities in the serum of men with healthy prostates, but is often elevated in the presence of prostate cancer and in other prostate disorders. It is frequently used for prostate cancer screening."	PATHOLOGY					0	0	0	"NUMBER(4,1)"		0	600
PSA_LEVEL_PRE_TREATMENT		PSA_LEVEL_PRE_TREATMENT	PSA level pre-treatment	"PSA level prior to radical prostatectomy. Prostate-specific antigen (PSA) is a glycoprotein that is encoded by the KLK3 gene in humans. It is present in small quantities in the serum of men with healthy prostates, but is often elevated in the presence of prostate cancer and in other prostate disorders. It is frequently used for prostate cancer screening."	CLINICAL					0	0	0	"NUMBER(4,1)"		0	600
NEOADJ_RADIATION_THERAPY_TYPE		NEOADJ_RADIATION_THERAPY_TYPE	Neo adjuvant radiation type	Represents the type of Neoadjuvant Radiation therapy administered to the subject. Neoadjuvant Radiation therapy is the administration of radiation before main treatment.	CLINICAL					1	0	1	VARCHAR(25) 			
CHEMOTHERAPY_TYPE		CHEMOTHERAPY_TYPE	Chemotherapy type	Indicates the type of chemotherapy given to the subject.	CLINICAL					1	0	1	VARCHAR(25) 			
DRUG		DRUG	Drug	Name of the drug given to the sample	CLINICAL					1	0	1	VARCHAR2(10)			
HORMONE_THERAPY_TYPE		HORMONE_THERAPY_TYPE	Hormone therapy type	Indicates the type of hormone therapy given to the subject.	CLINICAL					1	0	1	VARCHAR(25) 			
RADIATION_TYPE		RADIATION_TYPE	Radiation Type	Classification for the form of radiation therapy administered to a subject.	CLINICAL					1	0	1	VARCHAR(25) 			
RADICAL_PROSTATECTOMY_TYPE		RADICAL_PROSTATECTOMY_TYPE	Radical prostatectomy type	Indicates the type of Radical prostratectomy given to the subject. A radical prostatectomy is an operation to remove the prostate gland and some of the tissue around it. It is done to remove prostate cancer. 	CLINICAL					1	0	1	VARCHAR(25) 			
SURGICAL_MARGIN_STATUS		SURGICAL_MARGIN_STATUS	Surgical margin status	"Indicates the status of the surgical margin (positive or negative). When a tumor is surgically removed, the surgeon takes out more than just the tumor - some tissue around the tumor is also taken. This border of tissue between the outer edge of the sample and the tumor is called the surgical margin."	CLINICAL					1	0	1	VARCHAR(25) 			
EXTRA_CAPSULAR_EXTENSION		EXTRA_CAPSULAR_EXTENSION	Extra capsular extension	"Extra capsular extension is also called Capsular Penetration. Prostate cancer cells extend into, and possibly through, the prostate capsule or outer lining of the prostate gland. It may be unilateral (one lobe or side) or bilateral (involving both lobes or sides.) Designated as Stage T3, the amount of extension will determine which T3 stage it is (T3a, b or c). It is not the same as metastatic cancer."	CLINICAL					1	0	1	VARCHAR(25) 			
SEMINAL_VESICAL_INVASION_STATUS		SEMINAL_VESICAL_INVASION_STATUS	Seminal vesical invasion 	"Indicates the status of the seminal vesical invasion (positive or negative). Seminal vesicle invasion indicates whether the tumor has spread to the seminal vesicles, which are attached to the prostate gland. Although the seminal vesicles are usually removed completely with the prostate gland during a radical prostatectomy, the fact that the tumor cells have spread to involve them is associated with a greater risk of tumor recurrence."	CLINICAL					1	0	1	VARCHAR(25) 			
PTNM_N		PTNM_N	Lymph Node Involvement (pTNM-N) 	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes	CLINICAL					1	0	1	VARCHAR2(5) 			
NODES_REMOVED		NODES_REMOVED	Lymph nodes removed	Number of lymph nodes removed	PATHOLOGY					0	0	0	NUMBER(2)		0	10
PTNM_N_POSITIVE		PTNM_N_POSITIVE	Lymph Nodes positive for cancer  (pTNM-N positive)	pTNM-N positive staging determines if the lymph nodes are positive for cancer in pTNM Classification 	PATHOLOGY					0	0	0	NUMBER(2)		0	10
PRIMARY_GLEASON_GRADE_PATH		PRIMARY_GLEASON_GRADE_PATH	Primary Gleason grade in the radical prostatectomy specimen	Primary Gleason grade in the radical prostatectomy specimen. The pathologist assigns a grade to the most common tumor pattern. It represents the majority of tumor (has to be greater than 50% of the total pattern seen).	PATHOLOGY					0	0	0	"NUMBER(4,1) "		1	5
SECONDARY_GLEASON_GRADE_PATH		SECONDARY_GLEASON_GRADE_PATH	Seondary Gleason grade in the radical prostatectomy specimen	Secondary Gleason grade in the radical prostatectomy specimen. The pathologist assigns a grade to the most common tumor pattern. It represents the minority of tumor (has to be greater than 5% and less than 50% of the total pattern seen).	PATHOLOGY					0	0	0	"NUMBER(4,1) "		1	5
GLEASON_SCORE_PATH		GLEASON_SCORE_PATH	Combined Gleason score in the radical prostatectomy specimen	Sum of primary and secondary gleason grades from radical prostatectomy pathology report. The combined Gleason score is a number ranging from 2 to 10. The score of 10 indicates aggressive tumor and worse prognosis.	PATHOLOGY					0	0	0	"NUMBER(4,1)"		2	10
TIME_TO_RELAPSE/FU_MONTHS		TIME_TO_RELAPSE/FU_MONTHS	Time to relapse or last follow-up in months	Time to relapse or last follow-up in months	CLINICAL					0	0	0	"NUMBER(4,1)"	Months	0	600
RECURRENCE_ANY		RECURRENCE_ANY	Recurrence/Relapse	The appearance of the signs and symptoms of malignancy after treatment and response to therapy 	CLINICAL					1	0	1	VARCHAR2(3) 			
METASTASIS		METASTASIS	Metastasis	Indicates whether the disease spread from one organ or part to another non-adjacent organ or part.	CLINICAL					1	0	1	VARCHAR(25) 			
PROB_PFP_POSTRP		PROB_PFP_POSTRP	Probability of freedom from recurrence 	5 -year probability of freedom from biochemical recurrence after radical prostatectomy	CLINICAL					0	0	0	"NUMBER(4,4) "		0	100
PROB_ECE		PROB_ECE	Probability of having extra-capsular extension	probability of having extra-capsular extension	CLINICAL					0	0	0	"NUMBER(4,4) "		0	100
PROB_PTNM_N		PROB_PTNM_N	Probability of having lymph node metastases	probability of having lymph node metastases	CLINICAL					0	0	0	"NUMBER(4,4) "		0	100
PROB_OCD		PROB_OCD	Probability of having organ confined disease	probability of having organ confined disease	CLINICAL					0	0	0	"NUMBER(4,4) "		0	100
PROB_SVI		PROB_SVI	Probability of having seminal vesicle invasion	probability of having seminal vesicle invasion	CLINICAL					0	0	0	"NUMBER(4,4) "		0	100
