original_name		conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
age		staging attribute type=368	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	"NUMBER(3,1)"	years	0	120
gender		staging attribute type=421	GENDER	Gender	The classification of the sex or gender role of the patient.	DEMOGRAPHICAL		1	62	 C17357	1	0	1	VARCHAR2(6)			
type		staging attribute type=362	HIST_TUMOR_TYPE	Histological tumor type	Histological tumor type	CLINICAL					1	0	1	VARCHAR			
Lauren		new	LAUREN_CLASS	Tumor type according to Lauren Histological Classification	Tumor type according to Lauren Histological Classification	CLINICAL					1	0	1	VARCHAR2(24)			
Hist grade		staging attribute type=433	HIST_TUMOR_GRADE	Histological tumor grade	Histological tumor grade	PATHOLOGY					1	0	1	VARCHAR(1)			
type		staging attribute type=229	PTNM_T	Primary Tumor Site (pTNM-T)	Primary Tumor Site in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
ming		new	MING_CLASS	Tumor type according to Ming Classification	Tumor type according to Ming scheme 	CLINICAL					1	0	1	VARCHAR2(24)			
ming		new	WHO_CLASS	Tumor type according to WHO Classification	Tumor type according to WHO scheme 	CLINICAL					1	0	1	VARCHAR2(64)			
node		staging attribute type=230	PTNM_N	Lymph Node Involvement (pTNM-N)	Degree of lymph node involvement in pTNM Classification. N staging determines whether or not the cancer has spread into nearby lymph nodes 	PATHOLOGY					1	0	1	VARCHAR2(5)			
grade		new	AJCC_TUMOR_GRADE	Gastric Tumor Grade	Gastric-Cancer Specific Tumor Grading System	PATHOLOGY					1	0	1	VARCHAR2(2)			
