original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
treatment	ATTRIBUTE_TYPE_ID=197	TAMOXIFEN_TREATMENT	Tamoxifen Treatment	The patient was treated with tamoxifen	CLINICAL					0	0	1	NUMBER(1)		0	1
grade	ATTRIBUTE_TYPE_ID=198	ELSTON-ELLIS_GRADE	Elston-Ellis grade category	The histologic grade (Elston-Ellis) category	PATHOLOGY					0	0	0	NUMBER(1)		1	3
node	ATTRIBUTE_TYPE_ID=202	NODAL_STATUS	Nodal Status	Lymph node positivity for tumor cells	PATHOLOGY					1	0	1	VARCHAR2(8)			
size	ATTRIBUTE_TYPE_ID=199	TUMOR_SIZE	Tumor size	The tumor size in centimeters	PATHOLOGY					0	0	0	"NUMBER(3,1)"	cm	0	99.9
age	ATTRIBUTE_TYPE_ID=147	AGE	Patient's  Age	Patient's current age or age at death	DEMOGRAPHICAL					0	0	0	number	years		
er	ATTRIBUTE_TYPE_ID=200	ER_STATUS	Estrogen receptor status	Estrogen receptor status	PATHOLOGY					1	0	1	VARCHAR2(8)			
event.rfs	new	EVENT_DFS	Event indicator for Disease Free Survival	Indicates recurrence OR that no recurrence was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
time.rfs	ATTRIBUTE_TYPE_ID=340	DISEASE_FREE_SURVIVAL_YEARS	Disease free survival in years	Tracks the time from diagnosis or surgery to event or last follow up	CLINICAL					0	0	0	"NUMBER(4,1)"	years	1	50
event.dmfs	new	EVENT_DMFS	Event indicator for Distant Metastasis Free Survival	Indicates that distant metastasis occurred and was recorded OR no distant metastasis was recorded	CLINICAL					0	0	1	NUMBER(1)		0	1
time.dmfs	new	DMFS_YEARS	Distant metastasis free survival in years	Tracks the distant metastasis free survival time from diagnosis or surgery of the patient till the event or last follow up 	CLINICAL					0	0	0	"NUMBER(4,1)"	years	1	50
