TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
TAMOXIFEN_TREATMENT	NO	No		The patient was not treated with tamoxifen
TAMOXIFEN_TREATMENT	YES	Yes		The patient was treated with tamoxifen
NODAL_STATUS	NEGATIVE	Negative		Lymph Node negative for tumor cells
NODAL_STATUS	POSITIVE	Positive		Lymph Nodes positive for tumor cells
NODAL_STATUS	NA	NA		Lymph Nodes status unknown
ER_STATUS	POSITIVE	Positive		Estrogen Receptor positive
ER_STATUS	NEGATIVE	Negative		Estrogen Receptor negative
ER_STATUS	NA	NA		Estrogen Receptor status unknown
VITAL_STATUS	ALIVE	Alive		Patient was alive at last follow-up
VITAL_STATUS	DEAD	Dead		Patient is dead
VITAL_STATUS	NA	NA		Vital Status of the patient is unknown
				
