SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	POPULATION	SUPER_POPULATION	FAMILY_ID	GENDER	RELATIONSHIP	FAMILY_TYPE	
HG00096		PATIENT 					MALE		UNREL	
HG00097		PATIENT 		GBR	European		FEMALE		UNREL	
HG00098		PATIENT 		GBR	European		MALE		UNREL	
HG00099		PATIENT 		GBR	European		FEMALE		UNREL	
HG00100		PATIENT 		GBR	European		FEMALE		UNREL	
HG00101		PATIENT 		GBR	European		MALE		UNREL	
HG00102		PATIENT 		GBR	European		FEMALE		UNREL	
HG00103		PATIENT 		GBR	European		MALE		UNREL	
HG00104		PATIENT 		GBR	European		FEMALE		UNREL	
HG00105		PATIENT 		GBR	European		MALE		UNREL	
HG00106		PATIENT 		GBR	European		FEMALE		UNREL	
HG00107		PATIENT 		GBR	European		MALE		UNREL	
HG00108		PATIENT 		GBR	European		MALE		UNREL	
HG00109		PATIENT 		GBR	European		MALE		UNREL	
HG00110		PATIENT 		GBR	European		FEMALE		UNREL	
HG00111		PATIENT 		GBR	European		FEMALE		UNREL	
HG00112		PATIENT 		GBR	European		MALE		UNREL	
HG00113		PATIENT 		GBR	European		MALE		UNREL	
HG00114		PATIENT 		GBR	European		MALE		UNREL	
HG00115		PATIENT 		GBR	European		MALE		UNREL	
HG00116		PATIENT 		GBR	European		MALE		UNREL	
HG00117		PATIENT 		GBR	European		MALE		UNREL	
HG00118		PATIENT 		GBR	European		FEMALE		UNREL	
HG00119		PATIENT 		GBR	European		MALE		UNREL	
HG00120		PATIENT 		GBR	European		FEMALE		UNREL	
HG00121		PATIENT 		GBR	European		FEMALE		UNREL	
HG00122		PATIENT 		GBR	European		FEMALE		UNREL	
HG00123		PATIENT 		GBR	European		FEMALE		UNREL	
HG00124		PATIENT 		GBR	European		FEMALE		UNREL	
HG00125		PATIENT 		GBR	European		FEMALE		UNREL	
HG00126		PATIENT 		GBR	European		MALE		UNREL	
HG00127		PATIENT 		GBR	European		FEMALE		UNREL	
HG00128		PATIENT 		GBR	European		FEMALE		UNREL	
HG00129		PATIENT 		GBR	European		MALE		UNREL	
HG00130		PATIENT 		GBR	European		FEMALE		UNREL	
HG00131		PATIENT 		GBR	European		MALE		UNREL	
HG00132		PATIENT 		GBR	European		FEMALE		UNREL	
HG00133		PATIENT 		GBR	European		FEMALE		UNREL	
HG00134		PATIENT 		GBR	European		FEMALE		UNREL	
HG00135		PATIENT 		GBR	European		FEMALE		UNREL	
HG00136		PATIENT 		GBR	European		MALE		UNREL	
HG00137		PATIENT 		GBR	European		FEMALE		UNREL	
HG00138		PATIENT 		GBR	European		MALE		UNREL	
HG00139		PATIENT 		GBR	European		MALE		UNREL	
HG00140		PATIENT 		GBR	European		MALE		UNREL	
HG00141		PATIENT 		GBR	European		MALE		UNREL	
HG00142		PATIENT 		GBR	European		MALE		UNREL	
HG00143		PATIENT 		GBR	European		MALE		UNREL	
HG00144		PATIENT 		GBR	European		FEMALE	MOTHER 	DUO	
HG00145		PATIENT 		GBR	European		MALE		UNREL	
HG00146		PATIENT 		GBR	European		FEMALE	SIBLING	DUO	
HG00147		PATIENT 		GBR	European		FEMALE	SIBLING	DUO	
HG00148		PATIENT 		GBR	European		MALE		UNREL	
HG00149		PATIENT 		GBR	European		MALE		UNREL	
HG00150		PATIENT 		GBR	European		FEMALE		UNREL	
HG00151		PATIENT 		GBR	European		MALE		UNREL	
HG00152		PATIENT 		GBR	European		MALE		UNREL	
HG00153		PATIENT 		GBR	European		FEMALE	CHILD	DUO	
HG00154		PATIENT 		GBR	European		FEMALE		UNREL	
HG00155		PATIENT 		GBR	European		MALE	CHILD	DUO	
HG00156		PATIENT 		GBR	European		MALE		UNREL	
HG00157		PATIENT 		GBR	European		MALE		UNREL	
HG00158		PATIENT 		GBR	European		FEMALE	MOTHER	DUO	
HG00159		PATIENT 		GBR	European		MALE		UNREL	
HG00160		PATIENT 		GBR	European		MALE		UNREL	
HG00171		PATIENT 		FIN	European		FEMALE		UNREL	
HG00173		PATIENT 		FIN	European		FEMALE		UNREL	
HG00174		PATIENT 		FIN	European		FEMALE		UNREL	
HG00176		PATIENT 		FIN	European		FEMALE		UNREL	
HG00177		PATIENT 		FIN	European		FEMALE		UNREL	
HG00178		PATIENT 		FIN	European		FEMALE		UNREL	
HG00179		PATIENT 		FIN	European		FEMALE		UNREL	
HG00180		PATIENT 		FIN	European		FEMALE		UNREL	
HG00181		PATIENT 		FIN	European		MALE		UNREL	
HG00182		PATIENT 		FIN	European		MALE		UNREL	
HG00183		PATIENT 		FIN	European		MALE		UNREL	
HG00185		PATIENT 		FIN	European		MALE		UNREL	
HG00186		PATIENT 		FIN	European		MALE		UNREL	
HG00187		PATIENT 		FIN	European		MALE		UNREL	
HG00188		PATIENT 		FIN	European		MALE		UNREL	
HG00189		PATIENT 		FIN	European		MALE		UNREL	
HG00190		PATIENT 		FIN	European		MALE		UNREL	
HG00231		PATIENT 		GBR	European		FEMALE		UNREL	
HG00232		PATIENT 		GBR	European		FEMALE		UNREL	
HG00233		PATIENT 		GBR	European		FEMALE		UNREL	
HG00234		PATIENT 		GBR	European		MALE		UNREL	
HG00235		PATIENT 		GBR	European		FEMALE		UNREL	
HG00236		PATIENT 		GBR	European		FEMALE		UNREL	
HG00237		PATIENT 		GBR	European		FEMALE		UNREL	
HG00238		PATIENT 		GBR	European		FEMALE		UNREL	
HG00239		PATIENT 		GBR	European		FEMALE		UNREL	
HG00240		PATIENT 		GBR	European		FEMALE		UNREL	
HG00242		PATIENT 		GBR	European		MALE		UNREL	
HG00243		PATIENT 		GBR	European		MALE		UNREL	
HG00244		PATIENT 		GBR	European		MALE		UNREL	
HG00245		PATIENT 		GBR	European		FEMALE		UNREL	
HG00246		PATIENT 		GBR	European		MALE		UNREL	
HG00247		PATIENT 		GBR	European		FEMALE	MOTHER 	DUO	
HG00248		PATIENT 		GBR	European		FEMALE	DAUGHTER	DUO	
HG00249		PATIENT 		GBR	European		FEMALE		UNREL	
HG00250		PATIENT 		GBR	European		FEMALE		UNREL	
HG00251		PATIENT 		GBR	European		MALE		UNREL	
HG00252		PATIENT 		GBR	European		MALE		UNREL	
HG00253		PATIENT 		GBR	European		FEMALE		UNREL	
HG00254		PATIENT 		GBR	European		FEMALE		UNREL	
HG00255		PATIENT 		GBR	European		FEMALE		UNREL	
HG00256		PATIENT 		GBR	European		MALE		UNREL	
HG00257		PATIENT 		GBR	European		FEMALE		UNREL	
HG00258		PATIENT 		GBR	European		FEMALE		UNREL	
HG00259		PATIENT 		GBR	European		FEMALE		UNREL	
HG00260		PATIENT 		GBR	European		MALE		UNREL	
HG00261		PATIENT 		GBR	European		FEMALE		UNREL	
HG00262		PATIENT 		GBR	European		FEMALE		UNREL	
HG00263		PATIENT 		GBR	European		FEMALE		UNREL	
HG00264		PATIENT 		GBR	European		MALE		UNREL	
