"##For information about the Annotation file content,  please see the bundled README file."		
#%create_date=2009-11-13 GMT-08:00 20:57:17		
#%chip_type=HT_HG-U133A		
#%genome-species=Homo sapiens		
#%genome-version=hg19		
#%genome-version-ucsc=hg19		
#%genome-version-ncbi=GRCh37		
#%genome-version-create_date=2009-02-00		
#%netaffx-annotation-date=2009-11-23		
#%netaffx-annotation-netaffx-build=30		
#%netaffx-annotation-tabular-format-version=1.0		
Probe Set ID	Gene Symbol	Entrez Gene
1007_s_at	DDR1	780
1053_at	RFC2	5982
117_at	HSPA6	3310
121_at	PAX8	7849
1255_g_at	GUCA1A	2978
1294_at	UBA7	7318
1316_at	THRA	7067
1320_at	PTPN21	11099
1405_i_at	CCL5	6352
1431_at	CYP2E1	1571
1438_at	EPHB3	2049
1487_at	ESRRA	2101
1494_f_at	CYP2A6	1548
1598_g_at	GAS6	2621
160020_at	MMP14	4323
1729_at	TRADD	8717
1773_at	FNTB	2342
177_at	PLD1	5337
179_at	PMS2L11	441263
1861_at	BAD	572
200000_s_at	PRPF8	10594
200001_at	CAPNS1	826
200002_at	RPL35	11224
200003_s_at	RPL28	6158
200004_at	EIF4G2	1982
200005_at	EIF3D	8664
200006_at	PARK7	11315
200007_at	SRP14	6727
200008_s_at	GDI2	2665
200009_at	GDI2	2665
200010_at	RPL11	6135
200011_s_at	ARF3	377
200012_x_at	RPL21	6144
200013_at	RPL24	6152
200014_s_at	HNRNPC	3183
200015_s_at	2-Sep	4735
200016_x_at	HNRNPA1	3178
200017_at	RPS27A	6233
200018_at	RPS13	6207
200019_s_at	FAU	2197
200020_at	TARDBP	23435
200021_at	CFL1	1072
200022_at	RPL18	6141
200023_s_at	EIF3F	8665
200024_at	RPS5	6193
200025_s_at	RPL27	6155
200026_at	RPL34	6164
200027_at	NARS	4677
200028_s_at	STARD7	56910
200029_at	RPL19	6143
200030_s_at	SLC25A3	5250
200031_s_at	RPS11	6205
200032_s_at	RPL9	6133
200033_at	DDX5	1655
200034_s_at	RPL6	6128
200035_at	DULLARD	23399
200036_s_at	RPL10A	4736
200037_s_at	CBX3	11335
200038_s_at	RPL17	6139
200039_s_at	PSMB2	5690
200040_at	KHDRBS1	10657
200041_s_at	BAT1	7919
200042_at	C22orf28	51493
200043_at	ERH	2079
200044_at	SFRS9	8683
200045_at	ABCF1	23
200046_at	DAD1	1603
200047_s_at	YY1	7528
200048_s_at	JTB	10899
200049_at	MYST2	11143
200050_at	ZNF146	7705
200051_at	SART1	9092
200052_s_at	ILF2	3608
200053_at	SPAG7	9552
200054_at	ZNF259	8882
200055_at	TAF10	6881
200056_s_at	C1D	10438
200057_s_at	NONO	4841
200058_s_at	SNRNP200	23020
200059_s_at	RHOA	387
200060_s_at	RNPS1	10921
200061_s_at	RPS24	6229
200062_s_at	RPL30	6156
200063_s_at	NPM1	4869
200064_at	HSP90AB1	3326
200065_s_at	ARF1	375
200066_at	IK	3550
200067_x_at	SNX3	8724
200068_s_at	CANX	821
200069_at	SART3	9733
200070_at	C2orf24	27013
200071_at	SMNDC1	10285
200072_s_at	HNRNPM	4670
200073_s_at	HNRNPD	3184
200074_s_at	RPL14	9045
200075_s_at	GUK1	2987
200076_s_at	C19orf50	79036
200077_s_at	OAZ1	4946
200078_s_at	ATP6V0B	533
200079_s_at	KARS	3735
200080_s_at	H3F3A /// H3F3B /// LOC440926	3020 /// 3021 /// 440926
200081_s_at	RPS6	6194
200082_s_at	RPS7	6201
200083_at	USP22	23326
200084_at	C11orf58	10944
200085_s_at	TCEB2	6923
200086_s_at	COX4I1	1327
200087_s_at	TMED2	10959
200088_x_at	RPL12	6136
200089_s_at	RPL4	6124
200090_at	FNTA	2339
200091_s_at	RPS25	6230
200092_s_at	RPL37	6167
200093_s_at	HINT1	3094
200094_s_at	EEF2	1938
200095_x_at	RPS10	6204
200096_s_at	ATP6V0E1	8992
200097_s_at	HNRNPK	3190
200098_s_at	ANAPC5	51433
200099_s_at	RPS3A	6189
200593_s_at	HNRNPU	3192
200594_x_at	HNRNPU	3192
200595_s_at	EIF3A	8661
200596_s_at	EIF3A	8661
200597_at	EIF3A	8661
200598_s_at	HSP90B1	7184
200599_s_at	HSP90B1	7184
200600_at	MSN	4478
200601_at	ACTN4	81
200602_at	APP	351
200603_at	PRKAR1A	5573
200604_s_at	PRKAR1A	5573
200605_s_at	PRKAR1A	5573
200606_at	DSP	1832
200607_s_at	RAD21	5885
200608_s_at	RAD21	5885
200609_s_at	WDR1	9948
200610_s_at	NCL	4691
200611_s_at	WDR1	9948
200612_s_at	AP2B1	163
200613_at	AP2M1	1173
200614_at	CLTC	1213
200615_s_at	AP2B1	163
200616_s_at	MLEC	9761
200617_at	MLEC	9761
200618_at	LASP1	3927
200619_at	SF3B2	10992
200620_at	TMEM59	9528
200621_at	CSRP1	1465
200622_x_at	CALM3	808
200623_s_at	CALM3	808
200624_s_at	MATR3	9782
200625_s_at	CAP1	10487
200626_s_at	MATR3	9782
200627_at	PTGES3	10728
200628_s_at	WARS	7453
200629_at	WARS	7453
200630_x_at	SET	6418
200631_s_at	SET	6418
200632_s_at	NDRG1	10397
200633_at	UBB	7314
200634_at	PFN1	5216
200635_s_at	PTPRF	5792
200636_s_at	PTPRF	5792
200637_s_at	PTPRF	5792
200638_s_at	YWHAZ	7534
200639_s_at	YWHAZ	7534
200640_at	YWHAZ	7534
200641_s_at	YWHAZ	7534
200642_at	SOD1	6647
200643_at	HDLBP	3069
200644_at	MARCKSL1	65108
200645_at	GABARAP	11337
200646_s_at	NUCB1	4924
200647_x_at	EIF3C /// EIF3CL	728689 /// 8663
200648_s_at	GLUL	2752
200649_at	NUCB1	4924
200650_s_at	LDHA	3939
200651_at	GNB2L1	10399
200652_at	SSR2	6746
200653_s_at	CALM1	801
200654_at	P4HB	5034
200655_s_at	CALM1	801
200656_s_at	P4HB	5034
200657_at	SLC25A5	292
200658_s_at	PHB	5245
200659_s_at	PHB	5245
200660_at	S100A11	6282
200661_at	CTSA	5476
200662_s_at	TOMM20	9804
200663_at	CD63	967
200664_s_at	DNAJB1	3337
200665_s_at	SPARC	6678
200666_s_at	DNAJB1	3337
200667_at	UBE2D3	7323
200668_s_at	UBE2D3	7323
200669_s_at	UBE2D3	7323
200670_at	XBP1	7494
200671_s_at	SPTBN1	6711
200672_x_at	SPTBN1	6711
200673_at	LAPTM4A	9741
200674_s_at	RPL32	6161
200675_at	CD81	975
200676_s_at	UBE2L3	7332
200677_at	PTTG1IP	754
200678_x_at	GRN	2896
200679_x_at	HMGB1	3146
200680_x_at	HMGB1	3146
200681_at	GLO1	2739
200682_s_at	UBE2L3	7332
200683_s_at	UBE2L3	7332
200684_s_at	UBE2L3	7332
200685_at	SFRS11	9295
200686_s_at	SFRS11	9295
200687_s_at	SF3B3	23450
200688_at	SF3B3	23450
200689_x_at	EEF1G	1937
200690_at	HSPA9	3313
200691_s_at	HSPA9	3313
200692_s_at	HSPA9	3313
200693_at	YWHAQ	10971
200694_s_at	DDX24	57062
200695_at	PPP2R1A	5518
200696_s_at	GSN	2934
200697_at	HK1	3098
200698_at	KDELR2	11014
200699_at	KDELR2	11014
200700_s_at	KDELR2	11014
200701_at	NPC2	10577
200702_s_at	DDX24	57062
200703_at	DYNLL1	8655
200704_at	LITAF	9516
200705_s_at	EEF1B2	1933
200706_s_at	LITAF	9516
200707_at	PRKCSH	5589
200708_at	GOT2	2806
200709_at	FKBP1A	2280
200710_at	ACADVL	37
200711_s_at	SKP1	6500
200712_s_at	MAPRE1	22919
200713_s_at	MAPRE1	22919
200714_x_at	OS9	10956
200715_x_at	RPL13A	23521
200716_x_at	RPL13A	23521
200717_x_at	RPL7	6129
200718_s_at	SKP1	6500
200719_at	SKP1	6500
200720_s_at	ACTR1A	10121
200721_s_at	ACTR1A	10121
200722_s_at	CAPRIN1	4076
200723_s_at	CAPRIN1	4076
200724_at	RPL10	6134
200725_x_at	RPL10	6134
200726_at	PPP1CC	5501
200727_s_at	ACTR2	10097
200728_at	ACTR2	10097
200729_s_at	ACTR2	10097
200730_s_at	PTP4A1	7803
200731_s_at	PTP4A1	7803
200732_s_at	PTP4A1	7803
200733_s_at	PTP4A1	7803
200734_s_at	ARF3	377
200735_x_at	NACA	4666
200736_s_at	GPX1	2876
200737_at	PGK1	5230
200738_s_at	PGK1	5230
200739_s_at	SUMO3	6612
200740_s_at	SUMO3	6612
200741_s_at	RPS27	6232
200742_s_at	TPP1	1200
200743_s_at	TPP1	1200
