REPORTER_ID	GENE_SYMBOL
8103508	MARCH1
8025421	MARCH2
8113790	MARCH3
8058849	MARCH4
7929247	MARCH5
8104463	MARCH6
8045919	MARCH7
7933228	MARCH8
7956623	MARCH9
8017365	MARCH10
8111124	MARCH11
8111127	MARCH11
8000869	SEPT1
8049827	SEPT2
8073548	SEPT3
8017039	SEPT4
8071234	SEPT5
8071259	SEPT5
8174692	SEPT6
8132292	SEPT7
8114050	SEPT8
8010161	SEPT9
8054467	SEPT10
8054477	SEPT10
8095854	SEPT11
7999206	SEPT12
7896742	SEPT14
7911329	SEPT14
7911347	SEPT14
7945342	SEPT14
7998117	SEPT14
8031990	SEPT14
8085054	SEPT14
8110670	SEPT14
8137666	SEPT14
8139727	SEPT14
8148964	SEPT14
7917455	SEPT14
8157477	DEC1
8039748	A1BG
7933640	A1CF
7972570	A2LD1
7960947	A2M
7953775	A2ML1
8076497	A4GALT
8090955	A4GNT
8138958	AAA1
7963646	AAAS
7959786	AACS
8083415	AADAC
8083409	AADACL2
7897960	AADACL3
7897955	AADACL4
8103706	AADAT
7989953	AAGAB
8052798	AAK1
8052803	AAK1
8058914	AAMP
8010071	AANAT
8002347	AARS
8126681	AARS2
8015741	AARSD1
8100478	AASDH
7943552	AASDHPPT
8142554	AASS
8006690	AATF
8019090	AATK
7993126	ABAT
8162940	ABCA1
8009474	ABCA10
8018006	ABCA10
8098752	ABCA11P
8058708	ABCA12
8132743	ABCA13
8165345	ABCA2
7998784	ABCA3
7917798	ABCA4
8018038	ABCA5
8017964	ABCA6
8024120	ABCA7
8017885	ABCA8
8017927	ABCA9
8140782	ABCB1
7924956	ABCB10
8056583	ABCB11
8140752	ABCB4
8131682	ABCB5
8059111	ABCB6
8173629	ABCB7
8137310	ABCB8
8137330	ABCB8
8137332	ABCB8
8137334	ABCB8
7967337	ABCB9
7993478	ABCC1
8119801	ABCC10
8001271	ABCC11
8001235	ABCC12
8067877	ABCC13
7929779	ABCC2
8008454	ABCC3
7972297	ABCC4
8092418	ABCC5
7999727	ABCC6
7999591	ABCC6P2
7946860	ABCC8
7961710	ABCC9
8170704	ABCD1
7962312	ABCD2
7903119	ABCD3
7980115	ABCD4
8097647	ABCE1
8117929	ABCF1
8177797	ABCF1
8179112	ABCF1
8143905	ABCF2
8084360	ABCF3
8068761	ABCG1
8101675	ABCG2
7944447	ABCG4
8051866	ABCG5
8041696	ABCG8
8040815	ABHD1
8081612	ABHD10
8140129	ABHD11
8065469	ABHD12
7974288	ABHD12B
7969979	ABHD13
8080162	ABHD14A
8087825	ABHD14B
8013919	ABHD15
7985809	ABHD2
8022488	ABHD3
7973306	ABHD4
7977780	ABHD4
8079153	ABHD5
8080762	ABHD6
8035271	ABHD8
7932616	ABI1
8047659	ABI2
8008185	ABI3
8089145	ABI3BP
8158725	ABL1
7922610	ABL2
7936463	ABLIM1
8099279	ABLIM2
8109093	ABLIM3
8164853	ABO
8137271	ABP1
8010983	ABR
8152291	ABRA
8117522	ABT1
8082380	ABTB1
7947462	ABTB2
8086201	ACAA1
8086216	ACAA1
8023261	ACAA2
