REPORTER_ID	GENE_SYMBOL
7896739	OR4G11P
7896741	OR4F17
7896743	
7896745	OR4F16
7896747	
7896751	
7896753	
7896755	LOC100287934
7896757	
7896758	
7896760	LOC643837
7896762	SAMD11
7896763	SAMD11
7896764	SAMD11
7896765	SAMD11
7896766	SAMD11
7896767	SAMD11
7896768	SAMD11
7896770	SAMD11
7896771	SAMD11
7896772	SAMD11
7896773	SAMD11
7896774	SAMD11
7896775	SAMD11
7896776	SAMD11
7896777	SAMD11
7896778	SAMD11
7896780	KLHL17
7896781	KLHL17
7896782	KLHL17
7896783	KLHL17
7896784	KLHL17
7896786	KLHL17
7896790	KLHL17
7896791	KLHL17
7896792	KLHL17
7896793	KLHL17
7896794	KLHL17
7896795	KLHL17
7896796	KLHL17
7896797	KLHL17
7896819	ISG15
7896820	ISG15
7896821	ISG15
7896854	AGRN
7896855	AGRN
7896860	MIR200B
7896862	MIR200A
7896864	MIR429
7896867	TTLL10
7896868	TTLL10
7896869	TTLL10
7896870	TTLL10
7896871	TTLL10
7896874	TTLL10
7896875	TTLL10
7896876	TTLL10
7896877	TTLL10
7896880	B3GALT6
7896881	B3GALT6
7896901	SCNN1D
7896902	SCNN1D
7896903	SCNN1D
7896904	SCNN1D
7896905	SCNN1D
7896909	PUSL1
7896910	PUSL1
7896911	PUSL1
7896912	PUSL1
7896913	PUSL1
7896915	PUSL1
7896916	PUSL1
7896922	TAS1R3
7896923	TAS1R3
7896927	TAS1R3
7896930	VWA1
7896931	VWA1
7896932	VWA1
7896933	VWA1
7896934	VWA1
7896935	VWA1
7896936	VWA1
7896947	ATAD3C
7896957	ATAD3A
7896960	ATAD3A
7896962	ATAD3B
7896963	ATAD3B
7896964	ATAD3B
7896965	ATAD3B
7896966	ATAD3B
7896967	ATAD3B
7896968	ATAD3B
7896970	ATAD3B
7896971	ATAD3B
7896972	ATAD3B
7896973	ATAD3B
7896974	ATAD3B
7896975	ATAD3B
7896976	ATAD3B
7896977	ATAD3B
7896978	ATAD3B
7896979	ATAD3B
7896980	ATAD3B
7896981	ATAD3B
7896982	ATAD3B
7896984	
7896995	MIB2
7897007	MMP23B
7897008	MMP23B
7897009	MMP23B
7897010	MMP23B
7897011	MMP23B
7897012	MMP23B
7897013	MMP23B
7897014	MMP23A
7897015	MMP23B
7897016	MMP23B
7897017	MMP23B
7897018	MMP23B
7897027	CALML6
7897028	CALML6
7897029	CALML6
7897030	CALML6
7897031	CALML6
7897032	CALML6
7897033	CALML6
7897041	GABRD
7897045	PRKCZ
7897046	PRKCZ
7897047	PRKCZ
7897048	PRKCZ
7897049	PRKCZ
7897050	PRKCZ
7897051	PRKCZ
7897052	PRKCZ
7897053	PRKCZ
7897054	PRKCZ
7897055	PRKCZ
7897056	PRKCZ
7897057	PRKCZ
7897058	PRKCZ
7897059	PRKCZ
7897060	PRKCZ
7897061	PRKCZ
7897062	PRKCZ
7897063	PRKCZ
7897064	PRKCZ
7897065	PRKCZ
7897077	
7897079	RER1
7897080	RER1
7897081	RER1
7897082	RER1
7897083	RER1
7897084	RER1
7897085	RER1
7897087	RER1
7897088	RER1
7897102	PLCH2
7897120	FAM213B
7897121	FAM213B
7897122	FAM213B
7897123	FAM213B
7897124	FAM213B
7897125	FAM213B
7897126	FAM213B
7897127	FAM213B
7897129	ACTRT2
7897130	ACTRT2
7897131	ACTRT2
7897153	PRDM16
7897163	ARHGEF16
7897195	TP73
7897202	CCDC27
7897211	DFFB
7897212	DFFB
7897213	DFFB
7897214	DFFB
7897215	DFFB
7897216	DFFB
7897217	DFFB
7897218	DFFB
7897219	DFFB
7897221	DFFB
7897222	DFFB
7897223	DFFB
7897224	DFFB
7897225	DFFB
7897226	DFFB
7897229	AJAP1
7897230	AJAP1
7897231	AJAP1
7897232	AJAP1
7897233	AJAP1
7897234	AJAP1
7897235	AJAP1
7897237	KCNAB2
7897238	KCNAB2
7897239	KCNAB2
7897240	KCNAB2
7897241	KCNAB2
7897242	KCNAB2
7897243	KCNAB2
7897244	KCNAB2
7897245	KCNAB2
7897246	KCNAB2
7897247	KCNAB2
7897248	KCNAB2
7897249	KCNAB2
7897250	KCNAB2
7897251	KCNAB2
7897252	KCNAB2
7897253	KCNAB2
7897254	KCNAB2
7897255	KCNAB2
7897256	KCNAB2
7897258	RNF207
7897259	RNF207
7897260	RNF207
7897261	RNF207
7897262	RNF207
7897264	RNF207
7897265	RNF207
7897266	RNF207
7897267	RNF207
7897268	RNF207
7897269	RNF207
7897270	RNF207
7897272	RNF207
7897273	RNF207
7897275	RNF207
7897276	RNF207
