REPORTER ID	GENE SYMBOL
A_23_P3312	ISLR
A_24_P865	C6orf204
A_33_P3242863	NT5M
A_23_P147665	OLFML1
A_23_P145711	C7orf10
A_33_P3289150	
A_32_P110655	LOC100129515
A_32_P204795	LOC100128252
A_23_P122976	GNAI1
A_33_P3381691	
A_23_P116624	SLC6A5
A_33_P3385755	OR52R1
A_23_P10062	MGAT4C
A_23_P59677	RINT1
A_33_P3279019	SERPINB13
A_33_P3244895	TMCC2
A_33_P3742500	LOC642947
A_23_P109055	TP53RK
A_23_P10647	CYTL1
A_24_P166094	ARFIP1
A_33_P3318509	CLEC4E
A_23_P117146	PRDM4
A_24_P184769	WDR20
A_23_P87879	CD69
A_23_P101476	ZNF442
A_33_P3647744	
A_23_P204696	CDKN1B
A_33_P3331726	LOC647979
A_32_P101779	SEC14L3
A_24_P319113	P2RX7
A_23_P109774	ZBTB11
A_33_P3212555	PROS1
A_23_P80295	SYN3
A_23_P113351	SPARCL1
A_23_P407992	CRAMP1L
A_23_P319626	ELAVL3
A_33_P3605352	LOC440983
A_23_P106694	CHMP1A
A_33_P3387971	FLJ42351
A_24_P205364	SHMT1
A_24_P121846	ZNF132
A_23_P9415	ACO1
A_23_P110699	ZNF300
A_33_P3212994	ZWINT
A_33_P3245218	ODZ2
A_33_P3259428	WDR55
A_23_P101434	NLRP12
A_23_P142688	FAM134A
A_23_P121506	FAM193A
A_23_P103932	FGR
A_23_P26810	TP53
A_33_P3410654	CLEC12B
A_23_P36753	ALDH2
A_33_P3253234	IQSEC2
A_23_P33868	LPAR4
A_24_P346725	
A_23_P389102	MYO1D
A_23_P82941	ARFGEF1
A_33_P3380693	ADAM15
A_23_P149427	CAPN9
A_23_P344408	CSHL1
A_32_P846696	LOC349196
A_23_P103349	OCLM
A_23_P396858	FZD8
A_33_P3307960	AADACL3
A_24_P44992	
A_33_P3297005	EME2
A_23_P145681	ACTL6B
A_23_P114883	FMOD
A_23_P7582	TCF7
A_33_P3329461	
A_24_P309216	TPD52L3
A_23_P144348	SLIT2
A_23_P56228	GMIP
A_33_P3370265	
A_33_P3381361	
A_23_P70643	C6orf103
A_32_P155416	ERI3
A_23_P132675	UQCRC1
A_24_P56240	CPNE8
A_23_P123563	RPS6
A_23_P133279	FAM173B
A_32_P88231	
A_23_P120335	MTX2
A_23_P57236	GGT7
A_23_P116743	LOC338799
