REPORTER ID 	miRNA ID
A_25_P00010019	hsa-miR-329
A_25_P00010020	hsa-miR-329
A_25_P00010021	hsa-miR-655
A_25_P00010023	hsa-miR-369-3p
A_25_P00010041	hsa-miR-363-5p
A_25_P00010042	hsa-miR-363-5p
A_25_P00010043	hsa-miR-363-5p
A_25_P00010044	hsa-miR-363-5p
A_25_P00010047	hsa-miR-98-5p
A_25_P00010048	hsa-miR-98-5p
A_25_P00010053	hsa-miR-29b-3p
A_25_P00010054	hsa-miR-29b-3p
A_25_P00010062	hsa-miR-376b-3p
A_25_P00010063	hsa-miR-376b-3p
A_25_P00010070	hsa-let-7b-5p
A_25_P00010071	hsa-let-7b-5p
A_25_P00010072	hsa-let-7c
A_25_P00010073	hsa-let-7c
A_25_P00010078	hsa-miR-146a-5p
A_25_P00010079	hsa-miR-146a-5p
A_25_P00010086	hsa-let-7a-5p
A_25_P00010088	hsa-let-7f-5p
A_25_P00010089	hsa-let-7f-5p
A_25_P00010090	hsa-miR-487a
A_25_P00010092	hsa-miR-487a
A_25_P00010093	hsa-miR-492
A_25_P00010094	hsa-miR-492
A_25_P00010095	hsa-miR-626
A_25_P00010096	hsa-miR-626
A_25_P00010103	hsa-miR-299-3p
A_25_P00010104	hsa-miR-299-3p
A_25_P00010113	hsa-miR-487b
A_25_P00010114	hsa-miR-487b
A_25_P00010115	hsa-miR-154-3p
A_25_P00010116	hsa-miR-154-3p
A_25_P00010122	hsa-miR-548b-3p
A_25_P00010124	hsa-miR-548b-3p
A_25_P00010125	hsa-miR-377-3p
A_25_P00010126	hsa-miR-377-3p
A_25_P00010130	hsa-miR-497-5p
A_25_P00010131	hsa-miR-148a-3p
A_25_P00010132	hsa-miR-148a-3p
A_25_P00010133	hsa-miR-148b-3p
A_25_P00010134	hsa-miR-148b-3p
A_25_P00010138	hsa-miR-208a
A_25_P00010149	hsa-miR-539-5p
A_25_P00010153	hsa-miR-324-5p
A_25_P00010154	hsa-miR-324-5p
A_25_P00010156	hsa-miR-373-3p
A_25_P00010157	hsa-miR-373-3p
A_25_P00010158	hsa-miR-433
A_25_P00010159	hsa-miR-433
