REPORTER ID	GENE SYMBOL
3948543	FAM118A
3063807	GPC2
3096575	HGSNAT
2949118	LTB
3227645	UCK1
4014076	HDX
2637819	C3orf30
3850234	RAVER1
3719161	GGNBP2
2916345	SLC35A1
2342904	ST6GALNAC5
3817464	MPND
2408437	CITED4
3932148	BRWD1
3375091	SLC15A3
3653619	LCMT1
2818035	CKMT2
3063795	GAL3ST4
2359282	LCE5A
2981874	DYNLT1
3227634	BAT2L1
2375664	BTG2
3948528	UPK3A
3178480	NXNL2
2490351	CTNNA2
3719150	PIGW
3866605	NAPA
2473965	C2orf18
3407849	C12orf39
3506153	MTMR6
3244008	FXYD4
3882984	MAP1LC3A
2457573	AIDA
3588069	TMEM85
2441188	C1orf111
3555300	CCNB1IP1
3833827	EGLN2
3932131	PSMG1
3473378	HRK
3096545	SGK196
2326496	DHDDS
3260383	ENTPD7
3588062	PGBD4
3784670	C18orf21
2752478	WDR17
3817437	FSD1
3424218	ACSS3
3063770	C7orf43
3768280	C17orf58
3129304	ZNF395
3440598	FOXM1
2326485	LIN28A
2883541	SOX30
2490324	REG1A
3325907	HIPK3
3571667	ENTPD5
3702739	FAM92B
3866579	KPTN
2916307	C6orf165
3899346	SNX5
3735505	AANAT
3407824	GOLT1B
3653584	LOC554206
2473936	KCNK3
3194832	MAMDC4
3538893	PRKCH
3850189	ZGLP1
4014029	RPS6KA6
3817420	SHD
3375049	PRPF19
2867145	FAM172A
3555272	TTC5
3719112	ZNHIT3
2801608	6-Mar
2604998	IQCA1
3588037	CHRM5
2506693	
3882949	DYNLRB1
3686339	XPO6
3375041	GPR44
3833793	RAB4B
2326463	CD52
3620799	TTBK2
2736060	GRID2
3456955	KIAA0748
2490299	REG3G
3194810	PHPT1
3440568	NRIP2
3817400	CCDC94
3735478	SPHK1
3850166	S1PR2
2555830	TMEM17
3227574	FAM78A
3473331	C12orf49
3751859	TMIGD1
3260338	NKX2-3
3571634	COQ6
3407793	PYROXD1
2326448	SH3BGRL3
2998192	POU6F2
3178416	SPIN1
3063727	TAF6
3424174	MYF5
2949038	BAT1
3506093	FAM123A
3948461	NUP50
2375596	ADORA1
3489708	DLEU1
2719656	CD38
2523045	FZD7
2424740	MIR137
3817380	EBI3
4030371	NLGN4Y
2899874	FKSG83
3702689	ZDHHC7
2408351	RIMS3
3424158	MYF6
3833757	SNRPA
3407770	IAPP
3784602	GALNT1
2604953	ASB18
2457496	HHIPL2
3735447	FAM100B
