Reporter ID	miRNA ID
A_25_P00012196	hsa-miR-152
A_25_P00011031	hsa-miR-627
A_25_P00013142	hsa-miR-15a*
A_25_P00010562	hsa-miR-520e
A_25_P00011021	hsa-miR-632
A_25_P00010039	hsa-miR-220a
A_25_P00011717	ebv-miR-BART7
A_25_P00012361	hsa-miR-337-5p
A_25_P00013040	hsa-miR-921
A_25_P00013605	hsa-miR-505*
A_25_P00012225	hsa-miR-129-3p
A_25_P00011875	hcmv-miR-UL22A
A_25_P00010829	hsa-miR-489
A_25_P00011222	hsa-miR-553
A_25_P00010980	hsa-miR-125b
A_25_P00012279	hsa-miR-219-2-3p
A_25_P00012859	hsa-miR-542-5p
A_25_P00011411	hsa-miR-766
A_25_P00010093	hsa-miR-492
A_25_P00010531	hsa-miR-432
A_25_P00012864	hsa-miR-671-3p
A_25_P00015000	hsa-miR-877*
A_25_P00010367	hsa-miR-549
A_25_P00011441	hsa-miR-801_v10.1
A_25_P00014907	hsa-miR-1224-5p
A_25_P00011219	hsa-miR-553
A_25_P00014916	hsa-miR-374b
A_25_P00013300	hsa-miR-10a*
A_25_P00010365	hsa-miR-549
A_25_P00012353	hsa-miR-342-5p
A_25_P00010756	hsa-miR-34c-5p
A_25_P00013749	ebv-miR-BART11-5p
A_25_P00013328	hsa-miR-196a*
A_25_P00010124	hsa-miR-548b-3p
A_25_P00012467	hsa-miR-486-3p
A_25_P00012013	hsa-miR-29a
A_25_P00013200	hsa-miR-26b*
A_25_P00010945	hsa-miR-566
A_25_P00012398	hsa-miR-339-5p
A_25_P00010507	hsa-miR-490-3p
A_25_P00011421	hsa-miR-613
A_25_P00010648	hsa-miR-551b
A_25_P00013127	hsa-let-7d*
A_25_P00011879	hcmv-miR-UL70-5p
A_25_P00013458	hsa-miR-186*
A_25_P00010584	hsa-miR-154
A_25_P00011068	hsa-miR-107
A_25_P00013237	hsa-miR-96*
A_25_P00010134	hsa-miR-148b
A_25_P00012654	hsa-miR-505
A_25_P00012035	hsa-miR-96
A_25_P00013518	hsa-miR-367*
A_25_P00013440	hsa-miR-138-1*
A_25_P00010214	hsa-miR-335
A_25_P00010063	hsa-miR-376b
A_25_P00011757	kshv-miR-K12-12
A_25_P00012278	hsa-miR-219-2-3p
A_25_P00010710	hsa-miR-512-3p
A_25_P00012833	hsa-miR-652
A_25_P00012375	hsa-miR-151-5p
A_25_P00013561	hsa-miR-424*
A_25_P00012013	hsa-miR-29a
A_25_P00010676	hsa-miR-24
A_25_P00012764	hsa-miR-589
A_25_P00011766	kshv-miR-K12-8
A_25_P00014941	hsa-miR-1229
A_25_P00012459	hsa-miR-483-5p
A_25_P00013754	ebv-miR-BART12
A_25_P00010791	hsa-miR-380*
A_25_P00010506	hsa-miR-302c*
A_25_P00012938	hsa-miR-888
A_25_P00012500	hsa-miR-493
A_25_P00012098	hsa-miR-183
A_25_P00010665	hsa-miR-662
A_25_P00012558	hsa-miR-518f
A_25_P00012820	hsa-miR-629
A_25_P00010709	hsa-miR-512-3p
A_25_P00013739	ebv-miR-BART6-5p
A_25_P00014589	hsa-miR-125b-2*
A_25_P00011889	kshv-miR-K12-3*
A_25_P00013042	hsa-miR-921
A_25_P00012882	hsa-miR-891a
A_25_P00012234	hsa-miR-149
A_25_P00014873	hsa-miR-525-5p
A_25_P00013220	hsa-miR-33a*
A_25_P00010617	hsa-miR-137
A_25_P00012547	hsa-miR-525-3p
A_25_P00010614	hsa-miR-20b
A_25_P00010474	hsa-miR-100
A_25_P00012964	hsa-miR-876-3p
A_25_P00011476	hsa-miR-770-5p
A_25_P00012908	hsa-miR-450b-5p
A_25_P00010613	hsa-miR-20a
A_25_P00012169	hsa-miR-138
A_25_P00010882	hsa-miR-23b
A_25_P00010023	hsa-miR-369-3p
A_25_P00010805	hsa-miR-622
A_25_P00014920	hsa-miR-1225-5p
A_25_P00013277	hsa-miR-129*
A_25_P00010853	hsa-miR-212
A_25_P00013738	ebv-miR-BART6-5p
A_25_P00014908	hsa-miR-1224-5p
A_25_P00010971	hsa-miR-384
A_25_P00012920	hsa-miR-890
A_25_P00012611	hsa-miR-522
A_25_P00013170	hsa-miR-20a*
A_25_P00013491	hsa-miR-302a*
A_25_P00014118	hsa-miR-523
A_25_P00011121	hsa-miR-552
A_25_P00010180	hsa-miR-325
A_25_P00011610	hsa-miR-675
A_25_P00012369	hsa-miR-323-5p
A_25_P00012710	hsa-miR-92b
A_25_P00011681	ebv-miR-BART3*
A_25_P00010387	hsa-miR-146b-5p
A_25_P00013573	hsa-miR-20b*
A_25_P00011739	kshv-miR-K12-4-5p
A_25_P00011354	hsa-miR-580
A_25_P00012098	hsa-miR-183
A_25_P00010635	hsa-miR-584
A_25_P00012153	hsa-miR-122
A_25_P00011280	hsa-miR-618
A_25_P00010400	hsa-miR-204
A_25_P00010535	hsa-miR-614
A_25_P00013520	hsa-miR-367*
A_25_P00014886	hsa-miR-513a-5p
A_25_P00011720	kshv-miR-K12-6-5p
A_25_P00010345	hsa-miR-557
A_25_P00013713	ebv-miR-BHRF1-3
A_25_P00010211	hsa-miR-218
A_25_P00012829	hsa-miR-636
A_25_P00013382	hsa-miR-30b*
A_25_P00013238	hsa-miR-96*
A_25_P00013001	hsa-miR-887
A_25_P00012019	hsa-miR-31
A_25_P00012919	hsa-miR-874
A_25_P00011271	hsa-miR-637
A_25_P00013551	hsa-miR-135b*
A_25_P00011275	hsa-miR-661
A_25_P00012904	hsa-miR-220b
A_25_P00012585	hsa-miR-518a-5p
A_25_P00013239	hsa-miR-96*
A_25_P00012846	hsa-miR-653
A_25_P00012539	hsa-miR-526b
A_25_P00012126	hsa-miR-222
A_25_P00014151	hsa-miR-516a-5p
A_25_P00012418	hsa-miR-423-5p
A_25_P00013152	hsa-miR-18a*
A_25_P00013361	hsa-let-7g*
A_25_P00012512	hsa-miR-193b
A_25_P00011979	hsa-miR-770-5p
A_25_P00013698	hcmv-miR-US33-3p
A_25_P00014823	hsa-miR-95
A_25_P00013702	hcmv-miR-UL36*
A_25_P00012746	hsa-miR-582-3p
A_25_P00012249	hsa-miR-188-3p
A_25_P00012624	hsa-miR-499-5p
A_25_P00013661	hsa-miR-888*
A_25_P00010838	hsa-miR-30e*
A_25_P00012895	hsa-miR-886-5p
A_25_P00012026	hsa-miR-33a
A_25_P00012082	hsa-miR-10b
A_25_P00014863	hsa-miR-202
A_25_P00013438	hsa-miR-138-1*
A_25_P00010853	hsa-miR-212
A_25_P00013675	hsa-miR-744*
A_25_P00012414	hsa-miR-422a
A_25_P00011700	hcmv-miR-US4
