REPORTER ID	miRNA ID
MT16285|mir-18bNo2	
MT16286|mir-190-prec	hsa-mir-190a
MT16287|mir-191-prec	hsa-mir-191
MT16288|mir-192No1	hsa-miR-192
MT16289|mir-192No2	hsa-miR-146b-5p
MT16290|mir-192-2/3No1	hsa-miR-192
MT16291|mir-192-2/3No2	hsa-miR-146b-5p
MT16292|mir-193bNo1	hsa-miR-193b
MT16293|mir-193bNo2	
MT16294|mir-193-precNo1	hsa-mir-193a
MT16295|mir-193-precNo2	hsa-mir-193a
MT16296|mir-194-1No1	hsa-miR-194
MT16297|mir-194-1No2	
MT16298|mir-194-2No1	hsa-miR-194
MT16299|mir-194-2No2	
MT16300|mir-194-precNo1	hsa-mir-194-1
MT16301|mir-194-precNo2	hsa-mir-194-1
MT16302|mir-195-prec	hsa-mir-195
MT16303|mir-196-1-precNo1	hsa-mir-196a-1
MT16304|mir-196-1-precNo2	hsa-mir-196a-1
MT16305|mir-196-2-precNo1	hsa-mir-196a-2
MT16306|mir-196-2-precNo2	hsa-mir-196a-2
MT16307|mir-196a-1No1	hsa-miR-196a
MT16308|mir-196a-1No2	
MT16309|mir-196a-2No1	hsa-miR-196a
MT16310|mir-196a-2No2	
MT16311|mir-196bNo1	hsa-miR-196b
MT16312|mir-196bNo2	
MT16313|mir-197-prec	hsa-mir-197
MT16314|mir-198-prec	hsa-mir-198
MT16315|mir-199a-1-prec	hsa-mir-199a-1
MT16316|mir-199a-2-prec	hsa-mir-199a-2
MT16317|mir-199b-precNo1	hsa-mir-199b
MT16318|mir-199b-precNo2	hsa-mir-199b
MT16319|mir-001b-1-prec1	hsa-mir-1-2
MT16320|mir-001b-2-prec	hsa-mir-1-1
MT16321|mir-200a-prec	hsa-mir-200b
MT16322|mir-200bNo1	hsa-miR-200b
MT16323|mir-200bNo2	
MT16324|mir-200cNo1	hsa-miR-200c
MT16325|mir-200cNo2	
MT16326|mir-202	hsa-miR-202
MT16327|mir-202*	hsa-miR-202*
MT16328|mir-202-prec	hsa-mir-202
MT16329|mir-203-precNo1	hsa-mir-203a
MT16330|mir-203-precNo2	hsa-mir-203a
MT16331|mir-204-precNo1	hsa-mir-204
MT16332|mir-204-precNo2	hsa-mir-204
MT16333|mir-205-prec	hsa-mir-205
MT16334|mir-206-precNo1	hsa-mir-206
MT16335|mir-206-precNo2	hsa-mir-206
MT16336|mir-208-prec	hsa-mir-208a
MT16337|mir-20bNo1	hsa-miR-20b
MT16338|mir-20bNo2	
MT16339|mir-210-prec	hsa-mir-210
MT16340|mir-21No1	hsa-miR-21
MT16341|mir-211-precNo1	hsa-mir-211
MT16342|mir-211-precNo2	hsa-mir-211
MT16343|mir-21No2	
MT16344|mir-212-precNo1	hsa-mir-212
MT16345|mir-212-precNo2	hsa-mir-212
MT16346|mir-213-precNo1	hsa-mir-181b-1
MT16347|mir-213-precNo2	hsa-mir-181b-1
MT16348|mir-214-prec	hsa-mir-214
MT16349|mir-215-precNo1	hsa-mir-215
MT16350|mir-215-precNo2	hsa-mir-215
MT16351|mir-216-precNo1	hsa-mir-216a
MT16352|mir-216-precNo2	hsa-mir-216a
MT16353|mir-217-precNo1	hsa-mir-217
MT16354|mir-217-precNo2	hsa-mir-217
MT16355|mir-218-1-prec	hsa-mir-218-1
MT16356|mir-218-2-precNo1	hsa-mir-218-2
MT16357|mir-218-2-precNo2	hsa-mir-218-2
MT16358|mir-219-1No1	hsa-miR-219-5p
MT16359|mir-219-1No2	
MT16360|mir-219-2No1	hsa-miR-219-5p
MT16361|mir-219-2No2	
MT16362|mir-219-prec	hsa-mir-219-1
MT16363|mir-220-prec	NO MATCH
MT16364|mir-221-prec	hsa-mir-221
MT16365|mir-222-precNo1	hsa-mir-222
MT16366|mir-222-precNo2	hsa-mir-222
MT16367|mir-223-prec	hsa-mir-223
MT16368|mir-224-prec	hsa-mir-224
MT16369|mir-26a-1No1	hsa-miR-26a
MT16370|mir-26a-1No2	
MT16371|mir-26a-2No1	hsa-miR-26a
MT16372|mir-26a-2No2	
MT16373|mir-296No1	
MT16374|mir-296No2	
MT16375|mir-299No1	hsa-miR-299-5p
MT16376|mir-299No2	hsa-miR-299-3p
MT16377|mir-29b-1No1	hsa-miR-29b
MT16378|mir-29b-1No2	
MT16379|mir-29b-2=102prec7.1=7.2	hsa-mir-29b-1
MT16380|mir-301No1	hsa-miR-301a
MT16381|mir-301No2	
MT16382|mir-302aNo1	hsa-miR-302a
MT16383|mir-302aNo2	hsa-miR-302a*
MT16384|miR-302b*No1	hsa-miR-302b*
MT16385|miR-302b*No2	hsa-miR-302b
MT16386|mir-302bNo1	hsa-miR-302b
MT16387|mir-302bNo2	hsa-miR-302b*
MT16388|miR-302c*No1	hsa-miR-302c*
MT16389|miR-302c*No2	hsa-miR-302c
MT16390|mir-302cNo1	hsa-miR-302c
MT16391|mir-302cNo2	hsa-miR-302c*
MT16392|mir-302dNo1	hsa-miR-302d
MT16393|mir-302dNo2	hsa-miR-302b*
MT16394|mir-30c-1No1	hsa-miR-30c
MT16395|mir-30c-1No2	
MT16396|mir-30c-2No1	hsa-miR-30c
MT16397|mir-30c-2No2	
MT16398|mir-30eNo1	hsa-miR-30e
MT16399|mir-30eNo2	hsa-miR-30e*
MT16400|mir-320No1	hsa-miR-320a
MT16401|mir-320No2	
MT16402|mir_320_Hcd306	NO MATCH
MT16403|mir_320_Hcd306	NO MATCH
MT16404|mir-321No1	
MT16405|mir-321No2	
MT16406|mir-323No1	hsa-miR-323-3p
MT16407|mir-323No2	
MT16408|mir-324No1	hsa-miR-324-3p
MT16409|mir-324No2	hsa-miR-324-5p
MT16410|miR-324-5pNo1	hsa-miR-324-5p
MT16411|miR-324-5pNo2	hsa-miR-324-3p
MT16412|mir-325No1	hsa-miR-325
MT16413|mir-325No2	
MT16414|mir-326No1	hsa-miR-326
MT16415|mir-326No2	
MT16416|mir-328No1	hsa-miR-328
MT16417|mir-329-1No1	hsa-miR-329
MT16418|mir-329-1No2	
MT16419|mir-329-2No1	hsa-miR-329
MT16420|mir-329-2No2	
MT16421|mir-330No1	hsa-miR-330-3p
MT16422|mir-330No2	
MT16423|mir-331No1	hsa-miR-331-3p
MT16424|mir-331No2	
MT16425|mir-335No1	hsa-miR-335
MT16426|mir-335No2	
MT16427|mir-337No1	hsa-miR-337-3p
MT16428|mir-337No2	
MT16429|mir-338No1	hsa-miR-338-3p
MT16430|mir-338No2	
MT16431|mir-339No1	hsa-miR-339-5p
MT16432|mir-339No2	
MT16433|mir-340No1	hsa-miR-340*
MT16434|mir-340No2	
MT16435|mir-342No1	hsa-miR-342-3p
MT16436|mir-342No2	
MT16437|mir-345No1	hsa-miR-345
MT16438|mir-345No2	
MT16439|mir-346No1	hsa-miR-346
MT16440|mir-346No2	
MT16441|mir-34aNo1	hsa-miR-34a
MT16442|mir-34aNo2	
MT16443|mir-34bNo1	hsa-miR-34b*
MT16444|mir-34bNo2	hsa-miR-136
