REPORTER ID 	miRNA ID
A_25_P00013721	ebv-miR-BART1-3p
A_25_P00013719	ebv-miR-BART1-5p
A_25_P00011668	ebv-miR-BART10
A_25_P00013811	ebv-miR-BART10*
A_25_P00011835	ebv-miR-BART11-3p
A_25_P00013751	ebv-miR-BART11-5p
A_25_P00013754	ebv-miR-BART12
A_25_P00011854	ebv-miR-BART13
A_25_P00013815	ebv-miR-BART13*
A_25_P00011706	ebv-miR-BART14
A_25_P00011884	ebv-miR-BART14*
A_25_P00013761	ebv-miR-BART15
A_25_P00013766	ebv-miR-BART16
A_25_P00013772	ebv-miR-BART17-3p
A_25_P00013771	ebv-miR-BART17-5p
A_25_P00013783	ebv-miR-BART18-3p
A_25_P00013777	ebv-miR-BART18-5p
A_25_P00013788	ebv-miR-BART19-3p
A_25_P00013785	ebv-miR-BART19-5p
A_25_P00013729	ebv-miR-BART2-3p
A_25_P00011807	ebv-miR-BART2-5p
A_25_P00011836	ebv-miR-BART20-3p
A_25_P00011830	ebv-miR-BART20-5p
A_25_P00011663	ebv-miR-BART3
A_25_P00011683	ebv-miR-BART3*
A_25_P00011687	ebv-miR-BART4
A_25_P00011747	ebv-miR-BART5
A_25_P00011871	ebv-miR-BART6-3p
A_25_P00013739	ebv-miR-BART6-5p
A_25_P00011719	ebv-miR-BART7
A_25_P00013798	ebv-miR-BART7*
A_25_P00011790	ebv-miR-BART8
A_25_P00013803	ebv-miR-BART8*
A_25_P00013746	ebv-miR-BART9
A_25_P00013806	ebv-miR-BART9*
A_25_P00011650	ebv-miR-BHRF1-1
A_25_P00013710	ebv-miR-BHRF1-2
A_25_P00011820	ebv-miR-BHRF1-2*
A_25_P00013712	ebv-miR-BHRF1-3
A_25_P00011691	hcmv-miR-UL112
A_25_P00011761	hcmv-miR-UL148D
A_25_P00011874	hcmv-miR-UL22A
A_25_P00011770	hcmv-miR-UL22A*
A_25_P00011883	hcmv-miR-UL36
A_25_P00013700	hcmv-miR-UL36*
A_25_P00011725	hcmv-miR-UL70-3p
A_25_P00011878	hcmv-miR-UL70-5p
A_25_P00011840	hcmv-miR-US25-1
A_25_P00013706	hcmv-miR-US25-1*
A_25_P00011731	hcmv-miR-US25-2-3p
A_25_P00011863	hcmv-miR-US25-2-5p
A_25_P00013698	hcmv-miR-US33-3p
A_25_P00011751	hcmv-miR-US33-5p
A_25_P00011702	hcmv-miR-US4
A_25_P00011675	hcmv-miR-US5-1
A_25_P00011802	hcmv-miR-US5-2
A_25_P00013824	hiv1-miR-H1
A_25_P00013821	hiv1-miR-N367
A_25_P00010086	hsa-let-7a
A_25_P00013113	hsa-let-7a*
A_25_P00010070	hsa-let-7b
A_25_P00013117	hsa-let-7b*
A_25_P00010073	hsa-let-7c
A_25_P00013121	hsa-let-7c*
A_25_P00011980	hsa-let-7d
A_25_P00013127	hsa-let-7d*
A_25_P00011985	hsa-let-7e
A_25_P00013128	hsa-let-7e*
A_25_P00010088	hsa-let-7f
A_25_P00013132	hsa-let-7f-1*
A_25_P00013138	hsa-let-7f-2*
A_25_P00012142	hsa-let-7g
A_25_P00013361	hsa-let-7g*
A_25_P00012145	hsa-let-7i
A_25_P00013364	hsa-let-7i*
A_25_P00012150	hsa-miR-1
A_25_P00010474	hsa-miR-100
A_25_P00013244	hsa-miR-100*
A_25_P00012038	hsa-miR-101
A_25_P00013250	hsa-miR-101*
A_25_P00011005	hsa-miR-103
A_25_P00012042	hsa-miR-105
A_25_P00013263	hsa-miR-105*
A_25_P00014825	hsa-miR-106a
A_25_P00013265	hsa-miR-106a*
A_25_P00010434	hsa-miR-106b
A_25_P00013480	hsa-miR-106b*
A_25_P00011069	hsa-miR-107
A_25_P00010469	hsa-miR-10a
A_25_P00013300	hsa-miR-10a*
A_25_P00012082	hsa-miR-10b
A_25_P00013306	hsa-miR-10b*
A_25_P00012154	hsa-miR-122
A_25_P00013386	hsa-miR-122*
A_25_P00014911	hsa-miR-1224-3p
A_25_P00014906	hsa-miR-1224-5p
A_25_P00014924	hsa-miR-1225-3p
A_25_P00014920	hsa-miR-1225-5p
A_25_P00014927	hsa-miR-1226
A_25_P00015004	hsa-miR-1226*
A_25_P00014931	hsa-miR-1227
A_25_P00014936	hsa-miR-1228
A_25_P00015008	hsa-miR-1228*
A_25_P00014939	hsa-miR-1229
A_25_P00014946	hsa-miR-1231
A_25_P00014947	hsa-miR-1233
A_25_P00014951	hsa-miR-1234
A_25_P00014955	hsa-miR-1236
A_25_P00014960	hsa-miR-1237
A_25_P00014966	hsa-miR-1238
A_25_P00012159	hsa-miR-124
A_25_P00013391	hsa-miR-124*
A_25_P00013941	hsa-miR-125a-3p
A_25_P00012209	hsa-miR-125a-5p
A_25_P00010980	hsa-miR-125b
A_25_P00013392	hsa-miR-125b-1*
A_25_P00014589	hsa-miR-125b-2*
A_25_P00012215	hsa-miR-126
A_25_P00010600	hsa-miR-126*
A_25_P00010382	hsa-miR-127-3p
A_25_P00012218	hsa-miR-127-5p
A_25_P00014841	hsa-miR-128
A_25_P00012225	hsa-miR-129-3p
A_25_P00010753	hsa-miR-129-5p
A_25_P00013276	hsa-miR-129*
A_25_P00010440	hsa-miR-130a
A_25_P00013396	hsa-miR-130a*
A_25_P00010438	hsa-miR-130b
A_25_P00013501	hsa-miR-130b*
A_25_P00010589	hsa-miR-132
A_25_P00013401	hsa-miR-132*
A_25_P00012166	hsa-miR-133a
A_25_P00010964	hsa-miR-133b
A_25_P00012230	hsa-miR-134
A_25_P00010981	hsa-miR-135a
A_25_P00013405	hsa-miR-135a*
A_25_P00012382	hsa-miR-135b
A_25_P00013551	hsa-miR-135b*
A_25_P00011018	hsa-miR-136
A_25_P00013435	hsa-miR-136*
A_25_P00010617	hsa-miR-137
A_25_P00012169	hsa-miR-138
A_25_P00013438	hsa-miR-138-1*
A_25_P00013408	hsa-miR-138-2*
A_25_P00012073	hsa-miR-139-3p
A_25_P00012070	hsa-miR-139-5p
A_25_P00012176	hsa-miR-140-3p
A_25_P00010606	hsa-miR-140-5p
A_25_P00010547	hsa-miR-141
A_25_P00013412	hsa-miR-141*
A_25_P00013937	hsa-miR-142-3p
A_25_P00014844	hsa-miR-142-5p
A_25_P00012184	hsa-miR-143
A_25_P00013418	hsa-miR-143*
A_25_P00012188	hsa-miR-144
A_25_P00013423	hsa-miR-144*
A_25_P00012192	hsa-miR-145
A_25_P00013426	hsa-miR-145*
A_25_P00010079	hsa-miR-146a
A_25_P00013445	hsa-miR-146a*
A_25_P00012490	hsa-miR-146b-3p
A_25_P00010386	hsa-miR-146b-5p
A_25_P00010764	hsa-miR-147
A_25_P00012975	hsa-miR-147b
A_25_P00010131	hsa-miR-148a
A_25_P00013282	hsa-miR-148a*
A_25_P00010133	hsa-miR-148b
A_25_P00013552	hsa-miR-148b*
A_25_P00012235	hsa-miR-149
A_25_P00013446	hsa-miR-149*
A_25_P00010490	hsa-miR-150
A_25_P00013453	hsa-miR-150*
A_25_P00010577	hsa-miR-151-3p
A_25_P00012376	hsa-miR-151-5p
A_25_P00012196	hsa-miR-152
A_25_P00012199	hsa-miR-153
A_25_P00010584	hsa-miR-154
A_25_P00010116	hsa-miR-154*
A_25_P00012271	hsa-miR-155
A_25_P00013473	hsa-miR-155*
A_25_P00014817	hsa-miR-15a
A_25_P00013142	hsa-miR-15a*
A_25_P00011101	hsa-miR-15b
A_25_P00013369	hsa-miR-15b*
A_25_P00010599	hsa-miR-16
A_25_P00013146	hsa-miR-16-1*
A_25_P00013271	hsa-miR-16-2*
A_25_P00013841	hsa-miR-17
A_25_P00013151	hsa-miR-17*
A_25_P00010285	hsa-miR-181a
A_25_P00013314	hsa-miR-181a-2*
A_25_P00010883	hsa-miR-181a*
A_25_P00012090	hsa-miR-181b
A_25_P00010288	hsa-miR-181c
A_25_P00013316	hsa-miR-181c*
A_25_P00012514	hsa-miR-181d
A_25_P00012093	hsa-miR-182
A_25_P00010968	hsa-miR-182*
A_25_P00012098	hsa-miR-183
A_25_P00013321	hsa-miR-183*
A_25_P00010237	hsa-miR-184
A_25_P00012238	hsa-miR-185
A_25_P00013455	hsa-miR-185*
A_25_P00012242	hsa-miR-186
A_25_P00013458	hsa-miR-186*
A_25_P00012100	hsa-miR-187
A_25_P00013324	hsa-miR-187*
A_25_P00012249	hsa-miR-188-3p
A_25_P00012246	hsa-miR-188-5p
A_25_P00011994	hsa-miR-18a
A_25_P00013153	hsa-miR-18a*
A_25_P00014859	hsa-miR-18b
A_25_P00013571	hsa-miR-18b*
A_25_P00013962	hsa-miR-190
A_25_P00012976	hsa-miR-190b
A_25_P00012204	hsa-miR-191
A_25_P00010876	hsa-miR-191*
A_25_P00010868	hsa-miR-192
A_25_P00014532	hsa-miR-192*
A_25_P00012258	hsa-miR-193a-3p
A_25_P00012254	hsa-miR-193a-5p
A_25_P00012511	hsa-miR-193b
A_25_P00013594	hsa-miR-193b*
A_25_P00011006	hsa-miR-194
A_25_P00013475	hsa-miR-194*
A_25_P00010769	hsa-miR-195
A_25_P00013463	hsa-miR-195*
A_25_P00012052	hsa-miR-196a
A_25_P00013328	hsa-miR-196a*
A_25_P00012412	hsa-miR-196b
A_25_P00010836	hsa-miR-197
A_25_P00012058	hsa-miR-198
A_25_P00010701	hsa-miR-199a-5p
A_25_P00014829	hsa-miR-199b-3p
A_25_P00010699	hsa-miR-199b-5p
A_25_P00010997	hsa-miR-19a
A_25_P00013159	hsa-miR-19a*
A_25_P00011000	hsa-miR-19b
A_25_P00013162	hsa-miR-19b-1*
A_25_P00013166	hsa-miR-19b-2*
A_25_P00010209	hsa-miR-200a
A_25_P00011010	hsa-miR-200a*
A_25_P00012139	hsa-miR-200b
A_25_P00013359	hsa-miR-200b*
A_25_P00012266	hsa-miR-200c
A_25_P00013469	hsa-miR-200c*
A_25_P00014863	hsa-miR-202
A_25_P00013587	hsa-miR-202*
A_25_P00010629	hsa-miR-203
A_25_P00010400	hsa-miR-204
A_25_P00010504	hsa-miR-205
A_25_P00010528	hsa-miR-206
A_25_P00010138	hsa-miR-208a
A_25_P00014917	hsa-miR-208b
A_25_P00010613	hsa-miR-20a
A_25_P00013170	hsa-miR-20a*
A_25_P00010615	hsa-miR-20b
A_25_P00013572	hsa-miR-20b*
A_25_P00010975	hsa-miR-21
A_25_P00013174	hsa-miR-21*
A_25_P00010996	hsa-miR-210
A_25_P00010405	hsa-miR-211
A_25_P00010853	hsa-miR-212
A_25_P00012107	hsa-miR-214
A_25_P00014557	hsa-miR-214*
A_25_P00010927	hsa-miR-215
A_25_P00012113	hsa-miR-216a
A_25_P00013029	hsa-miR-216b
A_25_P00012115	hsa-miR-217
A_25_P00010211	hsa-miR-218
A_25_P00013338	hsa-miR-218-1*
A_25_P00013340	hsa-miR-218-2*
A_25_P00012123	hsa-miR-219-1-3p
A_25_P00012278	hsa-miR-219-2-3p
A_25_P00010342	hsa-miR-219-5p
A_25_P00010205	hsa-miR-22
A_25_P00013178	hsa-miR-22*
A_25_P00010037	hsa-miR-220a
A_25_P00012905	hsa-miR-220b
A_25_P00012934	hsa-miR-220c
A_25_P00010690	hsa-miR-221
A_25_P00013346	hsa-miR-221*
A_25_P00012126	hsa-miR-222
A_25_P00013349	hsa-miR-222*
A_25_P00012130	hsa-miR-223
A_25_P00013353	hsa-miR-223*
A_25_P00012133	hsa-miR-224
A_25_P00014820	hsa-miR-23a
A_25_P00013181	hsa-miR-23a*
A_25_P00010881	hsa-miR-23b
A_25_P00013373	hsa-miR-23b*
A_25_P00010676	hsa-miR-24
A_25_P00014494	hsa-miR-24-1*
A_25_P00013186	hsa-miR-24-2*
A_25_P00010989	hsa-miR-25
A_25_P00013192	hsa-miR-25*
A_25_P00011999	hsa-miR-26a
A_25_P00013195	hsa-miR-26a-1*
A_25_P00013509	hsa-miR-26a-2*
A_25_P00012002	hsa-miR-26b
A_25_P00013199	hsa-miR-26b*
A_25_P00014821	hsa-miR-27a
A_25_P00013204	hsa-miR-27a*
A_25_P00014837	hsa-miR-27b
A_25_P00013377	hsa-miR-27b*
A_25_P00012009	hsa-miR-28-3p
A_25_P00010630	hsa-miR-28-5p
A_25_P00012296	hsa-miR-296-3p
