V1	V2
ILMN_1910180	
ILMN_1804174	FCGR2B
ILMN_1796063	TRIM44
ILMN_1811966	LOC653895
ILMN_1668162	DGAT2L3
ILMN_1715600	LOC387701
ILMN_1912287	
ILMN_1793729	C15orf39
ILMN_1889125	
ILMN_2296644	PCDHGA9
ILMN_1711283	PCDHGA9
ILMN_1682799	STAMBPL1
ILMN_1909767	
ILMN_1840770	
ILMN_1906209	
ILMN_1665311	STH
ILMN_1657235	LOC342979
ILMN_1655444	LOC728492
ILMN_1679194	UGT2B7
ILMN_1755897	UGT2B7
ILMN_1711453	CLEC12A
ILMN_1816369	
ILMN_1656744	LOC648054
ILMN_2121316	SCYL1BP1
ILMN_1761911	SCYL1BP1
ILMN_1807467	RGNEF
ILMN_1652609	RGNEF
ILMN_1720944	LOC643426
ILMN_1818577	
ILMN_2385662	C1orf103
ILMN_2313434	TCP1
ILMN_1867080	
ILMN_1704173	AIFM3
ILMN_1817791	
ILMN_1769158	ISOC2
ILMN_1660232	PEX5
ILMN_1849912	
ILMN_1763663	FLJ20718
ILMN_1727459	ORC1L
ILMN_1814429	LOC389405
ILMN_1881453	
ILMN_1868399	
ILMN_1849784	
ILMN_1797082	SNX13
ILMN_1846574	
ILMN_1913309	
ILMN_1693210	NSMCE2
ILMN_1897334	
ILMN_1894042	
ILMN_1775074	TUBGCP2
ILMN_1779257	CD40
ILMN_1684523	LOC648628
ILMN_1901057	
ILMN_2309245	BIN1
ILMN_1821479	
ILMN_1809344	BTBD10
ILMN_1762281	DCTN3
ILMN_1734742	ARHGDIA
ILMN_1903204	
ILMN_2162234	NEK1
ILMN_1655684	SARS2
ILMN_1735832	LOC650339
ILMN_1754567	LRRC48
ILMN_1686807	LOC648993
ILMN_1671123	LOC647543
ILMN_1766125	LONP1
ILMN_1654249	LOC647083
ILMN_1685369	SLU7
ILMN_1653709	TIMM9
ILMN_2126957	NOMO1
ILMN_1678730	NOMO1
ILMN_1702114	NOMO1
ILMN_1842887	
ILMN_1801608	KCNN3
ILMN_1744897	KCNN3
ILMN_1864136	
ILMN_1828584	
ILMN_1688702	PJA2
ILMN_1807393	PLGLA1
ILMN_1670130	ARID3A
ILMN_1765971	MOGAT1
ILMN_1842785	
ILMN_1913478	
ILMN_1659166	SLC6A15
ILMN_1810533	SLC6A15
ILMN_1713086	RPL27A
ILMN_1888978	
ILMN_2205695	C4orf28
ILMN_1739335	LOC400948
ILMN_1803834	LOC653352
ILMN_1884223	
ILMN_2396639	PDLIM7
ILMN_1814985	PDLIM7
ILMN_1830990	
ILMN_1911503	
ILMN_1680462	CST6
ILMN_1697733	CST6
ILMN_1658713	TNFSF11
ILMN_2055638	KRTAP13-1
ILMN_1662791	C10orf68
ILMN_1839575	
ILMN_1904521	
ILMN_2275455	RNF6
ILMN_1814002	TEAD3
ILMN_1702698	LSM11
ILMN_1708151	LAGE3
ILMN_1765085	TRMT6
ILMN_1793463	LOC647785
ILMN_2321064	BAX
ILMN_1663616	DNAJC7
ILMN_1752791	PARP8
ILMN_2289849	FCGR2A
ILMN_1665246	UMODL1
ILMN_1757172	LOC647456
ILMN_1813027	TRIM41
ILMN_1704019	OGFOD2
ILMN_1673969	LOC374491
ILMN_2183424	LOC374491
ILMN_1906350	
ILMN_2400947	CUGBP2
ILMN_1788605	LOC644623
ILMN_1735484	LOC644623
ILMN_1681755	LOC644623
ILMN_1759879	LOC644623
ILMN_1896142	
ILMN_1708110	TMEM144
ILMN_1815649	POU5F2
ILMN_1911802	
ILMN_1736555	ZNF280D
ILMN_1651584	LOC643576
ILMN_1802808	LOC654103
ILMN_1664176	FBLN5
ILMN_2223941	FBLN5
ILMN_2399503	UBN1
ILMN_2290089	UBN1
ILMN_1870093	
ILMN_1818740	
ILMN_1762294	ADAMTSL4
ILMN_1687035	ADAMTSL4
ILMN_1895935	
ILMN_2174296	DNAJC2
ILMN_1897178	
ILMN_1697634	FLJ35894
ILMN_1758315	SLC9A9
ILMN_1844099	
ILMN_1880310	
ILMN_1820212	
ILMN_1661643	LOC643563
ILMN_1888987	
ILMN_1663988	LOC731283
ILMN_2166696	ANGPTL5
ILMN_1681234	TNRC4
ILMN_1660985	LOC442388
ILMN_1870085	
ILMN_1654759	CLDN22
ILMN_1834238	
ILMN_1857631	
ILMN_1710329	MYEF2
ILMN_1813671	SLC25A1
ILMN_1700633	ABHD4
ILMN_1660869	LOC643438
ILMN_1752229	TIMM50
ILMN_2332691	CAPN3
ILMN_1734794	AKAP4
ILMN_2253207	AKAP4
ILMN_1874575	
ILMN_1858152	
ILMN_1806304	ENTPD4
ILMN_1838780	
ILMN_1682864	SPSB3
ILMN_1752622	PROX1
ILMN_1680856	MAMLD1
ILMN_1691884	STC2
ILMN_1856234	
ILMN_1832172	
ILMN_1662470	C10orf35
ILMN_1726225	SERPINI2
ILMN_1861120	
ILMN_1864704	
ILMN_1882485	
ILMN_1811335	LOC653472
ILMN_1746378	GHDC
ILMN_1658074	ZCCHC13
ILMN_1792571	ARHGEF15
ILMN_1760922	GIT2
ILMN_2355776	GIT2
ILMN_1761348	ZNF530
ILMN_2234710	C12orf60
ILMN_2234709	C12orf60
ILMN_1838179	
ILMN_2388965	GEFT
ILMN_1861392	
ILMN_1665887	WDR61
ILMN_1700679	LOC649661
ILMN_2057836	RNU2-1
ILMN_1797975	CXCR3
ILMN_1870737	
ILMN_2154053	FVT1
ILMN_2154052	FVT1
ILMN_1850881	
ILMN_1888359	
ILMN_1869651	
ILMN_1859863	
ILMN_1665144	LOC653468
ILMN_1661657	TRPC2
ILMN_2127007	TRPC2
ILMN_2184109	SLC34A2
ILMN_1660541	PCNXL2
ILMN_2085760	ARPC1B
ILMN_1885152	
ILMN_1852349	
ILMN_1873650	
ILMN_1740545	LOC652286
ILMN_1653496	GLUL
ILMN_1765208	GLUL
ILMN_1656913	MDH1
ILMN_1656837	RBP1
ILMN_1894535	
ILMN_1888264	
ILMN_1656196	E2F6
ILMN_1700923	ATG4C
ILMN_2383727	ATG4C
ILMN_1817144	
ILMN_1673605	PRSSL1
