REPORTER ID	GENE SYMBOL
7A5_NM_182762.2	7A5
A1BG_NM_130786.2	A1BG
A1BG_NM_130786.2	A1BG
A1CF_NM_138932.1	A1CF
A1CF_NM_014576.2	A1CF
A1CF_NM_138933.1	A1CF
A26C3_NM_001004053.2	A26C3
A26C3_NM_001004053.2	A26C3
A26C3_NM_001004053.2	A26C3
A2BP1_NM_145891.1	A2BP1
A2BP1_NM_145891.1	A2BP1
A2BP1_NM_145893.1	A2BP1
A2BP1_NM_018723.2	A2BP1
A2LD1_NM_033110.1	A2LD1
A2M_NM_000014.4	A2M
A2ML1_NM_144670.2	A2ML1
A3GALT2_NM_001080438.1	A3GALT2
A3GALT2_NM_001080438.1	A3GALT2
A4GALT_NM_017436.4	A4GALT
A4GNT_NM_016161.1	A4GNT
AAA1_NM_207284.1	AAA1
AAA1_NM_207290.1	AAA1
AAA1_NM_207285.1	AAA1
AAA1_NM_207289.1	AAA1
AAA1_NM_207283.1	AAA1
AAAS_NM_015665.4	AAAS
AACS_NM_023928.3	AACS
AACSL_XM_376454.3	AACSL
AADAC_NM_001086.2	AADAC
AADACL1_NM_020792.3	AADACL1
AADACL1_NM_020792.3	AADACL1
AADACL2_NM_207365.2	AADACL2
AADACL3_XM_938346.2	AADACL3
AADACL4_NM_001013630.1	AADACL4
AADAT_NM_016228.3	AADAT
AADAT_NM_182662.1	AADAT
AADAT_NM_182662.1	AADAT
AADAT_NM_182662.1	AADAT
AAGAB_NM_024666.3	AAGAB
AAK1_NM_014911.3	AAK1
AAK1_NM_014911.3	AAK1
AAK1_NM_014911.2	AAK1
AAMP_NM_001087.3	AAMP
AANAT_NM_001088.1	AANAT
AARS_NM_001605.2	AARS
AARS2_NM_020745.2	AARS2
AARSD1_NM_025267.2	AARSD1
AASDH_NM_181806.2	AASDH
AASDHPPT_NM_015423.2	AASDHPPT
AASDHPPT_NM_015423.2	AASDHPPT
AASS_NM_005763.2	AASS
AASS_NM_005763.2	AASS
AATF_NM_012138.3	AATF
AATK_NM_001080395.1	AATK
AATK_NM_001080395.1	AATK
AATK_NM_001080395.1	AATK
ABAT_NM_020686.4	ABAT
ABAT_NM_000663.3	ABAT
ABAT_NM_000663.3	ABAT
ABCA1_NM_005502.2	ABCA1
ABCA10_NM_080282.3	ABCA10
ABCA10_NM_080282.2	ABCA10
ABCA11_NR_002451.1	ABCA11
ABCA12_NM_173076.2	ABCA12
ABCA12_NM_015657.3	ABCA12
ABCA13_NM_152701.2	ABCA13
ABCA2_NM_212533.2	ABCA2
ABCA2_NM_212533.2	ABCA2
ABCA3_NM_001089.1	ABCA3
ABCA4_NM_000350.2	ABCA4
ABCA5_NM_172232.1	ABCA5
ABCA5_NM_018672.2	ABCA5
ABCA5_NM_018672.2	ABCA5
ABCA6_NM_080284.2	ABCA6
ABCA6_NM_080284.2	ABCA6
ABCA7_NM_019112.3	ABCA7
ABCA7_NM_019112.3	ABCA7
ABCA7_NM_033308.1	ABCA7
ABCA8_NM_007168.2	ABCA8
ABCA8_NM_007168.2	ABCA8
ABCA9_NM_080283.3	ABCA9
ABCA9_NM_080283.3	ABCA9
ABCB1_NM_000927.3	ABCB1
ABCB1_NM_000927.3	ABCB1
ABCB10_NM_012089.1	ABCB10
ABCB11_NM_003742.2	ABCB11
ABCB4_NM_018850.2	ABCB4
ABCB5_NM_178559.3	ABCB5
ABCB6_NM_005689.1	ABCB6
ABCB7_NM_004299.3	ABCB7
ABCB8_NM_007188.2	ABCB8
ABCB9_NM_203444.1	ABCB9
ABCB9_NM_019624.2	ABCB9
ABCB9_NM_019624.2	ABCB9
ABCC1_NM_019901.1	ABCC1
ABCC1_NM_019900.2	ABCC1
ABCC10_NM_033450.2	ABCC10
ABCC11_NM_145186.2	ABCC11
ABCC11_NM_033151.3	ABCC11
ABCC11_NM_145186.1	ABCC11
ABCC12_NM_033226.2	ABCC12
ABCC13_NR_003087.1	ABCC13
ABCC13_NM_138726.2	ABCC13
ABCC13_NM_172024.1	ABCC13
ABCC2_NM_000392.1	ABCC2
ABCC3_NM_020038.1	ABCC3
ABCC3_NM_003786.2	ABCC3
ABCC4_NM_005845.2	ABCC4
ABCC4_NM_005845.2	ABCC4
ABCC5_NM_001023587.1	ABCC5
ABCC5_NM_005688.2	ABCC5
ABCC5_NM_001023587.1	ABCC5
ABCC6_NM_001171.3	ABCC6
ABCC6_NM_001171.3	ABCC6
ABCC6_NM_001171.3	ABCC6
ABCC6_NM_001079528.1	ABCC6
ABCC6_NM_001171.3	ABCC6
ABCC6_NM_001079528.1	ABCC6
ABCC6P1_NR_003569.1	ABCC6P1
ABCC6P2_NR_023387.1	ABCC6P2
ABCC8_NM_000352.3	ABCC8
ABCC9_NM_005691.1	ABCC9
ABCC9_NM_020298.2	ABCC9
ABCC9_NM_020297.1	ABCC9
ABCD1_NM_000033.2	ABCD1
ABCD2_NM_005164.2	ABCD2
ABCD2_NM_005164.2	ABCD2
ABCD3_NM_002858.2	ABCD3
ABCD4_NM_020326.2	ABCD4
ABCD4_NR_003256.1	ABCD4
ABCD4_NM_020325.1	ABCD4
ABCD4_NM_020323.1	ABCD4
ABCE1_NM_001040876.1	ABCE1
ABCE1_NM_001040876.1	ABCE1
ABCF1_NM_001025091.1	ABCF1
ABCF1_NM_001025091.1	ABCF1
ABCF2_NM_005692.3	ABCF2
ABCF2_NM_005692.3	ABCF2
ABCF2_NM_007189.1	ABCF2
ABCF3_NM_018358.2	ABCF3
ABCG1_NM_207627.1	ABCG1
ABCG1_NM_207630.1	ABCG1
ABCG1_NM_207629.1	ABCG1
ABCG1_NM_016818.2	ABCG1
ABCG1_NM_016818.2	ABCG1
ABCG1_NM_207174.1	ABCG1
ABCG2_NM_004827.2	ABCG2
ABCG4_NM_022169.3	ABCG4
ABCG5_NM_022436.2	ABCG5
ABCG8_NM_022437.2	ABCG8
ABHD1_NM_032604.2	ABHD1
ABHD10_NM_018394.1	ABHD10
ABHD11_NM_148916.2	ABHD11
ABHD11_NM_031295.3	ABHD11
