REPORTER ID	GENE SYMBOL
ILMN_3167151	hsa-miR-553
ILMN_3167958	HS_124
ILMN_3167403	hsa-miR-320d
ILMN_3167819	hsa-miR-522
ILMN_3167659	hsa-miR-1537
ILMN_3167315	hsa-miR-649
ILMN_3168372	hsa-miR-606
ILMN_3167768	hsa-miR-618
ILMN_3167028	hsa-miR-641
ILMN_3168208	hsa-miR-330-3p
ILMN_3166980	HS_121
ILMN_3168528	hsa-miR-562
ILMN_3167769	hsa-miR-93
ILMN_3167510	hsa-miR-20a
ILMN_3168147	hsa-miR-520h
ILMN_3166935	hsa-miR-329
ILMN_3167849	hsa-miR-552
ILMN_3167761	hsa-miR-212
ILMN_3168446	hsa-miR-494
ILMN_3168036	HS_90
ILMN_3168280	hsa-miR-181c
ILMN_3167690	hsa-miR-181d
ILMN_3167614	hsa-miR-451
ILMN_3168283	hsa-miR-490-3p
ILMN_3167759	hsa-miR-614
ILMN_3167163	hsa-miR-523
ILMN_3167253	hsa-miR-191
ILMN_3168144	hsa-miR-646
ILMN_3167977	hsa-miR-498
ILMN_3167121	HS_304_a
ILMN_3167773	hsa-miR-22
ILMN_3167223	hsa-miR-28-5p
ILMN_3167778	hsa-miR-525-3p
ILMN_3167328	hsa-miR-524-3p
ILMN_3168515	hsa-miR-224
ILMN_3168186	hsa-miR-519b-3p
ILMN_3168168	hsa-miR-519a
ILMN_3167937	hsa-miR-519c-3p
ILMN_3167565	hsa-miR-20b
ILMN_3167184	hsa-miR-372
ILMN_3168339	hsa-miR-648
ILMN_3167484	hsa-miR-595
ILMN_3167239	hsa-miR-382
ILMN_3167458	hsa-miR-369-3p
ILMN_3167806	hsa-miR-429
ILMN_3167244	hsa-miR-410
ILMN_3168467	hsa-miR-656
ILMN_3167720	hsa-miR-154*
ILMN_3168395	hsa-miR-605
ILMN_3168378	hsa-miR-501-5p
ILMN_3167355	hsa-miR-216a
ILMN_3167721	hsa-miR-425
ILMN_3167545	HS_115
ILMN_3168392	HS_189.1
ILMN_3167052	hsa-miR-495
ILMN_3168020	HS_96
ILMN_3167742	HS_162
ILMN_3167252	hsa-miR-768-3p:11.0
ILMN_3167275	hsa-miR-602
ILMN_3167139	HS_198
ILMN_3167801	hsa-miR-200a
ILMN_3167046	hsa-miR-214
ILMN_3166941	hsa-miR-376c
ILMN_3167956	hsa-miR-323-3p
ILMN_3167493	hsa-miR-634
ILMN_3167146	hsa-miR-593*
ILMN_3168290	hsa-miR-665
ILMN_3166974	hsa-miR-767-5p
ILMN_3168091	hsa-miR-660
ILMN_3167209	HS_104
ILMN_3167634	hsa-miR-100
ILMN_3168024	hsa-miR-454*
ILMN_3168485	hsa-miR-504
ILMN_3167546	HS_303_a
ILMN_3167907	HS_208
ILMN_3168490	hsa-miR-619
ILMN_3168215	hsa-miR-521
ILMN_3168134	HS_273
ILMN_3167656	hsa-miR-574-3p
ILMN_3168425	hsa-miR-598
ILMN_3167062	hsa-miR-151:9.1
ILMN_3167770	hsa-miR-616*
ILMN_3167624	hsa-miR-136
ILMN_3168173	hsa-miR-483-3p
ILMN_3167649	hsa-miR-1251
ILMN_3168445	HS_137
ILMN_3167870	hsa-miR-17*
ILMN_3167478	hsa-miR-217
ILMN_3168413	hsa-miR-324-3p
ILMN_3167178	hsa-miR-18a*
ILMN_3168169	HS_280_b
ILMN_3167002	hsa-miR-200c
ILMN_3168038	HS_10
ILMN_3168162	HS_232
ILMN_3168349	HS_240
ILMN_3167736	hsa-miR-600
ILMN_3168473	hsa-miR-412
ILMN_3167332	HS_146.1
ILMN_3167640	HS_204.1
ILMN_3168247	hsa-miR-643
ILMN_3168322	hsa-miR-302b*
ILMN_3168483	hsa-miR-146a
ILMN_3168398	HS_186
ILMN_3168034	hsa-miR-631
ILMN_3167452	hsa-miR-617
ILMN_3168276	HS_254
ILMN_3166967	HS_196.1
ILMN_3168241	hsa-miR-1185
ILMN_3167551	hsa-let-7d
ILMN_3166955	hsa-miR-369-5p
ILMN_3167142	HS_13
ILMN_3167882	HS_50
ILMN_3167310	HS_63
ILMN_3167437	hsa-miR-497
ILMN_3167191	hsa-miR-195
ILMN_3167989	hsa-miR-16
ILMN_3168273	hsa-miR-503
ILMN_3167353	hsa-miR-107
ILMN_3167027	hsa-miR-103
ILMN_3167357	HS_264.1
ILMN_3168523	HS_126
ILMN_3168048	hsa-miR-596
ILMN_3168373	hsa-miR-518d-3p
ILMN_3167182	hsa-miR-518c
ILMN_3167604	HS_253
ILMN_3167963	hsa-miR-222
ILMN_3167373	hsa-miR-423-3p
ILMN_3167501	hsa-miR-138
ILMN_3167464	HS_106
ILMN_3167145	hsa-miR-626
ILMN_3167712	hsa-miR-611
ILMN_3167959	hsa-miR-765
ILMN_3168016	HS_279_a
ILMN_3167524	hsa-miR-650
ILMN_3167021	HS_129
ILMN_3167394	hsa-miR-564
ILMN_3167361	HS_262.1
ILMN_3167743	hsa-miR-34c-5p
ILMN_3167325	hsa-miR-34b*
ILMN_3168233	HS_152
ILMN_3168101	HS_149
ILMN_3167088	hsa-miR-663
ILMN_3166997	HS_120
