REPORTER ID	GENE SYMBOL
HS_1	HS_1
HS_10	HS_10
HS_100	HS_100
HS_101	HS_101
HS_104	HS_104
HS_105	HS_105
HS_106	HS_106
HS_107	HS_107
HS_108.1	HS_108.1
HS_109	HS_109
HS_11.1	HS_11.1
HS_110	HS_110
HS_111	HS_111
HS_112	HS_112
HS_113	HS_113
HS_114	HS_114
HS_115	HS_115
HS_116	HS_116
HS_117	HS_117
HS_119	HS_119
HS_12	HS_12
HS_120	HS_120
HS_121	HS_121
HS_122.1	HS_122.1
HS_123	HS_123
HS_124	HS_124
HS_126	HS_126
HS_127.1	HS_127.1
HS_128	HS_128
HS_129	HS_129
HS_13	HS_13
HS_130	HS_130
HS_131	HS_131
HS_132.1	HS_132.1
HS_133.1	HS_133.1
HS_134	HS_134
HS_135	HS_135
HS_136	HS_136
HS_137	HS_137
HS_138	HS_138
HS_139	HS_139
HS_14.1	HS_14.1
HS_140	HS_140
HS_141	HS_141
HS_142.1	HS_142.1
HS_143	HS_143
HS_144	HS_144
HS_145.1	HS_145.1
HS_146.1	HS_146.1
HS_147	HS_147
HS_148	HS_148
HS_149	HS_149
HS_15.1	HS_15.1
HS_150	HS_150
HS_151.1	HS_151.1
HS_152	HS_152
HS_153	HS_153
HS_154	HS_154
HS_155	HS_155
HS_156	HS_156
HS_157	HS_157
HS_158	HS_158
HS_159	HS_159
HS_16	HS_16
HS_160	HS_160
HS_161	HS_161
HS_162	HS_162
HS_163	HS_163
HS_164	HS_164
HS_166.1	HS_166.1
HS_167.1	HS_167.1
HS_168	HS_168
HS_169	HS_169
HS_17	HS_17
HS_170	HS_170
HS_172	HS_172
HS_173	HS_173
HS_174.1	HS_174.1
HS_175	HS_175
HS_176	HS_176
HS_177	HS_177
HS_178	HS_178
HS_179	HS_179
HS_18	HS_18
HS_180	HS_180
HS_182.1	HS_182.1
HS_183.1	HS_183.1
HS_184	HS_184
HS_185.1	HS_185.1
HS_186	HS_186
HS_187	HS_187
HS_188	HS_188
HS_189.1	HS_189.1
HS_19	HS_19
HS_190	HS_190
HS_191	HS_191
HS_192.1	HS_192.1
HS_193	HS_193
HS_194	HS_194
HS_195	HS_195
HS_196.1	HS_196.1
HS_197	HS_197
HS_198	HS_198
HS_199	HS_199
HS_2	HS_2
HS_20	HS_20
HS_200	HS_200
HS_201	HS_201
HS_202.1	HS_202.1
HS_203	HS_203
HS_204.1	HS_204.1
