REPORTER ID	GENE SYMBOL
EAM312	hsa-miR-105
EAM186	hsa-miR-106a
EAM190	hsa-miR-10b
JLA138	hsa-miR-146b-5p
EAM316	hsa-miR-147
EAM403	hsa-miR-151-3p
JLA199	hsa-mir-154
EAM317	hsa-miR-155
EAM318	hsa-mir-17
JLA148	hsa-miR-181d
EAM319	hsa-mir-182
JLA124	hsa-miR-18b
JLA198	hsa-mir-191
JLA146	hsa-miR-193b
EAM300	hsa-miR-197
EAM301	hsa-miR-198
EAM235	hsa-miR-199b-5p
JLA195	hsa-mir-200a
JLA139	mmu-miR-202-5p
JLA140	hsa-miR-202
JLA125	hsa-miR-20b
EAM246	hsa-miR-211
EAM250	hsa-miR-215
EAM252	hsa-miR-217
EAM256	hsa-miR-220a
EAM323	hsa-miR-224
JLA197	hsa-miR-299-3p
JLA196	hsa-mir-302a
EAM406	hsa-mir-302b
EAM405	hsa-miR-302b
EAM408	hsa-mir-302c
EAM407	hsa-miR-302c
EAM409	hsa-miR-302d
EAM410	hsa-miR-325
JLA126	hsa-miR-329
JLA100	hsa-miR-330-3p
EAM412	hsa-mir-337
EAM413	hsa-mir-345
EAM414	hsa-miR-346
EAM335	hsa-mir-34b
EAM415	hsa-miR-367
EAM416	hsa-mir-376c
EAM417	hsa-miR-369-3p
EAM419	hsa-miR-371-3p
EAM420	hsa-miR-372
EAM422	hsa-mir-373
EAM421	hsa-miR-373
EAM423	hsa-miR-374a
JLA119	hsa-miR-376a
JLA130	hsa-miR-376b
JLA121	hsa-miR-380
JLA113	hsa-miR-383
JLA129	hsa-miR-409-5p
JLA122	hsa-mir-422a
JLA120	hsa-mir-378
JLA123	hsa-miR-423-3p
JLA97	hsa-miR-429
JLA143	hsa-mir-432
JLA128	hsa-mir-452
JLA127	hsa-mir-453
JLA132	hsa-miR-485-3p
JLA131	hsa-miR-485-5p
JLA133	hsa-mir-488
JLA134	hsa-miR-489
JLA135	hsa-miR-490-3p
JLA136	hsa-miR-491-5p
JLA141	hsa-miR-492
JLA142	hsa-mir-493
JLA144	hsa-miR-494
JLA145	hsa-mir-496
JLA147	hsa-miR-497
JLA151	hsa-miR-498
JLA182	hsa-miR-499-5p
JLA183	hsa-mir-500
JLA184	hsa-miR-501-5p
JLA185	hsa-miR-502-5p
JLA186	hsa-miR-503
JLA187	hsa-miR-504
JLA189	hsa-miR-506
JLA190	hsa-miR-507
JLA191	hsa-miR-508-3p
JLA192	hsa-miR-509-3p
