REPORTER ID	GENE SYMBOL
A_32_P190316	
A_23_P5266	MRPL34
A_24_P144666	
A_23_P115407	GSTM1
A_24_P936860	
A_23_P26557	C16orf59
A_23_P35035	LPAR3
A_32_P228501	CDC26
A_24_P337140	ABHD14B
A_24_P238896	
A_23_P254863	MGC42105
A_23_P114084	PHEX
A_24_P827794	
A_23_P384044	CNIH3
A_32_P206698	CKS1B
A_32_P223059	SLC45A1
A_24_P335759	MYO15A
A_24_P607751	
A_23_P39481	ABCA7
A_24_P239385	
A_24_P217365	ANKRD28
A_23_P72387	AFAP1
A_32_P743407	GLYR1
A_23_P352291	SFRS13A
A_24_P937649	
A_24_P152278	
A_23_P323243	PNLDC1
A_32_P77421	
A_32_P88603	MAN1A2
A_24_P931091	UNQ6126
A_32_P425876	
A_32_P197173	
A_24_P940275	FRMPD4
A_24_P410510	
A_24_P246863	
A_23_P121695	CXCL13
A_24_P384969	
A_23_P142671	ZNF513
A_24_P922569	PKD1L1
A_24_P808838	
A_24_P311679	DKK2
A_24_P857002	
A_32_P389544	ASXL3
A_32_P127350	LOC645323
A_23_P412990	HRH3
A_23_P411113	CNTNAP1
A_23_P96812	POMGNT1
A_23_P153562	C5AR1
A_23_P149813	RSU1
A_23_P36364	THY1
A_23_P320897	
A_24_P331904	COMMD4
A_24_P714316	
A_32_P108636	RPL10
A_32_P42925	MYL12B
A_24_P796274	
A_23_P354791	NAV2
A_24_P150194	NACA
A_23_P402892	NLRC5
A_24_P198044	ZNF483
A_23_P12303	
A_24_P228579	C20orf7
A_24_P391604	KRTAP6-3
A_32_P177300	ZADH2
A_24_P261259	PFKFB3
A_32_P220591	
A_23_P49579	NEUROD2
A_24_P41936	
A_32_P453971	
A_23_P301247	HIST2H2AC
A_24_P50390	
A_23_P70409	POLR1C
A_23_P205553	SYNE2
A_24_P239988	ITSN2
A_24_P337104	OXTR
A_24_P80152	TEX261
A_23_P98070	PDE6C
A_24_P349002	POM121
A_24_P32790	YOD1
A_24_P929640	
A_23_P154065	TUBA4A
A_32_P55934	
A_24_P417800	LOC100289550
A_23_P428468	ZNF292
A_23_P153185	SERPINB2
A_24_P935235	
A_24_P323395	CRIM1
