TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
TAMOXIFEN_TREATMENT	NO	NO		The patient was not treated with tamoxifen
TAMOXIFEN_TREATMENT	YES	YES		The patient was treated with tamoxifen
NODAL_STATUS	NEGATIVE	NEGATIVE		Lymph Node negative for tumor cells
NODAL_STATUS	POSITIVE	POSITIVE		Lymph Nodes positive for tumor cells
ER_STATUS	POSITIVE	POSITIVE		Estrogen Receptor positive
ER_STATUS	NEGATIVE	NEGATIVE		Estrogen Receptor negative
EVENT_DFS	1	EVENT		1 stands for EVENT indicating recurrence of disease  
EVENT_DFS	0	CENSORING		0 stands for CENSORING meaning no recurrence was recorded
EVENT_DMFS	1	EVENT		1 stands for EVENT indicating distant metastasis   
EVENT_DMFS	0	CENSORING		0 stands for CENSORING meaning no record of distant metastasis
