TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION			
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 			
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.			
HIST_TUMOR_GRADE	MODERATELY_DIFF	Moderately differentiated		Moderately differentiated			
HIST_TUMOR_GRADE	POORLY_DIFF	Poorly differentiated		Poorly differentiated			
HIST_TUMOR_GRADE	WELL_DIFF	Well differentiated		Well differentiated			
AJCC_TUMOR_GRADE	G1	G1 - Well Differentiated (Low Grade)		Cells look almost like normal ones.			
AJCC_TUMOR_GRADE	G2	G2 - Moderately differentiated		Cells look somewhat abnormal			
AJCC_TUMOR_GRADE	G3	G3- Poorly differentiated (High grade)		Cells are very quickly growing and look very abnormal			
AJCC_TUMOR_GRADE	G4	G4 - Undifferentiated (High grade)		Cells are very quickly growing and look very abnormal			
PTNM_T	T0	T0 - No evidence of primary tumor		T0 - No evidence of primary tumor			
PTNM_T	T1	T1 - Size and/or extent of the primary tumor		T1 - Size and/or extent of the primary tumor			
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor			
PTNM_T	T2a	T2a - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor			
PTNM_T	T2b	T2b - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor			
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor			
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor			
PTNM_T	TX	TX - Primary tumor cannot be evaluated		TX - Primary tumor cannot be evaluated			
PTNM_T	Tis	Tis - Carcinoma in situ		Tis - Carcinoma in situ (early cancer that has not spread to neighboring tissue)			
MING_CLASS	INFILTRATIVE	Infiltrative growth pattern		Infiltrative-type tumor cells, growing individually			
MING_CLASS	EXPANSIVE	Expansive growth pattern		Expansive cells grow en masse			
WHO_CLASS	SIGNET	SIGNET		Signet ring cells based on WHO Classification			
WHO_CLASS	TUBULAR	TUBULAR		Tubular cells based on WHO Classification 			
WHO_CLASS	PAPILLARY	PAPILLARY		Papillary cells based on WHO Classification 			
HIST_TUMOR_TYPE	0	0 - No significant tumor		0 - No significant tumor			
HIST_TUMOR_TYPE	1	1 - IDC- Invasive Ductal Carcinoma		1 - IDC- Invasive Ductal Carcinoma			
HIST_TUMOR_TYPE	10	10 - Mixture of ductal, lobular (or other) carcinoma		10 - Mixture of ductal, lobular (or other) carcinoma			
HIST_TUMOR_TYPE	12	12 - Carcinoid		12 - Carcinoid			
HIST_TUMOR_TYPE	13	13 - Neuroendocrine		13 - Neuroendocrine			
HIST_TUMOR_TYPE	14	14 - Large Cell Neuroendocrine		14 - Large Cell Neuroendocrine (Non-small cell Neuroendocrine)			
HIST_TUMOR_TYPE	15	15 - Adenosquamous		15 - Adenosquamous			
HIST_TUMOR_TYPE	11	11 - Other		11 - Other			
HIST_TUMOR_TYPE	8	8 - Adenocarcinoma		8 - Adenocarcinoma			
HIST_TUMOR_TYPE	9	9 - Ductal Carcinoma		9 - Ductal Carcinoma			
HIST_TUMOR_TYPE	2	2 - ILC -Invasive lobular Carcinoma		2 - ILC -Invasive lobular Carcinoma			
HIST_TUMOR_TYPE	3	3 - IDC/ILC		3 - IDC/ILC			
HIST_TUMOR_TYPE	4	4 - mucinous		4 - mucinous			
HIST_TUMOR_TYPE	5	5 - metaplastic		5 - metaplastic			
HIST_TUMOR_TYPE	6	6 - medular		6 - medular			
HIST_TUMOR_TYPE	7	7 - tubular/lobular		7 - tubular/lobular			
LAUREN_CLASS	INTESTINAL	INTESTINAL		Intestinal-type gastric cancer often appears lower in the stomach, strikes older populations and has been associated with Helicobacter pylori infection. Intestinal-type cancers are often well-differentiated cylindrical growths arising in areas of mucosal inflammation.			
LAUREN_CLASS	DIFFUSE	DIFFUSE		Diffuse-type cancers are often solitary or small clusters of cells that arise in the mucosal layer.			
LAUREN_CLASS	MIXED	MIXED		Mix of the Above	 Intestinal and Diffuse features		 classifications
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement (no cancer found in the lymph nodes)			
PTNM_N	N1	N1 - Involvement of regional lymph nodes		N1 - Involvement of regional lymph nodes (number and/or extent of spread)			
PTNM_N	N2	N2 - Involvement of regional lymph nodes		N2 - Involvement of regional lymph nodes (number and/or extent of spread)			
PTNM_N	N3	N3 - Involvement of regional lymph nodes		N3 - Involvement of regional lymph nodes (number and/or extent of spread)			
PTNM_N	NX	NX - Regional lymph nodes cannot be evaluated		NX - Regional lymph nodes cannot be evaluated			
