##For information about the Annotation file content, please see the bundled README file.
#%create_date=2009-03-02 PST 12:00:00
#%chip_type=HG-U133_Plus_2
#%genome-species=Homo sapiens
#%genome-version=NCBI Build 36.1
#%genome-version-ucsc=hg18
#%genome-version-ncbi=NCBI Build 36.1
#%genome-version-create_date=March 2006
#%netaffx-annotation-date=2009-03-16
#%netaffx-annotation-netaffx-build=28
#%netaffx-annotation-tabular-data-version=1.0
#%netaffx-annotation-tabular-format-version=1.0
Probe Set ID	Gene Symbol	Entrez Gene
1007_s_at	DDR1	780
1053_at	RFC2	5982
117_at	HSPA6	3310
121_at	PAX8	7849
1255_g_at	GUCA1A	2978
1294_at	UBA7	7318
1316_at	THRA	7067
1320_at	PTPN21	11099
1405_i_at	CCL5	6352
1431_at	CYP2E1	1571
1438_at	EPHB3	2049
1487_at	ESRRA	2101
1494_f_at	CYP2A6	1548
1552256_a_at	SCARB1	949
1552257_a_at	TTLL12	23170
1552258_at	NCRNA00152	112597
1552261_at	WFDC2	10406
1552263_at	MAPK1	5594
1552264_a_at	MAPK1	5594
1552266_at	ADAM32	203102
1552269_at	SPATA17	128153
1552271_at	MGC24975	163154
1552272_a_at	MGC24975	163154
1552274_at	PXK	54899
1552275_s_at	PXK	54899
1552276_a_at	VPS18	57617
1552277_a_at	C9orf30 /// TMEFF1	8577 /// 91283
1552278_a_at	SLC46A1	113235
1552279_a_at	SLC46A1	113235
1552280_at	TIMD4	91937
1552281_at	SLC39A5	283375
1552283_s_at	ZDHHC11	79844
1552286_at	ATP6V1E2	90423
1552287_s_at	AFG3L1	172
1552288_at	CILP2	148113
1552289_a_at	CILP2	148113
1552291_at	PIGX	54965
1552293_at	TMEM196	256130
1552295_a_at	SLC39A13	91252
1552296_at	BEST4	266675
1552299_at	C6orf199	221264
1552301_a_at	CORO6	84940
1552302_at	FLJ77644 /// TMEM106A	113277 /// 728772
1552303_a_at	FLJ77644 /// TMEM106A	113277 /// 728772
1552304_at	ALG10	84920
1552306_at	ALG10	84920
1552307_a_at	TTC39C	125488
1552309_a_at	NEXN	91624
1552310_at	C15orf40	123207
1552311_a_at	RAX2	84839
1552312_a_at	MFAP3	4238
1552314_a_at	EYA3	2140
1552315_at	GIMAP1	170575
1552316_a_at	GIMAP1	170575
1552318_at	GIMAP1	170575
1552319_a_at	KLK8	11202
1552320_a_at	CCDC65	85478
1552321_a_at	CCDC65	85478
1552322_at	FAM122C	159091
1552323_s_at	FAM122C	159091
1552325_at	CCDC11	220136
1552326_a_at	CCDC11	220136
1552327_at	ARMCX4	158947
1552329_at	RBBP6	5930
1552330_at	MGC16385	92806
1552332_at	TRIOBP	11078
1552334_at	TRIOBP	11078
1552335_at	CATSPER1	117144
1552337_s_at	HOXD4	3233
1552338_at	GSC	145258
1552340_at	SP7	121340
1552343_s_at	PDE7A	5150
1552344_s_at	CNOT7	29883
1552347_at	CRYZL1	9946
1552348_at	PRSS33	260429
1552349_a_at	PRSS33	260429
1552354_at	C19orf26	255057
1552355_s_at	C19orf26	255057
1552359_at	C8orf45	157777
1552360_a_at	TIRAP	114609
1552362_a_at	LEAP2	116842
1552364_s_at	MSI2	124540
1552365_at	SCIN	85477
1552367_a_at	SCIN	85477
1552368_at	CTCFL	140690
1552370_at	C4orf33	132321
1552372_at	C4orf33	132321
1552373_s_at	C4orf33	132321
1552375_at	ZNF333	84449
1552377_s_at	FAM18B2	201158
1552378_s_at	RDH10	157506
1552379_at	RDH10	157506
1552381_at	SRrp35	135295
1552383_at	FAM71A	149647
1552384_a_at	FAM71A	149647
1552386_at	GAPT	202309
1552388_at	FLJ30901	150378
1552389_at	C8orf47	203111
1552390_a_at	C8orf47	203111
1552391_at	C1orf65	164127
1552393_at	ENTHD1	150350
1552394_a_at	ENTHD1	150350
1552395_at	TSSK3	81629
1552396_at	SPINLW1 /// WFDC6	140870 /// 57119
1552398_a_at	CLEC12A /// CLEC12B	160364 /// 387837
1552399_a_at	BRF1	2972
1552400_a_at	C15orf27	123591
1552401_a_at	C21orf41	54073
1552402_at	CALML6	163688
1552405_at	NLRP5	126206
1552408_at	ODF4	146852
1552409_a_at	ODF4	146852
1552410_at	CLEC4F	165530
1552411_at	DEFB106A /// DEFB106B	245909 /// 503841
1552412_a_at	DEFB106A /// DEFB106B	245909 /// 503841
1552414_at	WFDC9	259240
1552415_a_at	WFDC9	259240
1552417_a_at	NEDD1	121441
1552418_at	TTLL10	254173
1552419_s_at	TTLL10	254173
1552421_a_at	CALR3	125972
1552422_at	C10orf25	220979
1552423_at	ETV3	2117
1552424_at	KLHL10	317719
1552425_a_at	KLHL10	317719
1552426_a_at	TM2D3	80213
1552427_at	ZNF485	220992
1552430_at	WDR17	116966
1552432_at	MFSD6L	162387
1552436_a_at	CDH23	64072
1552438_a_at	ANKAR	150709
1552439_s_at	MEGF11	84465
1552440_at	GPR182	11318
1552445_a_at	ESX1	80712
1552448_a_at	C8orf12	83656
1552449_a_at	hCG_1741344 /// LOC100130477 /// SCGB1C1	100130477 /// 147199 /// 653486
1552450_a_at	DNAJC5G	285126
1552452_at	WDR88	126248
1552453_a_at	WDR88	126248
1552455_at	PRUNE2	158471
1552456_a_at	MBD3L2	125997
1552457_a_at	ADAMTSL1	92949
1552458_at	MBD3L1	85509
1552459_a_at	MBD3L1	85509
1552461_at	FAM46D	169966
1552463_at	SERPINB11	89778
1552466_x_at	NCRNA00161	118421
1552467_at	DSCR10	259234
1552468_a_at	DSCR10	259234
1552470_a_at	ABHD11	83451
1552472_a_at	ACAP2	23527
1552473_at	GAMT	2593
1552474_a_at	GAMT	2593
1552476_s_at	PLCD3	113026
1552477_a_at	IRF6	3664
1552478_a_at	IRF6	3664
1552480_s_at	PTPRC	5788
1552481_s_at	MAN1A2	10905
1552482_at	RAPH1	65059
1552484_at	SMCR8	140775
1552485_at	LACTB	114294
1552486_s_at	LACTB	114294
1552487_a_at	BNC1	646
1552489_s_at	MPP4	58538
1552490_at	LACE1	246269
1552491_at	IDI2	91734
1552493_s_at	CYP11B1	1584
1552494_at	TAF8	129685
1552496_a_at	COBL	23242
1552497_a_at	SLAMF6	114836
1552498_at	ZSCAN20	7579
1552499_a_at	ZSCAN20	7579
1552501_a_at	GPBAR1	151306
1552502_s_at	RHBDL2	54933
1552503_at	FRAS1	80144
1552504_a_at	BRSK1	84446
1552506_at	CRB2	286204
1552507_at	KCNE4	23704
1552508_at	KCNE4	23704
1552509_a_at	CD300LG	146894
1552510_at	SLC34A3	142680
1552511_a_at	CPA6	57094
1552514_at	WBP2NL	164684
1552515_at	HIPK1	204851
1552516_a_at	HIPK1	204851
1552518_s_at	MTBP	27085
1552519_at	ACVR1C	130399
1552520_at	TMEM74	157753
1552521_a_at	TMEM74	157753
1552522_at	TIGD4	201798
1552523_a_at	TIGD4	201798
1552524_at	ART5	116969
1552526_at	FAM71C	196472
1552528_at	C21orf67	84536
1552531_a_at	NLRP11	204801
1552532_a_at	ATP6V1C2	245973
1552535_at	CLDN19	149461
1552536_at	VTI1A	143187
1552538_a_at	KIF6	221458
1552540_s_at	IQCD	115811
1552541_at	TAGAP	117289
1552542_s_at	TAGAP	117289
1552543_a_at	STON2	85439
1552544_at	SERPINA12	145264
1552546_a_at	LETM2	137994
1552548_at	BSND	7809
1552549_a_at	BSND	7809
1552552_s_at	CLEC4C	170482
1552553_a_at	NLRC4	58484
1552554_a_at	NLRC4	58484
1552555_at	PRSS36	146547
1552557_a_at	ZDHHC15	158866
1552558_a_at	RAI1	10743
1552559_a_at	PFTK2	65061
1552562_at	ZNF570	148268
1552563_a_at	C8orf6	203081
1552564_at	NUDT9P1	119369
1552566_at	BTBD16	118663
1552568_at	RTP3	83597
1552569_a_at	RTP3	83597
1552570_at	C21orf29	54084
1552572_a_at	MIPOL1	145282
1552573_s_at	MIPOL1	145282
1552575_a_at	C6orf141	135398
1552576_at	ALMS1P	200420
1552578_a_at	MYO3B	140469
1552579_a_at	ADAM21	8747
1552580_at	TRIML2	205860
1552582_at	ABCC13	150000
1552583_s_at	ABCC13	150000
1552584_at	IL12RB1	3594
1552585_s_at	GTF2A1L /// STON1	11036 /// 11037
1552586_at	TRPV3	162514
1552587_at	CNBD1	168975
1552588_a_at	CNBD1	168975
1552590_a_at	ABCC12	94160
1552592_at	MMP21	118856
1552594_at	TMEM190	147744
1552596_at	GAS2L2	246176
1552598_at	KCNG4	93107
1552599_at	PXT1	222659
1552602_at	CACNG5	27091
1552604_at	C21orf74	54143
