TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
PTNM_M	M0	M0 - No distant metastasis		M0 - No distant metastasis (cancer has not spread to other parts of the body)
PTNM_M	M1	M1 - Distant metastasis		M1 - Distant metastasis (cancer has spread to distant parts of the body)
PTNM_M	MX	MX - Distant metastasis cannot be evaluated		MX - Distant metastasis cannot be evaluated
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor
PTNM_T	T1	T1 - Size and/or extent of the primary tumor		T1 - Size and/or extent of the primary tumor
PTNM_T	TX	TX - Primary tumor cannot be evaluated		TX - Primary tumor cannot be evaluated
GENDER	MALE	MALE		An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	FEMALE	FEMALE		An individual who reports belonging to the cultural gender role distinction of female.
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement (no cancer found in the lymph nodes)
PTNM_N	N1	N1 - Involvement of regional lymph nodes		N1 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N2	N2 - Involvement of regional lymph nodes		N2 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N3	N3 - Involvement of regional lymph nodes		N3 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	NX	NX - Regional lymph nodes cannot be evaluated		NX - Regional lymph nodes cannot be evaluated
AJCC_TUMOR_GRADE	G1	G1 - Well Differentiated (Low Grade)		Cells look almost like normal ones.
AJCC_TUMOR_GRADE	G2	G2 - Moderately differentiated		Cells look somewhat abnormal
AJCC_TUMOR_GRADE	G3	G3 - Poorly differentiated (High grade)		Cells are very quickly growing and look very abnormal
AJCC_TUMOR_GRADE	G4	G4 - Undifferentiated (High grade)		Cells are very quickly growing and look very abnormal
AJCC_TUMOR_GRADE	G1-2	G1-2 - Moderately to Well Differentiated		Cells look somewhat abnormal
DISEASE_LOCALIZATION	LEFT_FLEXURE	Left Flexure		Left Flexure
DISEASE_LOCALIZATION	SIGMOID_COLON	Sigmoid Colon		Sigmoid Colon
DISEASE_LOCALIZATION	TRANSVERSE_COLON	Transverse Colon		Transverse Colon
DISEASE_LOCALIZATION	ASCENDING_COLON	Ascending Colon		Ascending Colon
DISEASE_LOCALIZATION	ILEOCAECAL	Ileocaecal		Ileocaecal
DISEASE_LOCALIZATION	RECTUM	Rectum		Rectum
DISEASE_LOCALIZATION	COLON_DESC	Descending Colon		Descending Colon
DISEASE_LOCALIZATION	LIENIC_FLEXURE	Lienic Flexure		Lienic Flexure
DISEASE_LOCALIZATION	HEPATIC_FLEXURE	Hepatic Flexure		Hepatic Flexure
DISEASE_LOCALIZATION	SIGMA	Sigma		Sigma
DISEASE_LOCALIZATION	COECUM	Coecum		Coecum
DISEASE_LOCALIZATION	TOTAL_COLON	Total Colon		Total Colon
DISEASE_LOCALIZATION	RIGHTSIDE	Right Side		Right Side
DISEASE_LOCALIZATION	SIGMA_COLON_DESC	Sigma and Descending Colon		Sigma and Descending Colon
DISEASE_LOCALIZATION	COECUM_ RECTUM	Coecum and Rectum		Coecum and Rectum
DISEASE_LOCALIZATION	SIGMA_RECTUM	Sigma and Rectum		Sigma and Rectum
SAMPLE_TYPE	ADVANCED_HCC	Advanced HCC		Advanced HCC
SAMPLE_TYPE	CONTROL	Control		Control
SAMPLE_TYPE	EARLY_HCC	Early HCC		Early HCC
SAMPLE_TYPE	HIGH_GRADE_DYSPLASTIC_NODULE	High grade Dysplastic Nodule		High grade Dysplastic Nodule
SAMPLE_TYPE	LOW_GRADE_DYSPLASTIC_NODULE	Low grade Dysplastic Nodule		Low grade Dysplastic Nodule
SAMPLE_TYPE	NON_TUMOR_CIRRHOTIC	Non tumor Cirrhotic		Non tumor Cirrhotic
SAMPLE_TYPE	NORMAL	Normal		The sample is from Normal Tissue
SAMPLE_TYPE	TUMOR	Tumor		The sample is from Tumor Tissue
SAMPLE_TYPE	VERY_ADVANCED_HCC	Very Advanced HCC		Very Advanced HCC
SAMPLE_TYPE	VERY_EARLY_HCC	Very Early HCC		Very Early HCC
SAMPLE_TYPE	ADENOCARCINOMA	Adenocarcinoma		Aadenocarcinoma
SAMPLE_TYPE	ADENOMA_TUBULOVILLOUS	Adenoma Tubulovillous		Adenoma Tubulovillous
SAMPLE_TYPE	ADENOMA_VILLOUS	Adenoma Villous		Adenoma Villous
SAMPLE_TYPE	SEVERE_ACTIVE_CROHNS	Severe Active Crohn's disease		Severe Active Crohn's disease
