TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
GENDER	MALE	MALE		MALE
GENDER	FEMALE	FEMALE		FEMALE
RACE	WHITE	WHITE		WHITE
RACE	AFRICAN-AMERICAN	AFRICAN-AMERICAN		AFRICAN-AMERICAN
RACE	ASIAN	ASIAN		ASIAN
RACE	UNKNOWN	UNKNOWN		UNKNOWN
RACE	Native Hawaiian or Other Pacific Islander	Native Hawaiian or Other Pacific Islander		Native Hawaiian or Other Pacific Islander
ADJUVANT_CHEMO	YES	YES		Patient received adjuvant systemic chemotherapy
ADJUVANT_CHEMO	NO	NO		Patient did not recieve adjuvant systemic chemotherapy
ADJUVANT_RT	YES	YES		Patient had adjuvant radiation therapy as part of the primary treatment plan
ADJUVANT_RT	NO	NO		Patient did not have adjuvant radiation therapy as part of the primary treatment plan
VITAL_STATUS	ALIVE	ALIVE		Patient was alive at last follow-up
VITAL_STATUS	DEAD	DEAD		Patient is dead
FIRST_PROGRESSION_OR_RELAPSE	NO	NO		Patient did not have a first documented progression or relapse
FIRST_PROGRESSION_OR_RELAPSE	YES	YES		Indicates a first documented progression or relapse of the disease/condition under investigation
FIRST_PROGRESSION_OR_RELAPSE	UNKNOWN	UNKNOWN		First progression or relapse status unknown
SMOKING_HISTORY	Smoked in the past	Smoked in the past		Smoked in the past
SMOKING_HISTORY	Never smoked	Never smoked		Never smoked
SMOKING_HISTORY	Unknown	Unknown		Unknown
SMOKING_HISTORY	Currently smoking	Currently smoking		Currently smoking
RADICALITY	R0	R0		Microscopically radical
RADICALITY	R1	R1		Microscopically non-radical
PTNM_N	NX	NX - Regional lymph nodes cannot be evaluated		NX - Regional lymph nodes cannot be evaluated
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement (no cancer found in the lymph nodes)
PTNM_N	N1	N1 - Involvement of regional lymph nodes		N1 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N2	N2 - Involvement of regional lymph nodes		N2 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_N	N3	N3 - Involvement of regional lymph nodes		N3 - Involvement of regional lymph nodes (number and/or extent of spread)
PTNM_T	T1	T1 - Size and/or extent of the primary tumor		T1 - Size and/or extent of the primary tumor
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor
HIST_TUMOR_GRADE	MODERATELY_DIFF	Moderately differentiated		Moderately differentiated
HIST_TUMOR_GRADE	WELL_DIFF	Poorly differentiated		Poorly differentiated
HIST_TUMOR_GRADE	POORLY_DIFF	Well differentiated		Well differentiated
STRATAGENE	NO	NO		Sample is not a Stratagene Universal Human reference
STRATAGENE	YES	YES		sample is a Stratagene Universal Human reference 
SITE	University of Michigan	University of Michigan		University of Michigan
SITE	Memorial Sloan Kettering Cancer Center	Memorial Sloan Kettering Cancer Center		Memorial Sloan Kettering Cancer Center
SITE	Dana Farber Cancer Inst Canada	Dana Farber Cancer Inst Canada		Dana Farber Cancer Inst Canada
SITE	H Lee Moffitt Cancer Center	H Lee Moffitt Cancer Center		H Lee Moffitt Cancer Center
TESTTYPE	Train	Train		The sample belonged to the training set
TESTTYPE	Test 1	Test 1		The sample belonged to the first test set
TESTTYPE	Test 2	Test 2		The sample belonged to the second test set
IN_DC_STUDY	YES	YES		Sample was included from DC Lung study analysis
IN_DC_STUDY	NO	NO		Sample was excluded from DC Lung study analysis
