TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
ALTERNATE_NAME	HTB-122	HTB-122		Alternate name for the BT_549 cell line. 
ALTERNATE_NAME	HTB-126	HTB-126		Alternate name for the HS578T cell line. 
ALTERNATE_NAME	HTB-22	HTB-22		Alternate name for the MCF7 cell line. 
ALTERNATE_NAME	HTB-26	HTB-26		Alternate name for the MDA_MB_231 cell line. 
ALTERNATE_NAME	CRL-2865	CRL-2865		Alternate name for the T47D cell line. 
ALTERNATE_NAME	CCL-247	CCL-247		Alternate name for the HCT_116 cell line. 
ALTERNATE_NAME	CCL-222	CCL-222		Alternate name for the COLO205 cell line. 
ALTERNATE_NAME	CCL-225	CCL-225		Alternate name for the HCT_15 cell line. 
ALTERNATE_NAME	HTB-38	HTB-38		Alternate name for the HT29 cell line. 
ALTERNATE_NAME	CCL-227	CCL-227		Alternate name for the SW_620 cell line. 
ALTERNATE_NAME	CCL-185	CCL-185		Alternate name for the A549 cell line. 
ALTERNATE_NAME	CRL-5826	CRL-5826		Alternate name for the NCI_H226 cell line. 
ALTERNATE_NAME	CRL-5800	CRL-5800		Alternate name for the NCI_H23 cell line. 
ALTERNATE_NAME	HTB-177	HTB-177		Alternate name for the NCI_H460 cell line. 
ALTERNATE_NAME	CRL-5810	CRL-5810		Alternate name for the NCI_H522 cell line. 
ALTERNATE_NAME	CCL-119	CCL-119		Alternate name for the CCRF_CEM cell line. 
ALTERNATE_NAME	CCL-240	CCL-240		Alternate name for the HL_60 cell line. 
ALTERNATE_NAME	CCL-243	CCL-243		Alternate name for the K_562 cell line. 
ALTERNATE_NAME	CRL-1582	CRL-1582		Alternate name for the MOLT_4 cell line. 
ALTERNATE_NAME	CCL-155	CCL-155		Alternate name for the RPMI_8226 cell line. 
ALTERNATE_NAME	CRL-2262	CRL-2262		Alternate name for the SR cell line. 
ALTERNATE_NAME	HTB-64	HTB-64		Alternate name for the MALME_3M cell line. 
ALTERNATE_NAME	HTB-68	HTB-68		Alternate name for the SK_MEL_2 cell line. 
ALTERNATE_NAME	HTB-72	HTB-72		Alternate name for the SK_MEL_28 cell line. 
ALTERNATE_NAME	HTB-70	HTB-70		Alternate name for the SK_MEL_5 cell line. 
ALTERNATE_NAME	HTB-161	HTB-161		Alternate name for the OVCAR_3 cell line. 
ALTERNATE_NAME	HTB-77	HTB-77		Alternate name for the SK_OV_3 cell line. 
ALTERNATE_NAME	HTB-81	HTB-81		Alternate name for the DU_145 cell line. 
ALTERNATE_NAME	CRL-1435	CRL-1435		Alternate name for the PC_3 cell line. 
ALTERNATE_NAME	CRL-1932	CRL-1932		Alternate name for the 786_0 cell line. 
ALTERNATE_NAME	CRL-1611	CRL-1611		Alternate name for the ACHN cell line. 
ALTERNATE_NAME	HTB-46	HTB-46		Alternate name for the CAKI_1 cell line. 
GENDER	M	MALE	C46109	An individual who reports belonging to the cultural gender role distinction of male. 
GENDER	F	FEMALE	C46110	An individual who reports belonging to the cultural gender role distinction of female.
RACE	CAUCASIAN	CAUCASIAN		CAUCASIAN
RACE	BLACK	BLACK		BLACK
CANCER_TYPE	Breast	Breast		Cancer of breast. 
CANCER_TYPE	Central Nervous System	Central Nervous System		Cancer of central nervous system.
CANCER_TYPE	Colon	Colon		Cancer of the colon. 
CANCER_TYPE	Non-Small Cell Lung	Non-Small Cell Lung		Cancer of the non-small cell lung. 
CANCER_TYPE	Leukemia	Leukemia		Cancer of blood originatin in the bone marrow.
CANCER_TYPE	Melanoma	Melanoma		Type of cancer of skin. 
CANCER_TYPE	Ovarian	Ovarian		Cancer of ovary.
CANCER_TYPE	Prostate	Prostate		Cancer of the prostrate gland. 
CANCER_TYPE	Renal	Renal		Type of cancer of kidney. 
SAMPLE_LOCATION	MAMMARY GLAND	MAMMARY GLAND		Sample derived from the mammary gland. 
SAMPLE_LOCATION	CENTRAL NERVOUS SYSTEM	CENTRAL NERVOUS SYSTEM		Sample derived from the central nervous system. 
SAMPLE_LOCATION	COLON	COLON		Sample derived from the colon. 
SAMPLE_LOCATION	LUNG	LUNG		Sample derived from the lung. 
SAMPLE_LOCATION	PERIPHERAL BLOOD 	PERIPHERAL BLOOD 		Sample derived from the peripheral blood. 
SAMPLE_LOCATION	PERIPHERAL BLOOD LEUKOCYTES	PERIPHERAL BLOOD LEUKOCYTES		Sample derived from the leukocytes of the peripheral blood. 
SAMPLE_LOCATION	BONE MARROW	BONE MARROW		Sample derived from the bone marrow. 
SAMPLE_LOCATION	T LYMPHOBLAST	T LYMPHOBLAST		Sample derived from the T lymphoblast.
SAMPLE_LOCATION	LYMPHOBLAST	LYMPHOBLAST		Sample derived from the lymphoblast. 
SAMPLE_LOCATION	MELANOMA	MELANOMA		Sample derived from the skin. 
SAMPLE_LOCATION	SKIN	SKIN		Sample derived from the skin. 
SAMPLE_LOCATION	OVARIAN	OVARIAN		Sample derived from the ovaries. 
SAMPLE_LOCATION	OVARY	OVARY		Sample derived from the ascites from the peritoneal cavity. 
SAMPLE_LOCATION	PROSTATE	PROSTATE		Sample derived from the prostate gland. 
SAMPLE_LOCATION	RENAL	RENAL		Sample derived from the kidney. 
SAMPLE_LOCATION	KIDNEY 	KIDNEY 		Sample derived from the kidney. 
SOURCE	Metastasis	Metastasis		Sample derived from the metastatic stage.
SOURCE	Primary	Primary		Sample derived from the primary stage. 
SOURCE	Derived from metastatic site; Plueral Effusion	Derived from metastatic site; Plueral Effusion		Sample derived from the plueral effusion during the metastatic stage. 
SOURCE	Pleural Effusion	Pleural Effusion		Sample derived from the buildup of fluid between the layers of tissue that line the lungs and chest cavity.
SOURCE	Ascites	Ascites		Sample derived from the ascites from the peritoneal cavity. 
SOURCE	Derived from metastatic site; lymph node	Derived from metastatic site; lymph node		Sample derived from the lymph node during the metastatic stage. 
SOURCE	Peripheral blood leukocytes	Peripheral blood leukocytes		Sample derived from the peripheral blood leukocytes. 
SOURCE	Peripheral blood	Peripheral blood		Samle derived from the peripheral blood. 
SOURCE	"Metastasis, Axillary node"	"Metastasis, Axillary node"		Sample derived from the axillary node during the metastatic stage. 
SOURCE	"Melanocytes, Plueral effusion"	"Melanocytes, Plueral effusion"		Sample derived from the melanocytes from plueral effusion . 
CELL_CULTURE_PROPERTIES	ADHERENT	ADHERENT		Type of culture in which cells grow as a monolayer that is attached to the culture substrate.
CELL_CULTURE_PROPERTIES	MIXED	MIXED		Mixed type of cell growing culture. 
