SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM1081608	GSM1081608	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081611	GSM1081611	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081582	GSM1081582	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081600	GSM1081600	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081604	GSM1081604	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081609	GSM1081609	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081612	GSM1081612	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081583	GSM1081583	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081601	GSM1081601	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081605	GSM1081605	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081610	GSM1081610	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081613	GSM1081613	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081584	GSM1081584	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081602	GSM1081602	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081606	GSM1081606	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081585	GSM1081585	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081603	GSM1081603	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081607	GSM1081607	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081586	GSM1081586	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081587	GSM1081587	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081588	GSM1081588	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081589	GSM1081589	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081590	GSM1081590	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081591	GSM1081591	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081592	GSM1081592	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081593	GSM1081593	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081594	GSM1081594	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081595	GSM1081595	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081596	GSM1081596	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081597	GSM1081597	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081598	GSM1081598	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
GSM1081599	GSM1081599	Human Gene 1.0 ST	WH_HAHN_2013_01.Rda	RMA Normalization
