TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
GENDER	MALE	MALE		MALE
GENDER	FEMALE	FEMALE		FEMALE
RACE	WHITE	WHITE		WHITE
RACE	AFRICAN-AMERICAN	AFRICAN-AMERICAN		AFRICAN-AMERICAN
RACE	ASIAN	ASIAN		ASIAN
RACE	UNKNOWN	UNKNOWN		UNKNOWN
RACE	Native Hawaiian or Other Pacific Islander	Native Hawaiian or Other Pacific Islander		Native Hawaiian or Other Pacific Islander
OUTCOME_2	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
OUTCOME_2	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
OUTCOME_2	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
OUTCOME_2	UNKNOWN	UNKNOWN		UNKNOWN
PT_NAME2	CRANIOTOMY OPEN RESECTION	CRANIOTOMY OPEN RESECTION		CRANIOTOMY OPEN RESECTION
PT_NAME2	CRANIOTOMY OPEN BIOPSY	CRANIOTOMY OPEN BIOPSY		CRANIOTOMY OPEN BIOPSY
PT_NAME2	STEREOTACTIC BIOPSY	STEREOTACTIC BIOPSY		STEREOTACTIC BIOPSY
OUTCOME_1	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
OUTCOME_1	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
OUTCOME_1	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
OUTCOME_1	UNKNOWN	UNKNOWN		UNKNOWN
PT_NAME1	CRANIOTOMY OPEN RESECTION	CRANIOTOMY OPEN RESECTION		CRANIOTOMY OPEN RESECTION
PT_NAME1	CRANIOTOMY OPEN BIOPSY	CRANIOTOMY OPEN BIOPSY		CRANIOTOMY OPEN BIOPSY
PT_NAME1	STEREOTACTIC BIOPSY	STEREOTACTIC BIOPSY		STEREOTACTIC BIOPSY
AGE_RANGE	45-49	45-49		45-49
AGE_RANGE	60-64	60-64		60-64
AGE_RANGE	30-34	30-34		30-34
AGE_RANGE	70-74	70-74		70-74
AGE_RANGE	50-54	50-54		50-54
AGE_RANGE	40-44	40-44		40-44
AGE_RANGE	65-69	65-69		65-69
AGE_RANGE	25-29	25-29		25-29
AGE_RANGE	35-39	35-39		35-39
AGE_RANGE	20-24	20-24		20-24
AGE_RANGE	85-89	85-89		85-89
AGE_RANGE	15-19	15-19		15-19
AGE_RANGE	14-Oct	14-Oct		14-Oct
AGE_RANGE	55-59	55-59		55-59
AGE_RANGE	75-79	75-79		75-79
AGE_RANGE	80-84	80-84		80-84
DISEASE_TYPE	GBM	GBM		GBM
DISEASE_TYPE	UNKNOWN	UNKNOWN		UNKNOWN
DISEASE_TYPE	ASTROCYTOMA	ASTROCYTOMA		ASTROCYTOMA
DISEASE_TYPE	MIXED	MIXED		MIXED
DISEASE_TYPE	NON_TUMOR	NON_TUMOR		NON_TUMOR
DISEASE_TYPE	OLIGODENDROGLIOMA	OLIGODENDROGLIOMA		OLIGODENDROGLIOMA
DISEASE_TYPE	UNCLASSIFIED	UNCLASSIFIED		UNCLASSIFIED
WHO_GRADE	IV	IV		IV
WHO_GRADE	II	II		II
WHO_GRADE	III	III		III
WHO_GRADE	I	I		I
INSTITUTION_NAME	HENRY FORD HOSPITAL (RETRO)	HENRY FORD HOSPITAL (RETRO)		HENRY FORD HOSPITAL (RETRO)
INSTITUTION_NAME	NABTT/HENRY FORD HOSPITAL	NABTT/HENRY FORD HOSPITAL		NABTT/HENRY FORD HOSPITAL
INSTITUTION_NAME	NABTT/H. LEE MOFFITT CANCER CENTER	NABTT/H. LEE MOFFITT CANCER CENTER		NABTT/H. LEE MOFFITT CANCER CENTER
INSTITUTION_NAME	UCSF	UCSF		UCSF
INSTITUTION_NAME	UNIV OF PITTSBURGH	UNIV OF PITTSBURGH		UNIV OF PITTSBURGH
INSTITUTION_NAME	NIH NEURO-ONCOLOGY BRANCH	NIH NEURO-ONCOLOGY BRANCH		NIH NEURO-ONCOLOGY BRANCH
INSTITUTION_NAME	DANA-FARBER CANCER INSTITUTE	DANA-FARBER CANCER INSTITUTE		DANA-FARBER CANCER INSTITUTE
INSTITUTION_NAME	TJU	TJU		TJU
INSTITUTION_NAME	UCLA SCHOOL OF MEDICINE	UCLA SCHOOL OF MEDICINE		UCLA SCHOOL OF MEDICINE
INSTITUTION_NAME	UNIVERSITY OF WISCONSIN	UNIVERSITY OF WISCONSIN		UNIVERSITY OF WISCONSIN
INSTITUTION_NAME	M. D. ANDERSON CANCER CENTER	M. D. ANDERSON CANCER CENTER		M. D. ANDERSON CANCER CENTER
INSTITUTION_NAME	NABTT/JOHNS HOPKINS	NABTT/JOHNS HOPKINS		NABTT/JOHNS HOPKINS
INSTITUTION_NAME	H. LEE MOFFITT CANCER CENTER	H. LEE MOFFITT CANCER CENTER		H. LEE MOFFITT CANCER CENTER
INSTITUTION_NAME	HENRY FORD HOSPITAL	HENRY FORD HOSPITAL		HENRY FORD HOSPITAL
INSTITUTION_NAME	NABTT/MASSACHUSETTS GENERAL HOSPITAL	NABTT/MASSACHUSETTS GENERAL HOSPITAL		NABTT/MASSACHUSETTS GENERAL HOSPITAL
INSTITUTION_NAME	MSKCC/NEW YORK	MSKCC/NEW YORK		MSKCC/NEW YORK
BIOSPECIMEN_TYPE	GENE_EXP	Gene Expression		Gene Expression
BIOSPECIMEN_TYPE	COPY_NUMBER	Copy Number		Copy Number
