REPORTER ID	GENE SYMBOL
2100725	CSF3
6980041	CHAT
6100619	RORA
580037	RFC2
6200162	KCNN3
3780064	RAI1
6590348	PPM1B
5270433	RAPSN
6590717	TEX14
6380167	CDKN2D
1780070	AP1GBP1
130082	DYRK2
2640072	GSN
5360164	MS4A6A
2190097	FLJ22054
6620204	EFNA1
6400309	OPRL1
540731	PKNOX1
2120528	AGTR1
2680609	MRPL39
50692	ITPA
940040	VGLL2
730301	PLOD2
5130008	BNIPL
4210288	EFEMP1
1450278	PHC2
1090176	GCDH
2810239	RFXANK
1990193	LOC51759
3140088	PTPRC
5700193	Cab45
2940020	CABP2
610273	RNF40
3440446	CHRD
2100348	FLJ12661
3520592	CCR6
6940692	PCDHAC2
5130671	ANGPTL4
6650286	ATM
4070440	CASP7
6660397	GART
3520066	POFUT1
6840398	FUT8
6760736	INVS
110451	PCDHGC4
130458	PTPRT
1050397	BCOR
4230017	ACRV1
6590722	ARPC2
5700692	OGT
2260176	TAF6
3130411	HNRPDL
2630338	PLCB1
5890053	CDK5RAP1
2900079	EBAG9
2370504	KIR2DL3
6220672	CYP20A1
6860129	PH-4
3360402	KREMEN1
1570373	SNAP23
4120398	MAG
3940332	ZNF302
5420450	GRIN1
2480433	PPIL2
3360594	DDR1
2260102	MARK2
6660398	SYTL2
2450446	RNF138
2450064	AIF1
2480451	SMN1
1170364	EDARADD
6040471	SEMA6D
1190041	MGC15416
3390324	PSME1
2810347	GALNAC4S-6ST
6130524	EMS1
1780731	LIG3
1780452	DHRS2
2510278	PTPRR
4730020	GABRB3
4210021	MAGEB1
4210546	OSBPL5
5080066	SPAG1
2120164	CAST
5570167	RNF128
3940739	GHSR
520373	AGPAT1
1980292	MAX
6980059	NR4A2
4730605	FBX30
4150113	ANKMY1
580347	SLC25A3
5890047	COL4A5
2970100	BAZ1B
60204	E1B-AP5
70161	IMPDH1
4230021	SEC13L1
1230138	FXYD1
2630372	TRIM34
520148	FASTK
2260253	ABCC1
780097	CKLFSF1
2260093	PCBP2
4540546	BTN2A2
5360575	BNIP1
4540097	HOXB6
5220020	MIZ1
4850132	RAD17
510112	IL16
5390053	DYRK1A
7000037	SFRS8
3060273	BCL2L1
2120632	AUP1
2230114	CAPN10
450097	PRNP
3190133	PTPN7
2360750	SNX7
3440433	CDK5RAP3
2650358	WFDC2
2360484	OSBPL9
3940070	IL1RN
3520204	DUSP15
5360113	ALG2
6590484	TPM3
6770021	SLC26A1
840463	IDH3G
6510025	COX15
870082	ING3
5690324	SLC25A14
6840132	CD79A
7040050	KCNIP2
5290603	TBX6
1980008	CDCA4
6650725	DGUOK
2900176	C1QTNF3
1050195	WHSC1
6900037	STARD5
4210026	UPF3A
2970440	GRIK2
4810433	WHSC1L1
4850095	TRAF5
60239	NR2E3
6840010	OSCAR
3120315	OSBPL6
3360215	GRF2
6290148	CPNE7
4590193	TNFRSF5
6400411	C1orf2
5890280	CAMK2A
1770671	WNT8A
2360458	PTP9Q22
3450692	KLRC3
3940280	KLK8
7040537	PSEN1
840131	CCNE1
5290273	MRPL27
5130164	CLECSF13
1090040	PCDH10
110037	RNF13
4610086	RNF39
130601	CDC42BPA
4150332	DNAH9
1690136	MAGEA6
5670408	MCP
2480619	HNF4A
3130377	TNFRSF10B
4760112	PPAP2B
2100020	AOC2
6940008	RAD51L1
2370433	FLJ10597
450278	ADRA1A
5570021	ASAH1
2690463	DOM3Z
5890095	CCL14
840731	RSU1
1240100	FGF18
2060139	CTDSP1
5670129	PRSS21
3780603	OSBPL3
6420452	HPS4
2120348	ZFP64
5720195	HPN
4060369	RAC1
1570278	FLJ20403
870446	FLJ10378
1170091	L3MBTL
4810372	ZAN
6100270	CAMK2B
6020647	OTOA
7040292	CDK4
4760497	ICAP-1A
4210086	ABR
3360433	RHCE
4070040	DCX
2470102	CNOT7
5700433	NEK3
2100347	IL4
6900735	CASP8
5860341	CYP2C8
2650435	C9orf24
460142	NOLA1
2470136	TLR9
2970181	MMP25
6760451	PCDHA8
7050452	COL6A3
6980411	FXYD2
1170341	ZCCHC2
6520348	DCTN1
5270546	PRES
5290592	FST
5220433	RPS24
4230593	SLC21A3
2680672	TNFSF13
4780338	OAZIN
1050129	SMARCA1
4730292	PSMD12
3520671	CLDN10
6900020	BSG
360059	NFAT5
5130577	FBXO3
2970438	PTP4A3
2060100	DSC1
4570195	CDKN2B
4570132	MAP3K6
5670100	IL17E
5720079	MRPL24
4570670	AF15Q14
670707	NXF2
5050433	PPAP2A
1990575	ACOX1
2260017	WNT5B
360050	EEF1B2
1410411	TRIM15
3390129	TSC2
4230164	CDC25C
6110017	MAPT
2900324	PPARG
7050037	APOL1
1190112	MFI2
4920577	RAD51
1410671	HMMR
6130605	HPS1
1570097	POP5
3710048	MEOX1
3360148	HPS5
3120398	LAIR2
360142	HIF3A
380575	TANK
5420273	CCL15
6130465	CRAT
6400095	TRIM14
6220019	CD200R
5910377	WWOX
2230450	BLP2
70707	UBAP2
5860088	CNTN5
2340162	DKFZp761H079
1770433	CKLFSF4
5080372	ECM1
5890139	BACH
6590215	DUSP10
2450162	PPIL3
3850025	CSAGE
1660364	CDC14B
5900053	LIAS
6900156	UBE3B
2640020	PLAT
5700538	ZNF3
3140670	PAX6
3140537	MAP2K6
1580102	SNAP25
2470435	CADPS
2470154	FGFR2
1050050	GH2
3610044	C14orf130
6450017	HR
5050162	SLA/LP
4050121	SNRPB
5890136	GEM
110112	CACNG5
1240176	DTNB
5220152	NELF
430121	CLDN15
360348	WFDC3
6860112	FEZ1
780215	WIG1
6130408	HRIHFB2122
4540280	NR6A1
1740369	ADAM12
3990022	MITF
670280	TRIM33
60541	TRIM31
3990168	ARNT
770129	EFNA4
2810484	WDR1
4670253	SMARCA2
2320239	SPAG8
780731	PPP1R11
1780176	CGI-85
2100195	ITSN2
460091	GYPE
5340088	DCTN3
5570484	MAT2B
2650538	PER2
840039	NDUFB6
3290398	VPS29
5690541	CSNK1D
1190397	PKIG
4120546	STAT1
3830215	VHL
4280372	MLC1
3190671	ORC5L
2900136	ATRN
4670048	FGF5
1740026	PCDHGA5
610333	HOXC4
2970286	SRC
6660050	SULT1C1
7100113	ABCC9
110026	MOCS2
2340735	MAGEC3
5910348	ZFP29
3840148	SHC1
2320184	CDC14A
840722	TAF5
4280546	VPS41
1570093	SCAPIN1
1340239	NUPL1
4570541	SCAND1
4210170	SNX15
2260082	ELMO2
2570142	UTY
1340180	TBL1Y
4760465	GAB2
1990402	WT1
610154	ZNFN1A3
870722	FBLN1
2510066	MRPS33
4590438	CCR2
1230170	SMOX
780673	P2RX7
3390021	ADAM11
1450088	RNPS1
2350170	ABCA9
1240369	GOSR2
2570280	GGA3
2680300	LKAP
2470037	NUDT6
1980181	PCNA
7040575	CTMP
3990044	TRADD
630746	C1QTNF1
6400500	EFS
4060438	SCARF1
6400369	SMARCF1
3170195	SYN3
1780026	ELKS
3190731	JAG2
6940373	PCDHGA2
1770242	ICK
2690053	DUOX1
3130593	PCTK1
4050148	PPP2R2C
4050253	P2RY12
610750	FLJ39155
2340398	TG737
5910609	384D8-2
1780056	CDYL
6900072	IL1F5
4730440	MSMB
1740019	BTN3A1
4050347	ABHD2
1400156	AKAP7
6840167	HTATIP
430072	DICER1
6450402	BCAN
4760739	AP2S1
3990500	PARK2
1850364	SSH-3
2370603	MBD2
6110286	HNRPAB
4760440	RASSF2
6420398	ZAP
5130315	CDY1
6100451	LBP-32
2370524	GABBR1
450519	IER3
5690632	MLL3
4480292	ATP6V0A4
6290592	RAD1
6650288	TREX2
4150369	FTHFD
360139	HYPB
2940484	TLX2
4070632	HOM-TES-103
2480059	ACPT
7050180	HSPA4
6980039	KCNH2
3610154	NRP2
3800148	DMN
1780373	SGKL
770195	POMZP3
770079	MYL6
6180398	AMPH
2570735	SLC23A1
3290136	G1P3
2850487	C21orf69
2630132	TRAF6
6550451	PCDH8
5220010	TRIM39
2510338	SCDGF-B
5570215	SCAMP1
5690520	BANP
5900035	SNX3
2680402	FTSJ1
4480139	FLJ12949
6380338	TIA1
3450053	BCLG
5900025	UBE2J1
6900092	HRAS
3990091	A2BP1
2350369	BCL2L11
1780364	P2RY6
1500446	ZNF41
610047	DEFB119
1850242	DNMT3B
540563	ADAM19
5220253	SYPL
5690301	MRPS12
2760154	RASSF5
4150019	ILF3
4280390	SNX14
3830139	TBL2
5220603	USH3A
4850133	WTAP
3990075	FSHR
940014	VCAM1
2850673	AKAP13
3610537	PEX10
5550368	A2LP
770097	TUBA2
2970168	CD3Z
2480044	HNRPC
6760487	KIAA1847
2350162	D2LIC
6220603	TXNRD1
1780433	UBE2H
1450687	CCNE2
6590446	MOBP
6590064	PSMD10
4780592	EYA4
4590010	MGC10744
1190551	EIF4G1
1780133	CREB5
2120114	RANBP3
1660735	KCNAB2
2100600	TNFRSF19L
2680270	ALDH8A1
4280400	GA
1190348	GCC2
6370458	PTP4A2
3360452	RNF126
6370239	KLK7
2190047	WBSCR5
2760538	ABCA6
6020725	HNRPU
4210408	LRRFIP2
430014	TTN
5270673	SGK2
1450593	MSR1
2650129	CD79B
1580156	TNFRSF6
1230154	KCNMB3
2100609	HRD1
4050348	AGRP
5270167	FGFR1OP
870324	PTPRA
5390154	CIDEA
3140722	DGKB
4010725	MADD
2230372	WDR10
1660176	KLF12
6510286	WDR4
3780048	RAB27A
6510592	C6orf25
2760332	EFG2
6350170	RFX4
460400	PRDX3
2360270	ARHGEF11
4280411	PCDH1
4200446	PTPRN2
6660278	DUSP6
70113	SPAP1
4590047	RASGRP3
6650039	P2RY10
780184	SF4
6110292	C21orf33
2260301	MTO1
6840121	MAPK11
2630603	KLK11
2350026	ZNF398
4730332	SMCR7
6110440	APEX1
1740670	UBE2L3
2570600	LPAL2
2850400	AQP6
6200131	SNURF
3610433	PHF10
3130358	KCNJ15
3390161	FGF8
2940446	PPEF2
5390373	BTN3A3
4480017	NFATC2
430592	C1D
2370500	GNAT1
70072	PRDX2
5700576	TRIM10
6520180	IL28RA
2810647	FER1L3
6760465	TERF1
4050397	UCP3
1190279	CACNG6
3840309	PDLIM2
1240687	CASP4
1230341	ITGA3
2100133	RABGGTA
50253	PKHD1
6840020	BRD8
3140170	PRRX1
1450091	TRAF2
70368	AGC1
6350369	COL17A1
3870176	PCDHGC5
2640239	WDR5
4010273	KCNJ16
60025	RE2
6620593	ILVBL
2360068	HTF9C
520301	KLK3
940592	KTN1
3940324	IDN3
4850020	LOH11CR2A
50044	EED
3130670	RBM10
4570619	TIAL1
2940403	CDC2L5
50242	NSD1
2570082	XRCC4
1340020	SOM
7000154	GPR86
6520008	RANBP2L1
6040711	SPAG9
5290301	C20orf161
4480121	C14orf29
70170	E2F6
3520026	HSD11B1
5360332	CATSPER2
1400092	TRIM5
1340692	SIGLECL1
1340142	RRAGB
6520739	STARD7
4060139	CORO2A
2570286	RNASE4
2570605	PNUTL2
1660253	BIRC7
6550070	ICMT
1190168	TNFSF11
4610020	PRIMA1
3390010	C21orf66
3940403	FLJ10035
4150047	APTX
1940168	NFATC3
6770402	MAGED2
3060348	SIGLEC7
2030369	GPRK2L
1500619	LBR
610451	MAP4
2690338	MALT1
2100673	MRPL4
50093	KLK12
4560035	PCDH11X
60398	PAX2
2630735	PSEN2
5080156	MGC15875
2060609	KIF9
380286	NUP62
4610180	SIAT7D
4780315	PCDHGB1
2680377	CDK10
6770471	PCDHA7
2650170	IDH3B
1240091	MADHIP
3390273	PRDM1
4590273	SMARCC2
2470070	SMARCD1
6040050	PPP2R4
940022	ZNF200
4670717	BIRC3
2810538	CYP26A1
2850348	APOL2
2810292	CECR1
430301	BLP1
2480601	SSX2
2810128	SPO11
430100	PLTP
1500315	EZH2
460609	TACR1
1740204	C21orf59
840142	PDGFA
940600	CTSE
730100	WDR7
6290494	BAT1
6590139	KIAA0720
6860133	KLRD1
1850048	NDRG3
6350100	SNRPD2
3190372	GPLD1
2370671	AD-017
6590176	USP21
2970044	COL4A6
6290500	PSAT1
5390408	GRCA
870347	MRPS21
4610131	ACAS2
5570025	GIT2
5900133	GGA2
2100167	HIPK1
6420609	ZNF198
3710711	SCN5A
780735	NUSAP1
5340128	LIR9
5910541	COLEC12
5910168	MDS010
2190685	NAP1L1
1940577	SKP1A
2850025	CCL28
5860338	DOK5
4120021	DMD
5550154	KHK
2650465	HOXA1
70035	CD151
2100048	OAS1
1690601	SVIL
2320736	TERT
2940161	ARSD
4850497	CPVL
5670685	SGCD
5220142	SON
2760576	DDX39
6420019	BACE2
1410438	FLJ32940
1850619	EYA1
5910181	MAPK14
3140091	CRYBA2
2850059	OSBPL2
6130017	ICA1
1240079	MAGED4
1570019	CPNE1
5860707	AK5
7100433	NRXN3
6980152	WDR20
1400239	OCRL
510010	CBFA2T2
2120408	EPS8L1
3990148	IL5RA
6130519	FN1
4760204	BLR1
780402	PCDHGB3
5340184	CAV2
510170	IL11RA
1740397	DPM2
4810037	PAX7
110603	NCF4
3450358	SDBCAG84
1580315	FLJ37306
3390162	CSF3R
6940112	C14orf163
2480278	MRPL52
6660524	CES2
2690347	GGTLA4
5700273	CLK2
60279	CCR3
6220717	PSMF1
5080603	SIVA
3290075	LOC284018
1090010	PDE7A
2850280	BMP1
520068	ATP6V1G3
6860519	ST5
3130167	IL17F
6040092	TTC8
1090121	TRPV4
6220170	PHF2
770180	ARG99
6550176	OSBPL1A
6040070	IL17RC
2630672	CABP1
630707	TMPRSS4
2350022	FLJ11196
1190347	EMR2
1660133	PSMD4
2470450	PKIA
2650152	CDKN2C
2900487	RNPC2
2260338	SEC31L2
4850168	GFRA1
5550097	HIST1H2BD
4670035	INPP4A
5080685	PDIP46
5550528	PTPRU
4780079	GBP
5220128	CARD14
2940563	RAB23
6650053	TLR8
6900129	PPP2R5C
1170605	CPM
1090746	HK1
2340673	PPFIBP1
1780446	AGER
2650097	SULF2
520292	IL15RA
3120692	FBXL5
4560162	RNASE1
5080546	MAP1LC3A
1090110	GTF2I
1410446	KCNN2
2810609	DNM1L
3140372	SMAC
3780576	MMP19
1780079	CDC42EP1
5270270	ACCN3
6980687	CR1
2260707	GALNT10
1240711	PCBP4
6220008	YME1L1
3450131	GPS2
730717	GJA5
4280017	CSRP2BP
6130139	DOC1
5910632	HSU84971
2510156	MAPK8IP3
5720333	DSC2
6400592	ZNF278
4060541	OLFM1
2850008	RNF135
2680181	PAK7
2940041	PXMP4
5890746	EHF
2680204	ELD/OSA1
2450372	HSFY
4150112	WDFY3
4060672	CKLFSF5
5890685	RPS3A
4210372	ORC4L
6400487	MRPL35
2370576	TUB
1450041	IL17RB
4050164	HNRPA2B1
520671	TRPV1
6520010	HOXA10
6840026	PDGFB
5290309	RNF12
1340446	SYNE1
4920528	GAS2
2350440	RANGNRF
2030020	NSFL1C
3870435	CLDN14
5050341	CFL2
2690725	OAS2
2760500	SCARA3
3450300	MFN1
6650019	SNX11
2260047	CASPR4
730070	SLC35C2
3120148	MUC4
4730039	SULT4A1
2640129	MGC23980
4570577	KLK15
6980079	RNF8
6660400	TAF15
630239	ANXA7
1450010	ZNF258
3830097	NUP50
3940072	MDM1
6380161	BTBD3
3390524	RBM12
3450563	H2AFJ
2900309	DEDD
2650347	ASGR2
450746	TNFRSF18
2340142	ENO3
6040338	CCNT2
670242	SPAG11
2650128	MVP
3830039	DNMT3L
5360092	CDC2
3850372	CCRK
4480520	STAU
3940170	MRPL43
1940390	ARL6IP4
4920372	AKAP1
6290035	SP110
1580632	MAP3K7IP2
380670	UTS2
3710746	REPIN1
50195	ASC
4070288	GNRH2
3120019	NUDT2
6220048	TCF20
2340390	BAT8
1740095	ABCB9
5670452	PCDHA10
2060717	ZNF155
1660441	CKLF
6590433	U1SNRNPBP
510451	FBXO21
2360161	FGA
6420278	ZNF226
5860471	SHOX
2650450	PCDHGC3
