SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM215051	GSM215051	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215052	GSM215052	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215053	GSM215053	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215054	GSM215054	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215055	GSM215055	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215056	GSM215056	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215057	GSM215057	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215058	GSM215058	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215059	GSM215059	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215060	GSM215060	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215061	GSM215061	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215062	GSM215062	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215063	GSM215063	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215064	GSM215064	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215065	GSM215065	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215066	GSM215066	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215067	GSM215067	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215068	GSM215068	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215069	GSM215069	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215070	GSM215070	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215071	GSM215071	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215072	GSM215072	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215073	GSM215073	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215074	GSM215074	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215075	GSM215075	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215076	GSM215076	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215077	GSM215077	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215078	GSM215078	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215079	GSM215079	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215080	GSM215080	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215081	GSM215081	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215082	GSM215082	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215083	GSM215083	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215084	GSM215084	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215085	GSM215085	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215086	GSM215086	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215087	GSM215087	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215088	GSM215088	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215089	GSM215089	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215090	GSM215090	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215091	GSM215091	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215092	GSM215092	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215093	GSM215093	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215094	GSM215094	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215095	GSM215095	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215096	GSM215096	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215097	GSM215097	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215098	GSM215098	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215099	GSM215099	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215100	GSM215100	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215101	GSM215101	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215102	GSM215102	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215103	GSM215103	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215104	GSM215104	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215105	GSM215105	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215106	GSM215106	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215107	GSM215107	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215108	GSM215108	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215109	GSM215109	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215110	GSM215110	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215111	GSM215111	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215112	GSM215112	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215113	GSM215113	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
GSM215114	GSM215114	U133 Plus 2.0	GSE8671.Rda	RMA Normalization
